file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,bw_5_1,0.040,8,8,0,1,21,22
p02.pddl,bw_5_2,0.014,3,3,0,1,10,10
p03.pddl,bw_5_3,0.020,4,4,0,1,10,10
p04.pddl,bw_5_4,0.049,8,8,0,1,34,35
p05.pddl,bw_5_5,0.020,4,4,0,1,12,12
p06.pddl,bw_5_6,0.015,3,3,0,1,10,10
p07.pddl,bw_5_7,0.043,8,8,0,1,20,20
p08.pddl,bw_5_8,0.037,7,7,0,1,18,18
p09.pddl,bw_5_9,0.010,2,2,0,1,8,8
p10.pddl,bw_5_10,0.020,4,4,0,1,10,10
p11.pddl,bw_10_11,0.611,20,20,0,1,52,52
p12.pddl,bw_10_12,0.761,31,31,0,1,134,134
p13.pddl,bw_10_13,0.242,11,11,0,1,40,41
p14.pddl,bw_10_14,0.082,7,7,0,1,26,26
p15.pddl,bw_10_15,0.621,31,31,0,1,143,145
p16.pddl,bw_10_16,0.549,27,27,0,1,48,49
p17.pddl,bw_10_17,0.131,7,7,0,1,32,32
p18.pddl,bw_10_18,0.124,9,9,0,1,22,22
p19.pddl,bw_10_19,0.272,19,19,0,1,48,49
p20.pddl,bw_10_20,0.478,33,33,0,1,66,68
p21.pddl,bw_15_21,7.863,24,24,0,1,166,168
p22.pddl,bw_15_22,13.933,130,130,0,1,159,161
p23.pddl,bw_15_23,25.790,252,252,0,1,505,512
p24.pddl,bw_15_24,34.119,301,301,0,1,303,306
p25.pddl,bw_15_25,51.305,156,156,0,1,612,623
p26.pddl,bw_15_26,12.201,139,139,0,1,322,324
p27.pddl,bw_15_27,61.559,408,408,0,1,522,530
p28.pddl,bw_15_28,14.141,158,158,0,1,365,368
p29.pddl,bw_15_29,119.325,508,508,0,1,798,805
p30.pddl,bw_15_30,64.419,335,335,0,1,950,954
