file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,bw_5_1,0.246,4,4,0,1,10,10
p02.pddl,bw_5_2,0.194,3,3,0,1,8,8
p03.pddl,bw_5_3,0.511,8,8,0,1,17,17
p04.pddl,bw_5_4,0.257,4,4,0,1,30,31
p05.pddl,bw_5_5,0.289,4,4,0,1,12,12
p06.pddl,bw_5_6,0.226,3,3,0,1,10,10
p07.pddl,bw_5_7,0.573,9,9,0,1,24,24
p08.pddl,bw_5_8,0.470,6,6,0,1,26,26
p09.pddl,bw_5_9,0.573,9,9,0,1,20,20
p10.pddl,bw_5_10,0.287,4,4,0,1,10,10
p11.pddl,bw_10_11,2.228,10,10,0,1,78,81
p12.pddl,bw_10_12,2.030,18,18,0,1,80,81
p13.pddl,bw_10_13,1.528,11,11,0,1,40,41
p14.pddl,bw_10_14,1.291,13,13,0,1,68,68
p15.pddl,bw_10_15,1.841,14,14,0,1,64,64
p16.pddl,bw_10_16,1.862,17,17,0,1,93,95
p17.pddl,bw_10_17,0.848,7,7,0,1,30,30
p18.pddl,bw_10_18,0.494,5,5,0,1,22,22
p19.pddl,bw_10_19,1.757,17,17,0,1,64,65
p20.pddl,bw_10_20,1.131,12,12,0,1,36,37
p21.pddl,bw_15_21,23.553,66,66,0,1,260,263
p22.pddl,bw_15_22,10.950,29,29,0,1,150,150
p23.pddl,bw_15_23,72.297,147,147,0,1,906,922
p24.pddl,bw_15_24,22.996,46,46,0,1,286,289
p25.pddl,bw_15_25,68.309,62,62,0,1,440,445
p26.pddl,bw_15_26,15.026,42,42,0,1,241,243
p27.pddl,bw_15_27,28.386,58,58,0,1,336,341
p28.pddl,bw_15_28,2.751,13,13,0,1,62,62
p29.pddl,bw_15_29,9.296,19,19,0,1,102,104
p30.pddl,bw_15_30,120.675,189,189,0,1,1257,1282
