file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,bw_5_1,0,,,0,1,9,9
p02.pddl,bw_5_2,0.02,,,0,1,8,8
p03.pddl,bw_5_3,0.02,,,0,1,10,10
p04.pddl,bw_5_4,0.04,,,0,1,18,18
p05.pddl,bw_5_5,0.02,,,0,1,12,12
p06.pddl,bw_5_6,0.02,,,0,1,11,11
p07.pddl,bw_5_7,0.02,,,0,1,13,13
p08.pddl,bw_5_8,0.02,,,0,1,13,13
p09.pddl,bw_5_9,0.02,,,0,1,9,9
p10.pddl,bw_5_10,0.02,,,0,1,11,11
p11.pddl,bw_10_11,0.12,,,0,1,24,24
p12.pddl,bw_10_12,0.1,,,0,1,24,24
p13.pddl,bw_10_13,0.1,,,0,1,22,22
p14.pddl,bw_10_14,0.08,,,0,1,18,18
p15.pddl,bw_10_15,0.12,,,0,1,25,25
p16.pddl,bw_10_16,0.1,,,0,1,26,26
p17.pddl,bw_10_17,0.14,,,0,1,26,26
p18.pddl,bw_10_18,0.1,,,0,1,18,18
p19.pddl,bw_10_19,0.12,,,0,1,27,27
p20.pddl,bw_10_20,0.1,,,0,1,22,22
p21.pddl,bw_15_21,0.36,,,0,1,39,39
p22.pddl,bw_15_22,0.42,,,0,1,42,42
p23.pddl,bw_15_23,0.36,,,0,1,42,42
p24.pddl,bw_15_24,0.36,,,0,1,45,45
p25.pddl,bw_15_25,0.38,,,0,1,45,45
p26.pddl,bw_15_26,0.34,,,0,1,31,31
p27.pddl,bw_15_27,0.32,,,0,1,36,36
p28.pddl,bw_15_28,0.3,,,0,1,30,30
p29.pddl,bw_15_29,0.32,,,0,1,38,38
p30.pddl,bw_15_30,0.34,,,0,1,38,38
