file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,bw_5_1,0.362,3,3,0,1,10,10
p02.pddl,bw_5_2,0.225,2,2,0,1,10,10
p03.pddl,bw_5_3,0.218,2,2,0,1,10,10
p04.pddl,bw_5_4,0.713,6,6,0,1,28,29
p05.pddl,bw_5_5,0.226,2,2,0,1,12,12
p06.pddl,bw_5_6,0.129,1,1,0,1,10,10
p07.pddl,bw_5_7,0.335,3,3,0,1,14,14
p08.pddl,bw_5_8,0.460,4,4,0,1,24,25
p09.pddl,bw_5_9,0.122,1,1,0,1,8,8
p10.pddl,bw_5_10,0.111,1,1,0,1,10,10
p11.pddl,bw_10_11,506.911,7,7,0,1,72,75
p12.pddl,bw_10_12,139.037,26,26,0,1,122,125
p13.pddl,bw_10_13,767.141,4,4,0,1,30,30
p14.pddl,bw_10_14,2.793,7,7,0,1,26,26
p15.pddl,bw_10_15,36.252,16,16,0,1,74,75
p16.pddl,bw_10_16,89.819,7,7,0,1,38,39
p17.pddl,bw_10_17,9.377,6,6,0,1,42,43
p18.pddl,bw_10_18,2.155,4,4,0,1,20,20
p19.pddl,bw_10_19,39.145,5,5,0,1,26,26
p20.pddl,bw_10_20,4.510,6,6,0,1,26,26
p21.pddl,0,0,0,0,0,0,0,0
p22.pddl,0,0,0,0,0,0,0,0
p23.pddl,0,0,0,0,0,0,0,0
p24.pddl,0,0,0,0,0,0,0,0
p25.pddl,0,0,0,0,0,0,0,0
p26.pddl,0,0,0,0,0,0,0,0
p27.pddl,0,0,0,0,0,0,0,0
p28.pddl,0,0,0,0,0,0,0,0
p29.pddl,0,0,0,0,0,0,0,0
p30.pddl,0,0,0,0,0,0,0,0
