file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,bw_5_1,0.023,3,3,0,1,10,10
p02.pddl,bw_5_2,0.011,2,2,0,1,10,10
p03.pddl,bw_5_3,0.014,2,2,0,1,12,12
p04.pddl,bw_5_4,0.039,5,5,0,1,22,22
p05.pddl,bw_5_5,0.013,2,2,0,1,12,12
p06.pddl,bw_5_6,0.012,1,1,0,1,10,10
p07.pddl,bw_5_7,0.018,3,3,0,1,14,14
p08.pddl,bw_5_8,0.033,4,4,0,1,26,26
p09.pddl,bw_5_9,0.006,1,1,0,1,8,8
p10.pddl,bw_5_10,0.008,1,1,0,1,10,10
p11.pddl,bw_10_11,0.564,13,13,0,1,138,141
p12.pddl,bw_10_12,0.701,26,26,0,1,130,132
p13.pddl,bw_10_13,0.143,4,4,0,1,48,49
p14.pddl,bw_10_14,0.148,9,9,0,1,42,42
p15.pddl,bw_10_15,0.141,8,8,0,1,46,47
p16.pddl,bw_10_16,0.751,23,23,0,1,222,231
p17.pddl,bw_10_17,0.089,4,4,0,1,36,36
p18.pddl,bw_10_18,0.096,6,6,0,1,40,40
p19.pddl,bw_10_19,0.132,8,8,0,1,52,53
p20.pddl,bw_10_20,0.180,10,10,0,1,58,58
p21.pddl,bw_15_21,6.174,47,47,0,1,322,330
p22.pddl,bw_15_22,2.824,26,26,0,1,140,140
p23.pddl,bw_15_23,0.656,10,10,0,1,60,60
p24.pddl,bw_15_24,9.679,52,52,0,1,336,340
p25.pddl,bw_15_25,7.946,28,28,0,1,196,197
p26.pddl,bw_15_26,1.208,12,12,0,1,84,85
p27.pddl,bw_15_27,16.819,76,76,0,1,504,506
p28.pddl,bw_15_28,3.246,15,15,0,1,96,99
p29.pddl,bw_15_29,15.451,41,41,0,1,296,301
p30.pddl,bw_15_30,12.915,119,119,0,1,802,816
