file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,bw_5_1,0.540,7,7,0,1,31,32
p02.pddl,bw_5_2,0.135,2,2,0,1,8,8
p03.pddl,bw_5_3,0.803,10,10,0,1,40,41
p04.pddl,bw_5_4,2.509,30,30,0,1,62,63
p05.pddl,bw_5_5,1.110,15,15,0,1,46,47
p06.pddl,bw_5_6,0.146,2,2,0,1,14,14
p07.pddl,bw_5_7,0.146,2,2,0,1,14,14
p08.pddl,bw_5_8,1.880,22,22,0,1,81,84
p09.pddl,bw_5_9,0.071,1,1,0,1,8,8
p10.pddl,bw_5_10,0.272,3,3,0,1,20,21
p11.pddl,0,0,0,0,0,0,0,0
p12.pddl,0,0,0,0,0,0,0,0
p13.pddl,bw_10_13,32.897,126,126,0,1,430,439
p14.pddl,bw_10_14,1.346,9,9,0,1,48,48
p15.pddl,0,0,0,0,0,0,0,0
p16.pddl,0,0,0,0,0,0,0,0
p17.pddl,bw_10_17,108.613,406,406,0,1,896,909
p18.pddl,bw_10_18,11.650,64,64,0,1,273,278
p19.pddl,0,0,0,0,0,0,0,0
p20.pddl,bw_10_20,33.409,115,115,0,1,457,465
p21.pddl,0,0,0,0,0,0,0,0
p22.pddl,0,0,0,0,0,0,0,0
p23.pddl,0,0,0,0,0,0,0,0
p24.pddl,0,0,0,0,0,0,0,0
p25.pddl,0,0,0,0,0,0,0,0
p26.pddl,0,0,0,0,0,0,0,0
p27.pddl,0,0,0,0,0,0,0,0
p28.pddl,0,0,0,0,0,0,0,0
p29.pddl,0,0,0,0,0,0,0,0
p30.pddl,0,0,0,0,0,0,0,0
