file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,bw_5_1,0.131,4,4,0,1,18,18
p02.pddl,bw_5_2,0.099,4,4,0,1,16,16
p03.pddl,bw_5_3,1.841,7,7,0,1,29,29
p04.pddl,bw_5_4,22.643,24,24,0,1,97,98
p05.pddl,bw_5_5,6.174,9,9,0,1,42,43
p06.pddl,bw_5_6,4.771,5,5,0,1,32,33
p07.pddl,bw_5_7,12.990,7,7,0,1,39,39
p08.pddl,bw_5_8,43.874,28,28,0,1,178,182
p09.pddl,bw_5_9,0.286,1,1,0,1,8,8
p10.pddl,bw_5_10,0.105,1,1,0,1,10,10
p11.pddl,0,0,0,0,0,0,0,0
p12.pddl,0,0,0,0,0,0,0,0
p13.pddl,0,0,0,0,0,0,0,0
p14.pddl,0,0,0,0,0,0,0,0
p15.pddl,0,0,0,0,0,0,0,0
p16.pddl,0,0,0,0,0,0,0,0
p17.pddl,0,0,0,0,0,0,0,0
p18.pddl,0,0,0,0,0,0,0,0
p19.pddl,0,0,0,0,0,0,0,0
p20.pddl,0,0,0,0,0,0,0,0
p21.pddl,0,0,0,0,0,0,0,0
p22.pddl,0,0,0,0,0,0,0,0
p23.pddl,0,0,0,0,0,0,0,0
p24.pddl,0,0,0,0,0,0,0,0
p25.pddl,0,0,0,0,0,0,0,0
p26.pddl,0,0,0,0,0,0,0,0
p27.pddl,0,0,0,0,0,0,0,0
p28.pddl,0,0,0,0,0,0,0,0
p29.pddl,0,0,0,0,0,0,0,0
p30.pddl,0,0,0,0,0,0,0,0
