file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,bw_5_1,0.182,3,3,0,1,10,10
p02.pddl,bw_5_2,0.124,2,2,0,1,10,10
p03.pddl,bw_5_3,0.201,2,2,0,1,12,12
p04.pddl,bw_5_4,0.379,5,5,0,1,22,22
p05.pddl,bw_5_5,0.120,2,2,0,1,12,12
p06.pddl,bw_5_6,0.084,1,1,0,1,10,10
p07.pddl,bw_5_7,0.204,3,3,0,1,14,14
p08.pddl,bw_5_8,0.273,4,4,0,1,26,26
p09.pddl,bw_5_9,0.074,1,1,0,1,8,8
p10.pddl,bw_5_10,0.080,1,1,0,1,10,10
p11.pddl,bw_10_11,2.100,14,14,0,1,138,141
p12.pddl,bw_10_12,2.709,26,26,0,1,130,132
p13.pddl,bw_10_13,0.603,4,4,0,1,48,49
p14.pddl,bw_10_14,0.655,9,9,0,1,42,42
p15.pddl,bw_10_15,0.797,9,9,0,1,46,47
p16.pddl,bw_10_16,2.795,23,23,0,1,222,231
p17.pddl,bw_10_17,0.417,4,4,0,1,36,36
p18.pddl,bw_10_18,0.542,6,6,0,1,40,40
p19.pddl,bw_10_19,0.694,8,8,0,1,52,53
p20.pddl,bw_10_20,0.984,12,12,0,1,58,58
p21.pddl,bw_15_21,15.628,46,46,0,1,322,330
p22.pddl,bw_15_22,7.555,23,23,0,1,140,140
p23.pddl,bw_15_23,2.227,10,10,0,1,60,60
p24.pddl,bw_15_24,23.435,52,52,0,1,336,340
p25.pddl,bw_15_25,19.365,28,28,0,1,196,197
p26.pddl,bw_15_26,3.720,12,12,0,1,84,85
p27.pddl,bw_15_27,41.063,76,76,0,1,504,506
p28.pddl,bw_15_28,8.337,15,15,0,1,96,99
p29.pddl,bw_15_29,36.955,41,41,0,1,288,293
p30.pddl,bw_15_30,38.744,119,119,0,1,802,816
