file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,doors-0,0.027,7,7,1,1,6,9
p02.pddl,doors-0,0.067,16,16,2,1,14,21
p03.pddl,doors-0,0.128,28,28,3,1,30,45
p04.pddl,doors-0,0.260,48,48,4,1,62,93
p05.pddl,doors-0,0.620,84,84,5,1,126,189
p06.pddl,doors-0,1.775,152,152,6,1,254,381
p07.pddl,doors-0,5.733,284,284,7,1,510,765
p08.pddl,doors-0,21.973,544,544,8,1,1022,1533
p09.pddl,doors-0,97.915,1060,1060,9,1,2046,3069
p10.pddl,doors-0,811.238,2088,2088,10,1,4094,6141
p11.pddl,0,0,0,0,0,0,0,0
p12.pddl,0,0,0,0,0,0,0,0
p13.pddl,0,0,0,0,0,0,0,0
p14.pddl,0,0,0,0,0,0,0,0
p15.pddl,0,0,0,0,0,0,0,0
