file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,elev_3_4_2_3_17332,0.005,1,1,0,1,13,13
p02.pddl,elev_3_4_2_3_15003,0.004,1,1,0,1,8,8
p03.pddl,elev_3_4_2_3_9142,0.005,1,1,0,1,15,15
p04.pddl,elev_3_4_2_3_22270,0.005,1,1,0,1,13,13
p05.pddl,elev_3_4_2_3_21192,0.005,1,1,0,1,11,11
p06.pddl,elev_3_8_2_6_17938,0.013,2,2,0,1,35,36
p07.pddl,elev_3_8_2_6_27049,0.007,1,1,0,1,25,25
p08.pddl,elev_3_8_2_6_24676,0.036,5,5,0,1,50,50
p09.pddl,elev_3_8_2_6_1096,0.047,6,6,0,1,105,107
p10.pddl,elev_3_8_2_6_4968,0.074,9,9,0,1,122,125
p11.pddl,elev_3_12_3_9_21143,0.104,9,9,0,1,187,190
p12.pddl,elev_3_12_3_9_29838,0.044,5,5,0,1,85,87
p13.pddl,elev_3_12_3_9_21687,0.241,18,18,0,1,302,305
p14.pddl,elev_3_12_3_9_25489,0.027,2,2,0,1,99,100
p15.pddl,elev_3_12_3_9_3382,0.089,9,9,0,1,159,161
