file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,elev_3_4_2_3_17332,0.021,1,1,0,1,13,13
p02.pddl,elev_3_4_2_3_15003,0.020,1,1,0,1,8,8
p03.pddl,elev_3_4_2_3_9142,0.020,1,1,0,1,15,15
p04.pddl,elev_3_4_2_3_22270,0.021,1,1,0,1,13,13
p05.pddl,elev_3_4_2_3_21192,0.019,1,1,0,1,11,11
p06.pddl,elev_3_8_2_6_17938,0.032,2,2,0,1,35,36
p07.pddl,elev_3_8_2_6_27049,0.023,1,1,0,1,25,25
p08.pddl,elev_3_8_2_6_24676,0.069,5,5,0,1,50,50
p09.pddl,elev_3_8_2_6_1096,0.114,8,8,0,1,147,151
p10.pddl,elev_3_8_2_6_4968,0.121,9,9,0,1,122,125
p11.pddl,elev_3_12_3_9_21143,0.234,13,13,0,1,205,209
p12.pddl,elev_3_12_3_9_29838,0.072,5,5,0,1,86,88
p13.pddl,elev_3_12_3_9_21687,0.353,18,18,0,1,302,305
p14.pddl,elev_3_12_3_9_25489,0.044,2,2,0,1,99,100
p15.pddl,elev_3_12_3_9_3382,0.175,11,11,0,1,161,163
