file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,elev_3_4_2_3_17332,0.062,1,1,0,1,13,13
p02.pddl,elev_3_4_2_3_15003,0.074,1,1,0,1,8,8
p03.pddl,elev_3_4_2_3_9142,0.072,1,1,0,1,15,15
p04.pddl,elev_3_4_2_3_22270,0.066,1,1,0,1,13,13
p05.pddl,elev_3_4_2_3_21192,0.072,1,1,0,1,11,11
p06.pddl,elev_3_8_2_6_17938,0.078,1,1,0,1,22,22
p07.pddl,elev_3_8_2_6_27049,0.079,1,1,0,1,22,22
p08.pddl,elev_3_8_2_6_24676,0.605,8,5,0,1,61,62
p09.pddl,elev_3_8_2_6_1096,0.116,1,1,0,1,35,35
p10.pddl,elev_3_8_2_6_4968,0.658,9,3,0,1,46,46
p11.pddl,elev_3_12_3_9_21143,1.298,10,6,0,1,107,108
p12.pddl,elev_3_12_3_9_29838,0.368,4,2,0,1,42,42
p13.pddl,elev_3_12_3_9_21687,1.789,12,4,0,1,86,86
p14.pddl,elev_3_12_3_9_25489,0.806,1,1,0,1,43,43
p15.pddl,elev_3_12_3_9_3382,1.342,10,5,0,1,101,102
