file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,elev_3_4_2_3_17332,0.008,1,1,0,1,13,13
p02.pddl,elev_3_4_2_3_15003,0.007,1,1,0,1,8,8
p03.pddl,elev_3_4_2_3_9142,0.008,1,1,0,1,16,16
p04.pddl,elev_3_4_2_3_22270,0.008,1,1,0,1,13,13
p05.pddl,elev_3_4_2_3_21192,0.007,1,1,0,1,11,11
p06.pddl,elev_3_8_2_6_17938,0.015,1,1,0,1,23,23
p07.pddl,elev_3_8_2_6_27049,0.013,1,1,0,1,25,25
p08.pddl,elev_3_8_2_6_24676,0.039,4,2,0,1,46,46
p09.pddl,elev_3_8_2_6_1096,0.019,1,1,0,1,36,36
p10.pddl,elev_3_8_2_6_4968,0.128,15,5,0,1,121,123
p11.pddl,elev_3_12_3_9_21143,0.151,12,7,0,1,175,179
p12.pddl,elev_3_12_3_9_29838,0.093,9,5,0,1,71,72
p13.pddl,elev_3_12_3_9_21687,0.276,20,10,0,1,209,212
p14.pddl,elev_3_12_3_9_25489,0.023,1,1,0,1,58,58
p15.pddl,elev_3_12_3_9_3382,0.187,13,7,0,1,160,163
