file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,elev_3_4_2_3_17332,0.021,1,1,0,1,13,13
p02.pddl,elev_3_4_2_3_15003,0.020,1,1,0,1,8,8
p03.pddl,elev_3_4_2_3_9142,0.020,1,1,0,1,15,15
p04.pddl,elev_3_4_2_3_22270,0.020,1,1,0,1,13,13
p05.pddl,elev_3_4_2_3_21192,0.020,1,1,0,1,11,11
p06.pddl,elev_3_8_2_6_17938,0.022,1,1,0,1,23,23
p07.pddl,elev_3_8_2_6_27049,0.022,1,1,0,1,25,25
p08.pddl,elev_3_8_2_6_24676,0.123,11,6,0,1,87,88
p09.pddl,elev_3_8_2_6_1096,0.032,2,2,0,1,37,37
p10.pddl,elev_3_8_2_6_4968,0.091,9,3,0,1,58,58
p11.pddl,elev_3_12_3_9_21143,0.137,10,6,0,1,138,140
p12.pddl,elev_3_12_3_9_29838,0.087,7,4,0,1,68,69
p13.pddl,elev_3_12_3_9_21687,0.167,15,5,0,1,90,90
p14.pddl,elev_3_12_3_9_25489,0.037,2,2,0,1,49,49
p15.pddl,elev_3_12_3_9_3382,0.279,22,13,0,1,203,208
