file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p_1_1.pddl,fault_o1_f1,0.121,2,2,0,1,5,6
p_2_1.pddl,fault_o2_f1,0.172,3,3,0,1,8,9
p_2_2.pddl,fault_o2_f2,0.197,4,4,0,1,9,12
p_3_1.pddl,fault_o3_f1,0.236,5,5,0,1,11,12
p_3_2.pddl,fault_o3_f2,0.333,7,7,0,1,18,23
p_3_3.pddl,fault_o3_f3,0.407,8,8,0,1,17,24
p_4_1.pddl,fault_o4_f1,0.338,7,7,0,1,17,18
p_4_2.pddl,fault_o4_f2,0.644,11,11,0,1,30,37
p_4_3.pddl,fault_o4_f3,0.877,17,17,0,1,39,52
p_4_4.pddl,fault_o4_f4,0.822,16,16,0,1,33,48
p_5_1.pddl,fault_o5_f1,0.787,15,15,0,1,29,30
p_5_2.pddl,fault_o5_f2,1.271,25,25,0,1,57,66
p_5_3.pddl,fault_o5_f3,1.367,26,26,0,1,67,88
p_5_4.pddl,fault_o5_f4,1.689,31,31,0,1,70,99
p_5_5.pddl,fault_o5_f5,1.747,32,32,0,1,65,96
p_6_1.pddl,fault_o6_f1,0.365,7,7,0,1,20,21
p_6_2.pddl,fault_o6_f2,1.282,24,24,0,1,66,77
p_6_3.pddl,fault_o6_f3,2.731,50,50,0,1,126,157
p_6_4.pddl,fault_o6_f4,3.186,58,58,0,1,138,189
p_6_5.pddl,fault_o6_f5,3.531,63,63,0,1,136,197
p_6_6.pddl,fault_o6_f6,3.595,64,64,0,1,129,192
p_7_1.pddl,fault_o7_f1,0.518,9,9,0,1,23,24
p_7_2.pddl,fault_o7_f2,2.369,44,44,0,1,100,113
p_7_3.pddl,fault_o7_f3,4.011,73,73,0,1,180,223
p_7_4.pddl,fault_o7_f4,6.936,114,114,0,1,270,354
p_7_5.pddl,fault_o7_f5,7.636,124,124,0,1,278,391
p_7_6.pddl,fault_o7_f6,7.850,127,127,0,1,266,391
p_7_7.pddl,fault_o7_f7,8.180,128,128,0,1,257,384
p_8_1.pddl,fault_o8_f1,2.076,41,41,0,1,63,64
p_8_2.pddl,fault_o8_f2,4.362,72,72,0,1,158,175
p_8_3.pddl,fault_o8_f3,10.478,159,159,0,1,363,431
p_8_4.pddl,fault_o8_f4,13.253,194,194,0,1,466,593
p_8_5.pddl,fault_o8_f5,16.416,232,232,0,1,548,745
p_8_6.pddl,fault_o8_f6,18.085,249,249,0,1,545,784
p_8_7.pddl,fault_o8_f7,19.564,255,255,0,1,524,777
p_8_8.pddl,fault_o8_f8,20.230,256,256,0,1,513,768
p_9_1.pddl,fault_o9_f1,1.185,22,22,0,1,45,46
p_9_2.pddl,fault_o9_f2,4.806,82,82,0,1,168,185
p_9_3.pddl,fault_o9_f3,15.513,205,205,0,1,502,593
p_9_4.pddl,fault_o9_f4,22.460,290,290,0,1,733,918
p_9_5.pddl,fault_o9_f5,33.888,406,406,0,1,968,1293
p_9_6.pddl,fault_o9_f6,32.649,480,480,0,1,1088,1525
p_9_7.pddl,fault_o9_f7,32.629,511,511,0,1,1079,1572
p_9_8.pddl,fault_o9_f8,33.699,513,513,0,1,1041,1550
p_9_9.pddl,fault_o9_f9,38.377,535,535,0,1,1076,1607
p_10_1.pddl,fault_o10_f1,0.397,14,14,0,1,32,33
p_10_2.pddl,fault_o10_f2,10.400,224,224,0,1,397,419
p_10_3.pddl,fault_o10_f3,20.311,312,312,3,1,713,831
p_10_4.pddl,fault_o10_f4,41.759,550,550,0,1,1300,1570
p_10_5.pddl,fault_o10_f5,56.051,695,695,0,1,1735,2247
p_10_6.pddl,fault_o10_f6,85.376,905,905,0,1,2108,2871
p_10_7.pddl,fault_o10_f7,93.420,987,987,0,1,2160,3091
p_10_8.pddl,fault_o10_f8,74.136,1013,1013,0,1,2106,3109
p_10_9.pddl,fault_o10_f9,55.834,1023,1023,0,1,2064,3085
p_10_10.pddl,fault_o10_f10,50.171,1024,1024,0,1,2049,3072
