file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p_1_1.pddl,fault_o1_f1,0,,,0,1,4,4
p_2_1.pddl,fault_o2_f1,0,,,0,1,6,6
p_2_2.pddl,fault_o2_f2,0,,,0,1,5,5
p_3_1.pddl,fault_o3_f1,0.02,,,0,1,8,8
p_3_2.pddl,fault_o3_f2,0,,,0,1,7,7
p_3_3.pddl,fault_o3_f3,0.02,,,0,1,7,7
p_4_1.pddl,fault_o4_f1,0.02,,,0,1,10,10
p_4_2.pddl,fault_o4_f2,0,,,0,1,9,9
p_4_3.pddl,fault_o4_f3,0,,,0,1,9,9
p_4_4.pddl,fault_o4_f4,0.02,,,0,1,9,9
p_5_1.pddl,fault_o5_f1,0.02,,,0,1,12,12
p_5_2.pddl,fault_o5_f2,0.02,,,0,1,11,11
p_5_3.pddl,fault_o5_f3,0,,,0,1,11,11
p_5_4.pddl,fault_o5_f4,0.02,,,0,1,11,11
p_5_5.pddl,fault_o5_f5,0.02,,,0,1,11,11
p_6_1.pddl,fault_o6_f1,0.04,,,0,1,14,14
p_6_2.pddl,fault_o6_f2,0.02,,,0,1,13,13
p_6_3.pddl,fault_o6_f3,0.02,,,0,1,13,13
p_6_4.pddl,fault_o6_f4,0.02,,,0,1,13,13
p_6_5.pddl,fault_o6_f5,0.04,,,0,1,13,13
p_6_6.pddl,fault_o6_f6,0.02,,,0,1,13,13
p_7_1.pddl,fault_o7_f1,0.04,,,0,1,16,16
p_7_2.pddl,fault_o7_f2,0.02,,,0,1,15,15
p_7_3.pddl,fault_o7_f3,0.04,,,0,1,15,15
p_7_4.pddl,fault_o7_f4,0.02,,,0,1,15,15
p_7_5.pddl,fault_o7_f5,0.04,,,0,1,15,15
p_7_6.pddl,fault_o7_f6,0.02,,,0,1,15,15
p_7_7.pddl,fault_o7_f7,0.04,,,0,1,15,15
p_8_1.pddl,fault_o8_f1,0.04,,,0,1,18,18
p_8_2.pddl,fault_o8_f2,0.04,,,0,1,17,17
p_8_3.pddl,fault_o8_f3,0.04,,,0,1,17,17
p_8_4.pddl,fault_o8_f4,0.04,,,0,1,17,17
p_8_5.pddl,fault_o8_f5,0.06,,,0,1,17,17
p_8_6.pddl,fault_o8_f6,0.04,,,0,1,17,17
p_8_7.pddl,fault_o8_f7,0.04,,,0,1,17,17
p_8_8.pddl,fault_o8_f8,0.04,,,0,1,17,17
p_9_1.pddl,fault_o9_f1,0.06,,,0,1,20,20
p_9_2.pddl,fault_o9_f2,0.04,,,0,1,19,19
p_9_3.pddl,fault_o9_f3,0.08,,,0,1,19,19
p_9_4.pddl,fault_o9_f4,0.08,,,0,1,19,19
p_9_5.pddl,fault_o9_f5,0.08,,,0,1,19,19
p_9_6.pddl,fault_o9_f6,0.06,,,0,1,19,19
p_9_7.pddl,fault_o9_f7,0.06,,,0,1,19,19
p_9_8.pddl,fault_o9_f8,0.06,,,0,1,19,19
p_9_9.pddl,fault_o9_f9,0.06,,,0,1,19,19
p_10_1.pddl,fault_o10_f1,0.06,,,0,1,22,22
p_10_2.pddl,fault_o10_f2,0.04,,,0,1,21,21
p_10_3.pddl,fault_o10_f3,0.08,,,0,1,21,21
p_10_4.pddl,fault_o10_f4,0.04,,,0,1,21,21
p_10_5.pddl,fault_o10_f5,0.06,,,0,1,21,21
p_10_6.pddl,fault_o10_f6,0.04,,,0,1,21,21
p_10_7.pddl,fault_o10_f7,0.06,,,0,1,21,21
p_10_8.pddl,fault_o10_f8,0.06,,,0,1,21,21
p_10_9.pddl,fault_o10_f9,0.08,,,0,1,21,21
p_10_10.pddl,fault_o10_f10,0.1,,,0,1,21,21
