file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p_1_1.pddl,fault_o1_f1,0.347,4,2,0,1,5,6
p_2_1.pddl,fault_o2_f1,0.497,6,3,0,1,8,9
p_2_2.pddl,fault_o2_f2,0.505,6,4,0,1,9,12
p_3_1.pddl,fault_o3_f1,0.686,8,4,0,1,11,12
p_3_2.pddl,fault_o3_f2,1.052,12,7,0,1,18,23
p_3_3.pddl,fault_o3_f3,0.920,10,8,0,1,17,24
p_4_1.pddl,fault_o4_f1,0.858,10,5,0,1,14,15
p_4_2.pddl,fault_o4_f2,1.726,20,11,0,1,30,37
p_4_3.pddl,fault_o4_f3,2.067,22,15,0,1,36,49
p_4_4.pddl,fault_o4_f4,1.716,18,16,0,1,33,48
p_5_1.pddl,fault_o5_f1,0.985,12,6,0,1,17,18
p_5_2.pddl,fault_o5_f2,2.397,30,16,0,1,45,54
p_5_3.pddl,fault_o5_f3,3.300,42,26,0,1,67,88
p_5_4.pddl,fault_o5_f4,3.500,40,31,0,1,70,99
p_5_5.pddl,fault_o5_f5,3.043,34,32,0,1,65,96
p_6_1.pddl,fault_o6_f1,1.046,14,7,0,1,20,21
p_6_2.pddl,fault_o6_f2,3.202,42,22,0,1,63,74
p_6_3.pddl,fault_o6_f3,5.834,72,42,0,1,113,144
p_6_4.pddl,fault_o6_f4,7.140,82,57,0,1,138,189
p_6_5.pddl,fault_o6_f5,7.329,74,63,0,1,136,197
p_6_6.pddl,fault_o6_f6,7.690,66,64,0,1,129,192
p_7_1.pddl,fault_o7_f1,1.183,16,8,0,1,23,24
p_7_2.pddl,fault_o7_f2,4.307,56,29,0,1,84,97
p_7_3.pddl,fault_o7_f3,9.380,114,64,0,1,177,220
p_7_4.pddl,fault_o7_f4,14.003,154,99,0,1,252,335
p_7_5.pddl,fault_o7_f5,17.608,156,120,0,1,275,388
p_7_6.pddl,fault_o7_f6,25.871,140,127,0,1,266,391
p_7_7.pddl,fault_o7_f7,36.513,130,128,0,1,257,384
p_8_1.pddl,fault_o8_f1,1.348,18,9,0,1,26,27
p_8_2.pddl,fault_o8_f2,5.648,72,37,0,1,108,123
p_8_3.pddl,fault_o8_f3,14.344,170,93,0,1,262,319
p_8_4.pddl,fault_o8_f4,25.343,268,163,0,1,430,557
p_8_5.pddl,fault_o8_f5,40.498,310,219,0,1,528,725
p_8_6.pddl,fault_o8_f6,89.354,296,247,0,1,542,781
p_8_7.pddl,fault_o8_f7,243.134,270,255,0,1,524,777
p_8_8.pddl,fault_o8_f8,421.532,258,256,0,1,513,768
p_9_1.pddl,fault_o9_f1,1.485,20,10,0,1,29,30
p_9_2.pddl,fault_o9_f2,7.187,90,46,0,1,135,152
p_9_3.pddl,fault_o9_f3,21.082,242,130,0,1,371,444
p_9_4.pddl,fault_o9_f4,43.822,438,256,0,1,693,878
p_9_5.pddl,fault_o9_f5,89.359,578,382,0,1,959,1284
p_9_6.pddl,fault_o9_f6,284.623,606,466,0,1,1071,1508
p_9_7.pddl,fault_o9_f7,1189.151,566,502,0,1,1067,1560
p_9_8.pddl,0,0,0,0,0,0,0,0
p_9_9.pddl,0,0,0,0,0,0,0,0
p_10_1.pddl,fault_o10_f1,2.028,22,11,0,1,32,33
p_10_2.pddl,fault_o10_f2,9.347,110,56,0,1,165,184
p_10_3.pddl,fault_o10_f3,28.440,332,176,0,1,507,598
p_10_4.pddl,fault_o10_f4,70.554,680,386,0,1,1065,1324
p_10_5.pddl,fault_o10_f5,183.764,1016,638,0,1,1653,2164
p_10_6.pddl,fault_o10_f6,795.321,1184,848,0,1,2031,2794
p_10_7.pddl,0,0,0,0,0,0,0,0
p_10_8.pddl,0,0,0,0,0,0,0,0
p_10_9.pddl,0,0,0,0,0,0,0,0
p_10_10.pddl,0,0,0,0,0,0,0,0
