file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p_1_1.pddl,fault_o1_f1,0.007,2,2,0,1,5,6
p_2_1.pddl,fault_o2_f1,0.012,3,3,0,1,8,9
p_2_2.pddl,fault_o2_f2,0.012,4,4,0,1,9,12
p_3_1.pddl,fault_o3_f1,0.015,4,4,0,1,11,12
p_3_2.pddl,fault_o3_f2,0.025,7,7,0,1,18,23
p_3_3.pddl,fault_o3_f3,0.026,8,8,0,1,17,24
p_4_1.pddl,fault_o4_f1,0.019,5,5,0,1,14,15
p_4_2.pddl,fault_o4_f2,0.043,11,11,0,1,30,37
p_4_3.pddl,fault_o4_f3,0.063,15,15,0,1,36,49
p_4_4.pddl,fault_o4_f4,0.062,16,16,0,1,33,48
p_5_1.pddl,fault_o5_f1,0.021,6,6,0,1,17,18
p_5_2.pddl,fault_o5_f2,0.063,16,16,0,1,45,54
p_5_3.pddl,fault_o5_f3,0.109,26,26,0,1,67,88
p_5_4.pddl,fault_o5_f4,0.127,31,31,0,1,70,99
p_5_5.pddl,fault_o5_f5,0.126,32,32,0,1,65,96
p_6_1.pddl,fault_o6_f1,0.027,7,7,0,1,20,21
p_6_2.pddl,fault_o6_f2,0.092,22,22,0,1,63,74
p_6_3.pddl,fault_o6_f3,0.196,42,42,0,1,113,144
p_6_4.pddl,fault_o6_f4,0.280,57,57,0,1,138,189
p_6_5.pddl,fault_o6_f5,0.312,63,63,0,1,136,197
p_6_6.pddl,fault_o6_f6,0.402,64,64,0,1,129,192
p_7_1.pddl,fault_o7_f1,0.041,8,8,0,1,23,24
p_7_2.pddl,fault_o7_f2,0.153,29,29,0,1,84,97
p_7_3.pddl,fault_o7_f3,0.357,64,64,0,1,177,220
p_7_4.pddl,fault_o7_f4,0.659,99,99,0,1,252,335
p_7_5.pddl,fault_o7_f5,0.807,120,120,0,1,275,388
p_7_6.pddl,fault_o7_f6,0.913,127,127,0,1,266,391
p_7_7.pddl,fault_o7_f7,1.046,128,128,0,1,257,384
p_8_1.pddl,fault_o8_f1,0.041,9,9,0,1,26,27
p_8_2.pddl,fault_o8_f2,0.197,37,37,0,1,108,123
p_8_3.pddl,fault_o8_f3,0.755,93,93,0,1,262,319
p_8_4.pddl,fault_o8_f4,1.500,163,163,0,1,430,557
p_8_5.pddl,fault_o8_f5,2.304,219,219,0,1,528,725
p_8_6.pddl,fault_o8_f6,2.989,247,247,0,1,542,781
p_8_7.pddl,fault_o8_f7,3.110,255,255,0,1,524,777
p_8_8.pddl,fault_o8_f8,3.153,256,256,0,1,513,768
p_9_1.pddl,fault_o9_f1,0.053,10,10,0,1,29,30
p_9_2.pddl,fault_o9_f2,0.288,46,46,0,1,135,152
p_9_3.pddl,fault_o9_f3,1.234,130,130,0,1,371,444
p_9_4.pddl,fault_o9_f4,3.543,256,256,0,1,693,878
p_9_5.pddl,fault_o9_f5,7.275,382,382,0,1,959,1284
p_9_6.pddl,fault_o9_f6,9.256,466,466,0,1,1071,1508
p_9_7.pddl,fault_o9_f7,11.325,502,502,0,1,1067,1560
p_9_8.pddl,fault_o9_f8,12.619,511,511,0,1,1038,1547
p_9_9.pddl,fault_o9_f9,12.390,512,512,0,1,1025,1536
p_10_1.pddl,fault_o10_f1,0.067,11,11,0,1,32,33
p_10_2.pddl,fault_o10_f2,0.434,56,56,0,1,165,184
p_10_3.pddl,fault_o10_f3,2.371,176,176,0,1,507,598
p_10_4.pddl,fault_o10_f4,7.710,386,386,0,1,1065,1324
p_10_5.pddl,fault_o10_f5,17.644,638,638,0,1,1653,2164
p_10_6.pddl,fault_o10_f6,30.154,848,848,0,1,2031,2794
p_10_7.pddl,fault_o10_f7,46.767,968,968,0,1,2139,3070
p_10_8.pddl,fault_o10_f8,53.225,1013,1013,0,1,2106,3109
p_10_9.pddl,fault_o10_f9,51.241,1023,1023,0,1,2064,3085
p_10_10.pddl,fault_o10_f10,0.036,6,6,0,1,11,11
