file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p_1_1.pddl,fault_o1_f1,0.010,2,2,0,1,5,6
p_2_1.pddl,fault_o2_f1,0.019,3,3,0,1,8,9
p_2_2.pddl,fault_o2_f2,0.018,4,4,0,1,9,12
p_3_1.pddl,fault_o3_f1,0.036,7,7,0,1,16,17
p_3_2.pddl,fault_o3_f2,0.045,9,9,0,1,21,26
p_3_3.pddl,fault_o3_f3,0.059,8,8,0,1,17,24
p_4_1.pddl,fault_o4_f1,0.071,14,14,0,1,26,27
p_4_2.pddl,fault_o4_f2,0.095,14,14,0,1,30,37
p_4_3.pddl,fault_o4_f3,0.109,17,17,0,1,39,52
p_4_4.pddl,fault_o4_f4,0.120,16,16,0,1,33,48
p_5_1.pddl,fault_o5_f1,0.061,11,11,0,1,20,21
p_5_2.pddl,fault_o5_f2,0.163,24,24,0,1,51,60
p_5_3.pddl,fault_o5_f3,0.157,26,26,0,1,67,88
p_5_4.pddl,fault_o5_f4,0.231,33,33,0,1,73,102
p_5_5.pddl,fault_o5_f5,0.227,32,32,0,1,65,96
p_6_1.pddl,fault_o6_f1,0.179,24,24,0,1,40,41
p_6_2.pddl,fault_o6_f2,0.541,66,66,0,1,123,136
p_6_3.pddl,fault_o6_f3,0.794,74,74,0,1,155,188
p_6_4.pddl,fault_o6_f4,0.453,58,58,0,1,138,189
p_6_5.pddl,fault_o6_f5,0.662,70,70,0,1,147,211
p_6_6.pddl,fault_o6_f6,1.533,116,116,0,1,244,355
p_7_1.pddl,fault_o7_f1,0.255,37,37,0,1,53,54
p_7_2.pddl,fault_o7_f2,3.122,224,224,0,1,294,311
p_7_3.pddl,fault_o7_f3,7.797,336,336,0,1,538,621
p_7_4.pddl,fault_o7_f4,12.162,413,413,0,1,724,903
p_7_5.pddl,fault_o7_f5,2.677,179,179,0,1,408,559
p_7_6.pddl,fault_o7_f6,1.728,132,132,0,1,269,391
p_7_7.pddl,fault_o7_f7,6.821,310,310,0,1,637,933
p_8_1.pddl,fault_o8_f1,0.260,35,35,0,1,54,55
p_8_2.pddl,fault_o8_f2,3.033,222,222,0,1,318,336
p_8_3.pddl,fault_o8_f3,63.063,1211,1211,0,1,1486,1612
p_8_4.pddl,fault_o8_f4,6.471,308,308,0,1,682,852
p_8_5.pddl,fault_o8_f5,4.938,254,254,0,1,563,760
p_8_6.pddl,fault_o8_f6,11.081,391,391,0,1,862,1212
p_8_7.pddl,fault_o8_f7,5.489,254,254,0,1,524,775
p_8_8.pddl,fault_o8_f8,11.696,385,385,0,1,782,1163
p_9_1.pddl,fault_o9_f1,0.513,63,63,0,1,80,81
p_9_2.pddl,fault_o9_f2,18.636,579,579,0,1,684,704
p_9_3.pddl,fault_o9_f3,688.157,4459,4459,0,1,4325,4487
p_9_4.pddl,fault_o9_f4,415.981,3122,3122,0,1,3711,4291
p_9_5.pddl,fault_o9_f5,775.771,3533,3533,0,1,5782,7237
p_9_6.pddl,fault_o9_f6,61.062,972,972,0,1,2058,2781
p_9_7.pddl,fault_o9_f7,209.298,1763,1763,0,1,3433,4767
p_9_8.pddl,fault_o9_f8,43.956,823,823,0,1,1690,2474
p_9_9.pddl,fault_o9_f9,19.649,557,557,0,1,1111,1652
p_10_1.pddl,fault_o10_f1,0.651,80,80,0,1,104,105
p_10_2.pddl,fault_o10_f2,23.413,750,750,0,1,901,924
p_10_3.pddl,fault_o10_f3,961.511,5208,5208,0,1,5718,5925
p_10_4.pddl,0,0,0,0,0,0,0,0
p_10_5.pddl,0,0,0,0,0,0,0,0
p_10_6.pddl,0,0,0,0,0,0,0,0
p_10_7.pddl,fault_o10_f7,578.688,2679,2679,0,1,5706,7873
p_10_8.pddl,0,0,0,0,0,0,0,0
p_10_9.pddl,fault_o10_f9,304.263,1964,1964,0,1,4010,5877
p_10_10.pddl,fault_o10_f10,0.103,4,4,0,0,5,4
