file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,FR_1_1,0,,,0,1,4,4
p02.pddl,FR_1_2,0,,,0,1,5,5
p03.pddl,FR_1_3,0,,,0,1,6,6
p04.pddl,FR_1_4,0,,,0,1,7,7
p05.pddl,FR_1_5,0.02,,,0,1,8,8
p06.pddl,FR_1_6,0.02,,,0,1,9,9
p07.pddl,FR_1_7,0.02,,,0,1,10,10
p08.pddl,FR_1_8,0.02,,,0,1,11,11
p09.pddl,FR_1_9,0.02,,,0,1,12,12
p100.pddl,FR_9_10,,,,,0,,
p101.pddl,FR_10_1,0.02,,,0,1,4,4
p102.pddl,FR_10_2,0.04,,,0,1,7,7
p103.pddl,FR_10_3,0.06,,,0,1,14,14
p104.pddl,FR_10_4,0.1,,,0,1,21,21
p105.pddl,FR_10_5,0.14,,,0,1,26,26
p106.pddl,FR_10_6,,,,,0,,
p107.pddl,FR_10_7,0.18,,,0,1,32,32
p108.pddl,FR_10_8,0.28,,,0,1,30,30
p109.pddl,FR_10_9,,,,,0,,
p10.pddl,FR_1_10,0.02,,,0,1,13,13
p110.pddl,FR_10_10,0.3,,,0,1,43,43
p11.pddl,FR_2_1,,,,,0,,
p12.pddl,FR_2_2,0,,,0,1,5,5
p13.pddl,FR_2_3,0.02,,,0,1,13,13
p14.pddl,FR_2_4,0.02,,,0,1,9,9
p15.pddl,FR_2_5,,,,,0,,
p16.pddl,FR_2_6,,,,,0,,
p17.pddl,FR_2_7,0.08,,,0,1,18,18
p18.pddl,FR_2_8,0.04,,,0,1,13,13
p19.pddl,FR_2_9,,,,,0,,
p20.pddl,FR_2_10,,,,,0,,
p31.pddl,FR_3_1,0,,,0,1,5,5
p32.pddl,FR_3_2,0.02,,,0,1,12,12
p33.pddl,FR_3_3,,,,,0,,
p34.pddl,FR_3_4,,,,,0,,
p35.pddl,FR_3_5,,,,,0,,
p36.pddl,FR_3_6,,,,,0,,
p37.pddl,FR_3_7,0.06,,,0,1,24,24
p38.pddl,FR_3_8,0.04,,,0,1,20,20
p39.pddl,FR_3_9,,,,,0,,
p40.pddl,FR_3_10,,,,,0,,
p41.pddl,FR_4_1,0,,,0,1,5,5
p42.pddl,FR_4_2,0.02,,,0,1,8,8
p43.pddl,FR_4_3,19.34,,,1,1,10,10
p44.pddl,FR_4_4,0.06,,,0,1,22,22
p45.pddl,FR_4_5,,,,,0,,
p46.pddl,FR_4_6,0.06,,,0,1,14,14
p47.pddl,FR_4_7,13.58,,,4,1,21,21
p48.pddl,FR_4_8,0.12,,,0,1,27,27
p49.pddl,FR_4_9,0.06,,,0,1,23,23
p50.pddl,FR_4_10,,,,,0,,
p51.pddl,FR_5_1,0,,,0,1,4,4
p52.pddl,FR_5_2,0.02,,,0,1,8,8
p53.pddl,FR_5_3,0.02,,,0,1,8,8
p54.pddl,FR_5_4,0.08,,,0,1,20,20
p55.pddl,FR_5_5,0.08,,,0,1,21,21
p56.pddl,FR_5_6,,,,,0,,
p57.pddl,FR_5_7,,,,,0,,
p58.pddl,FR_5_8,0.12,,,0,1,26,26
p59.pddl,FR_5_9,0.14,,,0,1,29,29
p60.pddl,FR_5_10,0.16,,,0,1,42,42
p61.pddl,FR_6_1,0.02,,,0,1,7,7
p62.pddl,FR_6_2,0.02,,,0,1,9,9
p63.pddl,FR_6_3,0.08,,,0,1,17,17
p64.pddl,FR_6_4,0.08,,,0,1,23,23
p65.pddl,FR_6_5,0.06,,,0,1,14,14
p66.pddl,FR_6_6,,,,,0,,
p67.pddl,FR_6_7,,,,,0,,
p68.pddl,FR_6_8,0.1,,,0,1,30,30
p69.pddl,FR_6_9,0.14,,,0,1,27,27
p70.pddl,FR_6_10,0.2,,,0,1,32,32
p71.pddl,FR_7_1,0.02,,,0,1,4,4
p72.pddl,FR_7_2,0.02,,,0,1,8,8
p73.pddl,FR_7_3,0.06,,,0,1,13,13
p74.pddl,FR_7_4,0.06,,,0,1,18,18
p75.pddl,FR_7_5,0.04,,,0,1,14,14
p76.pddl,FR_7_6,0.1,,,0,1,20,20
p77.pddl,FR_7_7,0.14,,,0,1,25,25
p78.pddl,FR_7_8,0.06,,,0,1,12,12
p79.pddl,FR_7_9,,,,,0,,
p80.pddl,FR_7_10,0.12,,,0,1,29,29
p81.pddl,FR_8_1,0.02,,,0,1,5,5
p82.pddl,FR_8_2,0.02,,,0,1,8,8
p83.pddl,FR_8_3,,,,,0,,
p84.pddl,FR_8_4,0.08,,,0,1,17,17
p85.pddl,FR_8_5,0.1,,,0,1,22,22
p86.pddl,FR_8_6,0.08,,,0,1,24,24
p87.pddl,FR_8_7,0.14,,,0,1,25,25
p88.pddl,FR_8_8,0.18,,,0,1,38,38
p89.pddl,FR_8_9,0.16,,,0,1,23,23
p90.pddl,FR_8_10,0.16,,,0,1,26,26
p91.pddl,FR_9_1,0.04,,,0,1,12,12
p92.pddl,FR_9_2,0.06,,,0,1,15,15
p93.pddl,FR_9_3,0.08,,,0,1,18,18
p94.pddl,FR_9_4,,,,,0,,
p95.pddl,FR_9_5,,,,,0,,
p96.pddl,FR_9_6,0.16,,,0,1,22,22
p97.pddl,FR_9_7,0.1,,,0,1,36,36
p98.pddl,FR_9_8,0.34,,,0,1,94,94
p99.pddl,FR_9_9,,,,,0,,
