file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,fr_1_1,0.217,2,2,0,1,4,4
p02.pddl,fr_1_2,0.193,2,2,0,1,5,5
p03.pddl,fr_1_3,0.177,2,2,0,1,6,6
p04.pddl,fr_1_4,0.202,2,2,0,1,7,7
p05.pddl,fr_1_5,0.19,2,2,0,1,8,8
p06.pddl,fr_1_6,0.194,2,2,0,1,9,9
p07.pddl,fr_1_7,0.212,2,2,0,1,10,10
p08.pddl,fr_1_8,0.198,2,2,0,1,11,11
p09.pddl,fr_1_9,0.197,2,2,0,1,12,12
p10.pddl,fr_1_10,0.202,2,2,0,1,13,13
p11.pddl,fr_2_1,0.64,9,1,0,0,0,0
p12.pddl,fr_2_2,0.305,4,2,0,1,5,5
p13.pddl,fr_2_3,0.171,2,2,0,1,14,14
p14.pddl,fr_2_4,0.187,2,2,0,1,9,9
p15.pddl,fr_2_5,0.716,9,1,0,0,0,0
p16.pddl,fr_2_6,0.654,9,1,0,0,0,0
p17.pddl,fr_2_7,0.411,3,3,0,1,20,20
p18.pddl,fr_2_8,0.278,2,2,0,1,13,13
p19.pddl,fr_2_9,0.876,9,1,0,0,0,0
p20.pddl,fr_2_10,0.718,9,1,0,0,0,0
p31.pddl,fr_3_1,0.086,1,1,0,1,8,8
p32.pddl,fr_3_2,0.261,3,3,0,1,13,13
p33.pddl,fr_3_3,0.765,9,1,0,0,0,0
p34.pddl,fr_3_4,0.801,9,1,0,0,0,0
p35.pddl,fr_3_5,0.688,9,1,0,0,0,0
p36.pddl,fr_3_6,0.683,9,1,0,0,0,0
p37.pddl,fr_3_7,0.539,3,3,0,1,27,27
p38.pddl,fr_3_8,0.543,3,3,0,1,24,24
p39.pddl,fr_3_9,0.706,9,1,0,0,0,0
p40.pddl,fr_3_10,0.989,9,1,0,0,0,0
p41.pddl,fr_4_1,0.089,1,1,0,1,7,7
p42.pddl,fr_4_2,0.219,2,2,0,1,12,12
p43.pddl,fr_4_3,0.34,3,3,0,1,10,10
p44.pddl,fr_4_4,1.32,2,2,0,1,22,22
p45.pddl,fr_4_5,0.697,9,1,0,0,0,0
p46.pddl,fr_4_6,0.298,3,3,0,1,19,19
p47.pddl,fr_4_7,31.902,3,3,0,1,26,26
p48.pddl,fr_4_8,160.605,4,4,0,1,30,30
p49.pddl,fr_4_9,17.1,4,4,0,1,27,27
p50.pddl,fr_4_10,1.006,9,1,0,0,0,0
p51.pddl,fr_5_1,0.122,1,1,0,1,3,3
p52.pddl,fr_5_2,0.231,2,2,0,1,8,8
p53.pddl,fr_5_3,0.377,2,2,0,1,8,8
p54.pddl,fr_5_4,0.336,2,2,0,1,22,22
p55.pddl,fr_5_5,44.547,2,2,0,1,25,25
p56.pddl,fr_5_6,1.145,9,1,0,0,0,0
p57.pddl,fr_5_7,0.97,9,1,0,0,0,0
p58.pddl,0,0,0,0,0,0,0,0
p59.pddl,fr_5_9,496.331,6,5,0,1,34,34
p60.pddl,0,0,0,0,0,0,0,0
p61.pddl,fr_6_1,0.118,1,1,0,1,6,6
p62.pddl,fr_6_2,0.237,2,2,0,1,13,13
p63.pddl,fr_6_3,1.025,3,3,0,1,17,17
p64.pddl,fr_6_4,14.604,2,2,0,1,20,20
p65.pddl,fr_6_5,0.706,2,2,0,1,15,15
p66.pddl,fr_6_6,0.901,9,1,0,0,0,0
p67.pddl,fr_6_7,0.885,9,1,0,0,0,0
p68.pddl,0,0,0,0,0,0,0,0
p69.pddl,0,0,0,0,0,0,0,0
p70.pddl,0,0,0,0,0,0,0,0
p71.pddl,fr_7_1,0.141,1,1,0,1,3,3
p72.pddl,fr_7_2,0.135,1,1,0,1,9,9
p73.pddl,fr_7_3,1.508,2,2,0,1,16,16
p74.pddl,fr_7_4,1.685,2,2,0,1,19,19
p75.pddl,fr_7_5,0.599,1,1,0,1,19,19
p76.pddl,fr_7_6,1.472,2,2,0,1,25,25
p77.pddl,fr_7_7,328.167,3,3,0,1,30,30
p78.pddl,fr_7_8,0.188,1,1,0,1,11,11
p79.pddl,fr_7_9,1.306,9,1,0,0,0,0
p80.pddl,fr_7_10,391.55,2,2,0,1,36,36
p81.pddl,fr_8_1,0.242,1,1,0,1,7,7
p82.pddl,fr_8_2,0.147,1,1,0,1,7,7
