file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,fr_1_1,0.128,2,2,0,1,3,3
p02.pddl,fr_1_2,0.125,2,2,0,1,3,3
p03.pddl,fr_1_3,0.127,2,2,0,1,3,3
p04.pddl,fr_1_4,0.127,2,2,0,1,3,3
p05.pddl,fr_1_5,0.126,2,2,0,1,3,3
p06.pddl,fr_1_6,0.125,2,2,0,1,3,3
p07.pddl,fr_1_7,0.127,2,2,0,1,3,3
p08.pddl,fr_1_8,0.125,2,2,0,1,3,3
p09.pddl,fr_1_9,0.126,2,2,0,1,3,3
p10.pddl,fr_1_10,0.133,2,2,0,1,3,3
p11.pddl,fr_2_1,0.454,9,1,0,0,0,0
p12.pddl,fr_2_2,0.973,17,7,0,1,8,8
p13.pddl,fr_2_3,0.135,2,2,0,1,10,10
p14.pddl,fr_2_4,0.127,2,2,0,1,5,5
p15.pddl,fr_2_5,0.447,9,1,0,0,0,0
p16.pddl,fr_2_6,0.444,9,1,0,0,0,0
p17.pddl,fr_2_7,0.394,6,6,0,1,14,14
p18.pddl,fr_2_8,0.127,2,2,0,1,5,5
p19.pddl,fr_2_9,0.453,9,1,0,0,0,0
p20.pddl,fr_2_10,0.461,9,1,0,0,0,0
p31.pddl,fr_3_1,0.064,1,1,0,1,8,8
p32.pddl,fr_3_2,0.189,3,3,0,1,10,10
p33.pddl,fr_3_3,0.454,9,1,0,0,0,0
p34.pddl,fr_3_4,0.456,9,1,0,0,0,0
p35.pddl,fr_3_5,0.453,9,1,0,0,0,0
p36.pddl,fr_3_6,0.464,9,1,0,0,0,0
p37.pddl,fr_3_7,0.824,12,12,0,1,45,45
p38.pddl,fr_3_8,0.143,2,2,0,1,12,12
p39.pddl,fr_3_9,0.462,9,1,0,0,0,0
p40.pddl,fr_3_10,0.459,9,1,0,0,0,0
p41.pddl,fr_4_1,0.205,3,3,0,1,12,12
p42.pddl,fr_4_2,0.550,8,8,0,1,20,21
p43.pddl,fr_4_3,0.201,3,3,0,1,7,7
p44.pddl,fr_4_4,6.839,96,96,0,1,322,331
p45.pddl,fr_4_5,0.466,9,1,0,0,0,0
p46.pddl,fr_4_6,0.459,7,7,0,1,19,19
p47.pddl,fr_4_7,0.558,8,8,0,1,33,34
p48.pddl,fr_4_8,1.070,15,15,0,1,68,71
p49.pddl,fr_4_9,0.919,13,13,0,1,61,63
p50.pddl,fr_4_10,0.449,9,1,0,0,0,0
p51.pddl,fr_5_1,0.127,2,2,0,1,4,4
p52.pddl,fr_5_2,0.065,1,1,0,1,5,5
p53.pddl,fr_5_3,0.257,4,4,0,1,8,8
p54.pddl,fr_5_4,1.940,28,28,0,1,82,83
p55.pddl,fr_5_5,3.252,46,46,0,1,108,114
p56.pddl,fr_5_6,0.492,9,1,0,0,0,0
p57.pddl,fr_5_7,0.456,9,1,0,0,0,0
p58.pddl,fr_5_8,523.473,1930,1930,0,1,4506,4809
p59.pddl,0,0,0,0,0,0,0,0
p60.pddl,fr_5_10,12.344,157,157,0,1,486,494
p61.pddl,fr_6_1,0.241,4,4,0,1,10,10
p62.pddl,fr_6_2,0.247,4,4,0,1,18,19
p63.pddl,fr_6_3,0.420,6,6,0,1,29,31
p64.pddl,fr_6_4,1.054,14,14,0,1,46,48
p65.pddl,fr_6_5,0.664,9,9,0,1,20,21
p66.pddl,fr_6_6,0.495,9,1,0,0,0,0
p67.pddl,fr_6_7,0.504,9,1,0,0,0,0
p68.pddl,fr_6_8,12.756,142,142,0,1,581,622
p69.pddl,fr_6_9,14.447,167,167,0,1,609,641
p70.pddl,0,0,0,0,0,0,0,0
p71.pddl,fr_7_1,0.123,2,2,0,1,6,6
p72.pddl,fr_7_2,0.192,3,3,0,1,12,13
p73.pddl,fr_7_3,1.062,16,16,0,1,55,61
p74.pddl,fr_7_4,1.687,24,24,0,1,89,99
p75.pddl,fr_7_5,0.483,7,7,0,1,31,32
p76.pddl,fr_7_6,0.624,9,9,0,1,33,35
p77.pddl,fr_7_7,0.531,8,8,0,1,40,43
p78.pddl,fr_7_8,0.065,1,1,0,1,3,3
p79.pddl,fr_7_9,0.477,9,1,0,0,0,0
p80.pddl,fr_7_10,0.318,4,4,0,1,55,56
p81.pddl,fr_8_1,0.312,5,5,0,1,16,18
p82.pddl,fr_8_2,0.188,3,3,0,1,9,10
p83.pddl,fr_8_3,0.442,9,1,0,0,0,0
p84.pddl,fr_8_4,4.912,66,66,0,1,168,184
p85.pddl,fr_8_5,1.686,24,24,0,1,90,92
p86.pddl,fr_8_6,4.255,57,57,0,1,156,168
p87.pddl,fr_8_7,129.405,780,780,0,1,2082,2289
p88.pddl,fr_8_8,548.326,1811,1811,0,1,6088,6622
p89.pddl,fr_8_9,4.815,52,52,0,1,217,231
p90.pddl,fr_8_10,35.019,283,283,0,1,753,803
p91.pddl,fr_9_1,0.333,4,4,0,1,18,19
p92.pddl,fr_9_2,1.414,17,17,0,1,69,72
p93.pddl,fr_9_3,2.331,27,27,0,1,94,100
p94.pddl,fr_9_4,0.529,9,1,0,0,0,0
p95.pddl,fr_9_5,0.546,9,1,0,0,0,0
p96.pddl,fr_9_6,126.733,713,713,0,1,1524,1648
p97.pddl,fr_9_7,22.725,206,206,0,1,871,894
p98.pddl,0,0,0,0,0,0,0,0
p99.pddl,fr_9_9,0.512,9,1,0,0,0,0
p100.pddl,fr_9_10,0.504,9,1,0,0,0,0
p101.pddl,fr_10_1,0.141,2,2,0,1,3,3
p102.pddl,fr_10_2,0.271,4,4,0,1,14,16
p103.pddl,fr_10_3,3.753,48,48,0,1,113,123
p104.pddl,0,0,0,0,0,0,0,0
p105.pddl,fr_10_5,119.258,865,865,0,1,2820,2989
p106.pddl,fr_10_6,0.474,9,1,0,0,0,0
p107.pddl,0,0,0,0,0,0,0,0
p108.pddl,0,0,0,0,0,0,0,0
p109.pddl,fr_10_9,0.495,9,1,0,0,0,0
p110.pddl,0,0,0,0,0,0,0,0
