file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,fr_1_1,0.007,1,1,0,1,3,3
p02.pddl,fr_1_2,0.008,1,1,0,1,4,4
p03.pddl,fr_1_3,0.014,2,2,0,1,8,8
p04.pddl,fr_1_4,0.015,2,2,0,1,7,7
p05.pddl,fr_1_5,0.015,2,2,0,1,8,8
p06.pddl,fr_1_6,0.009,1,1,0,1,8,8
p07.pddl,fr_1_7,0.009,1,1,0,1,9,9
p08.pddl,fr_1_8,0.016,2,2,0,1,11,11
p09.pddl,fr_1_9,0.029,3,3,0,1,12,12
p10.pddl,fr_1_10,0.025,2,2,0,1,13,13
p11.pddl,0,0,0,0,0,0,0,0
p12.pddl,0,0,0,0,0,0,0,0
p13.pddl,fr_2_3,0.019,2,2,0,1,17,17
p14.pddl,fr_2_4,0.037,4,4,0,1,22,23
p15.pddl,0,0,0,0,0,0,0,0
p16.pddl,0,0,0,0,0,0,0,0
p17.pddl,fr_2_7,0.059,2,2,0,1,21,21
p18.pddl,fr_2_8,0.032,2,2,0,1,18,18
p19.pddl,0,0,0,0,0,0,0,0
p20.pddl,0,0,0,0,0,0,0,0
p31.pddl,fr_3_1,0.016,2,2,0,1,11,11
p32.pddl,fr_3_2,0.015,2,2,0,1,11,11
p33.pddl,0,0,0,0,0,0,0,0
p34.pddl,0,0,0,0,0,0,0,0
p35.pddl,0,0,0,0,0,0,0,0
p36.pddl,0,0,0,0,0,0,0,0
p37.pddl,fr_3_7,0.093,3,3,0,1,26,26
p38.pddl,fr_3_8,0.074,2,2,0,1,27,27
p39.pddl,0,0,0,0,0,0,0,0
p40.pddl,0,0,0,0,0,0,0,0
p41.pddl,fr_4_1,0.010,1,1,0,1,8,8
p42.pddl,fr_4_2,0.062,5,5,0,1,20,20
p43.pddl,fr_4_3,0.027,3,3,0,1,11,11
p44.pddl,fr_4_4,0.378,3,3,0,1,24,24
p45.pddl,0,0,0,0,0,0,0,0
p46.pddl,fr_4_6,0.131,8,8,0,1,49,51
p47.pddl,fr_4_7,0.222,3,3,0,1,46,47
p48.pddl,fr_4_8,0.466,2,2,0,1,55,56
p49.pddl,fr_4_9,0.142,5,5,0,1,66,68
p50.pddl,0,0,0,0,0,0,0,0
p51.pddl,fr_5_1,0.018,2,2,0,1,4,4
p52.pddl,fr_5_2,0.026,2,2,0,1,13,14
p53.pddl,fr_5_3,0.054,4,4,0,1,19,20
p54.pddl,fr_5_4,0.333,7,7,0,1,70,71
p55.pddl,fr_5_5,1.993,11,11,0,1,122,126
p56.pddl,0,0,0,0,0,0,0,0
p57.pddl,0,0,0,0,0,0,0,0
p58.pddl,fr_5_8,4.107,47,47,0,1,326,344
p59.pddl,0,0,0,0,0,0,0,0
p60.pddl,0,0,0,0,0,0,0,0
p61.pddl,fr_6_1,0.035,2,2,0,1,12,13
p62.pddl,fr_6_2,0.162,5,5,0,1,58,61
p63.pddl,fr_6_3,0.154,5,5,0,1,16,16
p64.pddl,fr_6_4,0.516,10,10,0,1,76,78
p65.pddl,fr_6_5,0.182,3,3,0,1,23,23
p66.pddl,0,0,0,0,0,0,0,0
p67.pddl,0,0,0,0,0,0,0,0
p68.pddl,0,0,0,0,0,0,0,0
p69.pddl,0,0,0,0,0,0,0,0
p70.pddl,0,0,0,0,0,0,0,0
p71.pddl,fr_7_1,0.019,1,1,0,1,3,3
p72.pddl,fr_7_2,0.074,3,3,0,1,12,12
p73.pddl,fr_7_3,0.974,15,15,0,1,89,93
p74.pddl,fr_7_4,0.239,1,1,0,1,33,33
p75.pddl,0,0,0,0,0,0,0,0
p76.pddl,0,0,0,0,0,0,0,0
p77.pddl,fr_7_7,1295.371,8,8,0,1,102,104
p78.pddl,fr_7_8,0.121,2,2,0,1,12,12
p79.pddl,0,0,0,0,0,0,0,0
p80.pddl,0,0,0,0,0,0,0,0
p81.pddl,fr_8_1,0.049,2,2,0,1,12,13
p82.pddl,fr_8_2,0.032,1,1,0,1,7,7
p83.pddl,0,0,0,0,0,0,0,0
p84.pddl,fr_8_4,0.790,8,8,0,1,60,65
p85.pddl,0,0,0,0,0,0,0,0
p86.pddl,fr_8_6,4.235,22,22,0,1,129,136
p87.pddl,0,0,0,0,0,0,0,0
p88.pddl,0,0,0,0,0,0,0,0
p89.pddl,0,0,0,0,0,0,0,0
p90.pddl,0,0,0,0,0,0,0,0
p91.pddl,fr_9_1,0.092,2,2,0,1,17,17
p92.pddl,fr_9_2,0.481,4,4,0,1,45,47
p93.pddl,fr_9_3,198.665,4,4,0,1,40,41
p94.pddl,0,0,0,0,0,0,0,0
p95.pddl,0,0,0,0,0,0,0,0
p96.pddl,fr_9_6,13.864,127,127,0,1,554,625
p97.pddl,0,0,0,0,0,0,0,0
p98.pddl,0,0,0,0,0,0,0,0
p99.pddl,0,0,0,0,0,0,0,0
p100.pddl,0,0,0,0,0,0,0,0
p101.pddl,fr_10_1,0.037,1,1,0,1,3,3
p102.pddl,fr_10_2,0.096,2,2,0,1,8,8
p103.pddl,fr_10_3,19.852,1,1,0,1,25,25
p104.pddl,0,0,0,0,0,0,0,0
p105.pddl,0,0,0,0,0,0,0,0
p106.pddl,0,0,0,0,0,0,0,0
p107.pddl,0,0,0,0,0,0,0,0
p108.pddl,0,0,0,0,0,0,0,0
p109.pddl,0,0,0,0,0,0,0,0
p110.pddl,0,0,0,0,0,0,0,0
