file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p_2_1.pddl,p2,,,,,0,,
p_2_2.pddl,p2,0.04,,,0,1,24,24
p_2_3.pddl,p2,0,,,,0,,
p_2_4.pddl,p2,0,,,,0,,
p_2_5.pddl,p2,0.04,,,0,1,30,30
p_2_6.pddl,p2,0.04,,,0,1,41,41
p_2_7.pddl,p2,0.04,,,0,1,24,24
p_2_8.pddl,p2,0.04,,,0,1,30,30
p_2_9.pddl,p2,0,,,,0,,
p_2_10.pddl,p2,0.02,,,0,1,24,24
p_3_1.pddl,p3,,,,,0,,
p_3_2.pddl,p3,,,,,0,,
p_3_3.pddl,p3,,,,,0,,
p_3_4.pddl,p3,0,,,,0,,
p_3_5.pddl,p3,,,,,0,,
p_3_6.pddl,p3,,,,,0,,
p_3_7.pddl,p3,,,,,0,,
p_3_8.pddl,p3,0,,,,0,,
p_3_9.pddl,p3,0,,,,0,,
p_3_10.pddl,p3,,,,,0,,
p_4_1.pddl,,,,,,,,
p_4_2.pddl,p4,0.04,,,,0,,
p_4_3.pddl,p4,0,,,,0,,
p_4_4.pddl,p4,0.02,,,,0,,
p_4_5.pddl,,,,,,,,
p_4_6.pddl,p4,,,,,0,,
p_4_7.pddl,p4,,,,,0,,
p_4_8.pddl,p4,0.02,,,,0,,
p_4_9.pddl,p4,,,,,0,,
p_4_10.pddl,p4,0,,,,0,,
p_5_1.pddl,p5,0.02,,,,0,,
p_5_2.pddl,,,,,,,,
p_5_3.pddl,p5,,,,,0,,
p_5_4.pddl,p5,0.06,,,,0,,
p_5_5.pddl,p5,,,,,0,,
p_5_6.pddl,p5,0.38,,,8,1,159,159
p_5_7.pddl,p5,0.04,,,,0,,
p_5_8.pddl,p5,,,,,0,,
p_5_9.pddl,p5,,,,,0,,
p_5_10.pddl,p5,0.04,,,,0,,
p_6_1.pddl,p6,,,,,0,,
p_6_2.pddl,,,,,,,,
p_6_3.pddl,p6,0.06,,,,0,,
p_6_4.pddl,p6,0.1,,,,0,,
p_6_5.pddl,p6,,,,,0,,
p_6_6.pddl,p6,,,,,0,,
p_6_7.pddl,p6,,,,,0,,
p_6_8.pddl,,,,,,,,
p_6_9.pddl,p6,0.08,,,,0,,
p_6_10.pddl,p6,,,,,0,,
p_7_1.pddl,p7,,,,,0,,
p_7_2.pddl,,,,,,,,
p_7_3.pddl,,,,,,,,
p_7_4.pddl,,,,,,,,
p_7_5.pddl,p7,,,,,0,,
p_7_6.pddl,p7,,,,,0,,
p_7_7.pddl,p7,,,,,0,,
p_7_8.pddl,,,,,,,,
p_7_9.pddl,,,,,,,,
p_7_10.pddl,,,,,,,,
p_8_1.pddl,p8,0.32,,,,0,,
p_8_2.pddl,p8,,,,,0,,
p_8_3.pddl,p8,,,,,0,,
p_8_4.pddl,p8,0.22,,,,0,,
p_8_5.pddl,p8,0.32,,,,0,,
p_8_6.pddl,p8,,,,,0,,
p_8_7.pddl,p8,40.4,,,,0,,
p_8_8.pddl,p8,,,,,0,,
p_8_9.pddl,p8,,,,,0,,
p_8_10.pddl,p8,,,,,0,,
p_9_1.pddl,,,,,,,,
p_9_2.pddl,p9,,,,,0,,
p_9_3.pddl,,,,,,,,
p_9_4.pddl,p9,,,,,0,,
p_9_5.pddl,p9,,,,,0,,
p_9_6.pddl,p9,,,,,0,,
p_9_7.pddl,,,,,,,,
p_9_8.pddl,,,,,,,,
p_9_9.pddl,,,,,,,,
p_9_10.pddl,,,,,,,,
p_10_1.pddl,p10,,,,,0,,
p_10_2.pddl,,,,,,,,
p_10_3.pddl,,,,,,,,
p_10_4.pddl,p10,,,,,0,,
p_10_5.pddl,,,,,,,,
p_10_6.pddl,p10,,,,,0,,
p_10_7.pddl,,,,,,,,
p_10_8.pddl,p10,,,,,0,,
p_10_9.pddl,,,,,,,,
p_10_10.pddl,,,,,,,,
