file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p_2_1.pddl,p2,1.469,257,1,0,0,0,0
p_2_2.pddl,p2,0.063,7,7,0,1,44,46
p_2_3.pddl,p2,711.492,51369,5481,214,0,0,0
p_2_4.pddl,p2,1382.959,96639,3007,382,0,0,0
p_2_5.pddl,p2,0.064,7,7,0,1,56,58
p_2_6.pddl,p2,0.069,7,7,0,1,50,52
p_2_7.pddl,p2,0.062,7,7,0,1,44,46
p_2_8.pddl,p2,0.062,7,7,0,1,56,58
p_2_9.pddl,p2,1249.734,90122,8650,380,0,0,0
p_2_10.pddl,p2,0.066,7,7,0,1,44,46
p_3_1.pddl,p3,1.580,257,1,0,0,0,0
p_3_2.pddl,p3,3.343,257,1,0,0,0,0
p_3_3.pddl,p3,1.665,257,1,0,0,0,0
p_3_4.pddl,p3,1202.764,43290,11930,150,0,0,0
p_3_5.pddl,p3,1.759,257,1,0,0,0,0
p_3_6.pddl,p3,41.666,257,1,0,0,0,0
p_3_7.pddl,p3,16.023,257,1,0,0,0,0
p_3_8.pddl,p3,79.728,2337,33,7,0,0,0
p_3_9.pddl,0,0,0,0,0,0,0,0
p_3_10.pddl,p3,381.846,257,1,0,0,0,0
p_4_1.pddl,0,0,0,0,0,0,0,0
p_4_2.pddl,0,0,0,0,0,0,0,0
p_4_3.pddl,0,0,0,0,0,0,0,0
p_4_4.pddl,p4,1254.035,17892,484,63,0,0,0
p_4_5.pddl,0,0,0,0,0,0,0,0
p_4_6.pddl,0,0,0,0,0,0,0,0
p_4_7.pddl,0,0,0,0,0,0,0,0
p_4_8.pddl,0,0,0,0,0,0,0,0
p_4_9.pddl,p4,21.694,257,1,0,0,0,0
p_4_10.pddl,0,0,0,0,0,0,0,0
p_5_1.pddl,0,0,0,0,0,0,0,0
p_5_2.pddl,0,0,0,0,0,0,0,0
p_5_3.pddl,0,0,0,0,0,0,0,0
p_5_4.pddl,0,0,0,0,0,0,0,0
p_5_5.pddl,p5,4.575,257,1,0,0,0,0
p_5_6.pddl,0,0,0,0,0,0,0,0
p_5_7.pddl,0,0,0,0,0,0,0,0
p_5_8.pddl,p5,3.351,257,1,0,0,0,0
p_5_9.pddl,0,0,0,0,0,0,0,0
p_5_10.pddl,0,0,0,0,0,0,0,0
p_6_1.pddl,p6,16.536,257,1,0,0,0,0
p_6_2.pddl,0,0,0,0,0,0,0,0
p_6_3.pddl,p6,1638.795,4438,86,15,0,0,0
p_6_4.pddl,0,0,0,0,0,0,0,0
p_6_5.pddl,p6,3.854,257,1,0,0,0,0
p_6_6.pddl,0,0,0,0,0,0,0,0
p_6_7.pddl,0,0,0,0,0,0,0,0
p_6_8.pddl,0,0,0,0,0,0,0,0
p_6_9.pddl,0,0,0,0,0,0,0,0
p_6_10.pddl,p6,3.141,257,1,0,0,0,0
p_7_1.pddl,0,0,0,0,0,0,0,0
p_7_2.pddl,0,0,0,0,0,0,0,0
p_7_3.pddl,0,0,0,0,0,0,0,0
p_7_4.pddl,0,0,0,0,0,0,0,0
p_7_5.pddl,0,0,0,0,0,0,0,0
p_7_6.pddl,p7,175.950,257,1,0,0,0,0
p_7_7.pddl,p7,49.762,257,1,0,0,0,0
p_7_8.pddl,0,0,0,0,0,0,0,0
p_7_9.pddl,0,0,0,0,0,0,0,0
p_7_10.pddl,0,0,0,0,0,0,0,0
p_8_1.pddl,0,0,0,0,0,0,0,0
p_8_2.pddl,p8,4.566,257,1,0,0,0,0
p_8_3.pddl,p8,4.826,257,1,0,0,0,0
p_8_4.pddl,0,0,0,0,0,0,0,0
p_8_5.pddl,0,0,0,0,0,0,0,0
p_8_6.pddl,p8,4.699,257,1,0,0,0,0
p_8_7.pddl,0,0,0,0,0,0,0,0
p_8_8.pddl,p8,7.917,257,1,0,0,0,0
p_8_9.pddl,p8,4.384,257,1,0,0,0,0
p_8_10.pddl,0,0,0,0,0,0,0,0
p_9_1.pddl,0,0,0,0,0,0,0,0
p_9_2.pddl,p9,6.559,257,1,0,0,0,0
p_9_3.pddl,0,0,0,0,0,0,0,0
p_9_4.pddl,0,0,0,0,0,0,0,0
p_9_5.pddl,p9,6.304,257,1,0,0,0,0
p_9_6.pddl,p9,31.541,257,1,0,0,0,0
p_9_7.pddl,0,0,0,0,0,0,0,0
p_9_8.pddl,0,0,0,0,0,0,0,0
p_9_9.pddl,0,0,0,0,0,0,0,0
p_9_10.pddl,0,0,0,0,0,0,0,0
p_10_1.pddl,0,0,0,0,0,0,0,0
p_10_2.pddl,0,0,0,0,0,0,0,0
p_10_3.pddl,0,0,0,0,0,0,0,0
p_10_4.pddl,p10,48.436,257,1,0,0,0,0
p_10_5.pddl,0,0,0,0,0,0,0,0
p_10_6.pddl,0,0,0,0,0,0,0,0
p_10_7.pddl,0,0,0,0,0,0,0,0
p_10_8.pddl,p10,443.638,257,1,0,0,0,0
p_10_9.pddl,0,0,0,0,0,0,0,0
p_10_10.pddl,0,0,0,0,0,0,0,0
