file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p_2_1.pddl,p2,11.612,257,1,0,0,0,0
p_2_2.pddl,p2,48.267,838,70,5,0,0,0
p_2_3.pddl,p2,494.801,11228,220,43,0,33,32
p_2_4.pddl,p2,153.182,3383,55,13,0,8,7
p_2_5.pddl,p2,0.634,10,10,0,1,56,58
p_2_6.pddl,p2,17.744,307,51,2,1,61,66
p_2_7.pddl,p2,31.763,553,41,3,0,0,0
p_2_8.pddl,p2,0.545,9,9,0,1,54,56
p_2_9.pddl,p2,489.566,10117,261,40,0,20,19
p_2_10.pddl,p2,47.225,827,59,5,0,0,0
p_3_1.pddl,p3,11.456,257,1,0,0,0,0
p_3_2.pddl,p3,11.748,257,1,0,0,0,0
p_3_3.pddl,p3,11.769,257,1,0,0,0,0
p_3_4.pddl,p3,523.704,9166,462,34,0,19,18
p_3_5.pddl,p3,11.695,257,1,0,0,0,0
p_3_6.pddl,p3,11.726,257,1,0,0,0,0
p_3_7.pddl,p3,11.726,257,1,0,0,0,0
p_3_8.pddl,p3,70.136,545,33,2,0,3,2
p_3_9.pddl,p3,623.950,13484,428,51,0,30,29
p_3_10.pddl,p3,11.597,257,1,0,0,0,0
p_4_1.pddl,0,0,0,0,0,0,0,0
p_4_2.pddl,0,0,0,0,0,0,0,0
p_4_3.pddl,0,0,0,0,0,0,0,0
p_4_4.pddl,p4,233.763,878,110,3,0,2,1
p_4_5.pddl,p4,11.547,257,1,0,0,0,0
p_4_6.pddl,p4,11.606,257,1,0,0,0,0
p_4_7.pddl,p4,11.751,257,1,0,0,0,0
p_4_8.pddl,0,0,0,0,0,0,0,0
p_4_9.pddl,p4,11.591,257,1,0,0,0,0
p_4_10.pddl,0,0,0,0,0,0,0,0
p_5_1.pddl,0,0,0,0,0,0,0,0
p_5_2.pddl,p5,11.681,257,1,0,0,0,0
p_5_3.pddl,p5,11.677,257,1,0,0,0,0
p_5_4.pddl,0,0,0,0,0,0,0,0
p_5_5.pddl,p5,11.660,257,1,0,0,0,0
p_5_6.pddl,0,0,0,0,0,0,0,0
p_5_7.pddl,0,0,0,0,0,0,0,0
p_5_8.pddl,p5,11.622,257,1,0,0,0,0
p_5_9.pddl,p5,11.893,257,1,0,0,0,0
p_5_10.pddl,0,0,0,0,0,0,0,0
p_6_1.pddl,p6,11.745,257,1,0,0,0,0
p_6_2.pddl,p6,11.893,257,1,0,0,0,0
p_6_3.pddl,0,0,0,0,0,0,0,0
p_6_4.pddl,0,0,0,0,0,0,0,0
p_6_5.pddl,p6,11.746,257,1,0,0,0,0
p_6_6.pddl,p6,11.950,257,1,0,0,0,0
p_6_7.pddl,p6,11.694,257,1,0,0,0,0
p_6_8.pddl,p6,11.896,257,1,0,0,0,0
p_6_9.pddl,0,0,0,0,0,0,0,0
p_6_10.pddl,p6,11.726,257,1,0,0,0,0
p_7_1.pddl,p7,12.129,257,1,0,0,0,0
p_7_2.pddl,p7,12.084,257,1,0,0,0,0
p_7_3.pddl,p7,11.969,257,1,0,0,0,0
p_7_4.pddl,p7,11.990,257,1,0,0,0,0
p_7_5.pddl,p7,11.978,257,1,0,0,0,0
p_7_6.pddl,p7,12.120,257,1,0,0,0,0
p_7_7.pddl,p7,11.984,257,1,0,0,0,0
p_7_8.pddl,p7,12.113,257,1,0,0,0,0
p_7_9.pddl,p7,12.220,257,1,0,0,0,0
p_7_10.pddl,p7,12.010,257,1,0,0,0,0
p_8_1.pddl,0,0,0,0,0,0,0,0
p_8_2.pddl,p8,12.053,257,1,0,0,0,0
p_8_3.pddl,p8,11.968,257,1,0,0,0,0
p_8_4.pddl,0,0,0,0,0,0,0,0
p_8_5.pddl,0,0,0,0,0,0,0,0
p_8_6.pddl,p8,11.955,257,1,0,0,0,0
p_8_7.pddl,0,0,0,0,0,0,0,0
p_8_8.pddl,p8,12.069,257,1,0,0,0,0
p_8_9.pddl,p8,11.985,257,1,0,0,0,0
p_8_10.pddl,p8,12.068,257,1,0,0,0,0
p_9_1.pddl,p9,12.502,257,1,0,0,0,0
p_9_2.pddl,p9,12.146,257,1,0,0,0,0
p_9_3.pddl,p9,12.659,257,1,0,0,0,0
p_9_4.pddl,p9,12.205,257,1,0,0,0,0
p_9_5.pddl,p9,12.074,257,1,0,0,0,0
p_9_6.pddl,p9,12.236,257,1,0,0,0,0
p_9_7.pddl,p9,12.352,257,1,0,0,0,0
p_9_8.pddl,p9,12.524,257,1,0,0,0,0
p_9_9.pddl,p9,12.527,257,1,0,0,0,0
p_9_10.pddl,p9,12.486,257,1,0,0,0,0
p_10_1.pddl,p10,12.583,257,1,0,0,0,0
p_10_2.pddl,p10,13.003,257,1,0,0,0,0
p_10_3.pddl,p10,12.615,257,1,0,0,0,0
p_10_4.pddl,p10,12.301,257,1,0,0,0,0
p_10_5.pddl,p10,12.646,257,1,0,0,0,0
p_10_6.pddl,p10,12.556,257,1,0,0,0,0
p_10_7.pddl,p10,12.683,257,1,0,0,0,0
p_10_8.pddl,p10,12.399,257,1,0,0,0,0
p_10_9.pddl,p10,13.003,257,1,0,0,0,0
p_10_10.pddl,p10,12.639,257,1,0,0,0,0
