file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p_2_1.pddl,p2,1.624,257,1,0,0,0,0
p_2_2.pddl,p2,0.058,7,7,0,1,44,46
p_2_3.pddl,p2,574.514,52693,5525,220,0,0,0
p_2_4.pddl,p2,1214.316,106227,3187,408,0,0,0
p_2_5.pddl,p2,0.059,7,7,0,1,56,58
p_2_6.pddl,p2,0.059,7,7,0,1,50,52
p_2_7.pddl,p2,0.058,7,7,0,1,44,46
p_2_8.pddl,p2,0.059,7,7,0,1,56,58
p_2_9.pddl,p2,1216.354,109347,13667,447,0,0,0
p_2_10.pddl,p2,0.058,7,7,0,1,44,46
p_3_1.pddl,p3,12.360,257,1,0,0,0,0
p_3_2.pddl,p3,6.779,257,1,0,0,0,0
p_3_3.pddl,p3,10.188,257,1,0,0,0,0
p_3_4.pddl,0,0,0,0,0,0,0,0
p_3_5.pddl,p3,3.235,257,1,0,0,0,0
p_3_6.pddl,p3,29.393,257,1,0,0,0,0
p_3_7.pddl,p3,11.803,257,1,0,0,0,0
p_3_8.pddl,p3,60.696,2326,22,8,0,0,0
p_3_9.pddl,0,0,0,0,0,0,0,0
p_3_10.pddl,p3,268.688,257,1,0,0,0,0
p_4_1.pddl,0,0,0,0,0,0,0,0
p_4_2.pddl,0,0,0,0,0,0,0,0
p_4_3.pddl,0,0,0,0,0,0,0,0
p_4_4.pddl,0,0,0,0,0,0,0,0
p_4_5.pddl,0,0,0,0,0,0,0,0
p_4_6.pddl,0,0,0,0,0,0,0,0
p_4_7.pddl,0,0,0,0,0,0,0,0
p_4_8.pddl,0,0,0,0,0,0,0,0
p_4_9.pddl,p4,12.797,257,1,0,0,0,0
p_4_10.pddl,0,0,0,0,0,0,0,0
p_5_1.pddl,0,0,0,0,0,0,0,0
p_5_2.pddl,0,0,0,0,0,0,0,0
p_5_3.pddl,0,0,0,0,0,0,0,0
p_5_4.pddl,0,0,0,0,0,0,0,0
p_5_5.pddl,p5,2.525,257,1,0,0,0,0
p_5_6.pddl,0,0,0,0,0,0,0,0
p_5_7.pddl,0,0,0,0,0,0,0,0
p_5_8.pddl,p5,2.743,257,1,0,0,0,0
p_5_9.pddl,0,0,0,0,0,0,0,0
p_5_10.pddl,0,0,0,0,0,0,0,0
p_6_1.pddl,p6,11.250,257,1,0,0,0,0
p_6_2.pddl,0,0,0,0,0,0,0,0
p_6_3.pddl,p6,1014.068,4438,86,15,0,0,0
p_6_4.pddl,0,0,0,0,0,0,0,0
p_6_5.pddl,p6,3.067,257,1,0,0,0,0
p_6_6.pddl,0,0,0,0,0,0,0,0
p_6_7.pddl,0,0,0,0,0,0,0,0
p_6_8.pddl,0,0,0,0,0,0,0,0
p_6_9.pddl,0,0,0,0,0,0,0,0
p_6_10.pddl,p6,2.733,257,1,0,0,0,0
p_7_1.pddl,0,0,0,0,0,0,0,0
p_7_2.pddl,0,0,0,0,0,0,0,0
p_7_3.pddl,0,0,0,0,0,0,0,0
p_7_4.pddl,0,0,0,0,0,0,0,0
p_7_5.pddl,0,0,0,0,0,0,0,0
p_7_6.pddl,p7,153.096,257,1,0,0,0,0
p_7_7.pddl,p7,41.964,257,1,0,0,0,0
p_7_8.pddl,0,0,0,0,0,0,0,0
p_7_9.pddl,0,0,0,0,0,0,0,0
p_7_10.pddl,0,0,0,0,0,0,0,0
p_8_1.pddl,0,0,0,0,0,0,0,0
p_8_2.pddl,p8,3.805,257,1,0,0,0,0
p_8_3.pddl,p8,3.895,257,1,0,0,0,0
p_8_4.pddl,0,0,0,0,0,0,0,0
p_8_5.pddl,0,0,0,0,0,0,0,0
p_8_6.pddl,p8,3.984,257,1,0,0,0,0
p_8_7.pddl,0,0,0,0,0,0,0,0
p_8_8.pddl,p8,6.511,257,1,0,0,0,0
p_8_9.pddl,p8,3.812,257,1,0,0,0,0
p_8_10.pddl,0,0,0,0,0,0,0,0
p_9_1.pddl,0,0,0,0,0,0,0,0
p_9_2.pddl,p9,5.402,257,1,0,0,0,0
p_9_3.pddl,0,0,0,0,0,0,0,0
p_9_4.pddl,0,0,0,0,0,0,0,0
p_9_5.pddl,p9,5.665,257,1,0,0,0,0
p_9_6.pddl,p9,26.307,257,1,0,0,0,0
p_9_7.pddl,0,0,0,0,0,0,0,0
p_9_8.pddl,0,0,0,0,0,0,0,0
p_9_9.pddl,0,0,0,0,0,0,0,0
p_9_10.pddl,0,0,0,0,0,0,0,0
p_10_1.pddl,0,0,0,0,0,0,0,0
p_10_2.pddl,0,0,0,0,0,0,0,0
p_10_3.pddl,0,0,0,0,0,0,0,0
p_10_4.pddl,p10,31.199,257,1,0,0,0,0
p_10_5.pddl,0,0,0,0,0,0,0,0
p_10_6.pddl,0,0,0,0,0,0,0,0
p_10_7.pddl,0,0,0,0,0,0,0,0
p_10_8.pddl,p10,306.385,257,1,0,0,0,0
p_10_9.pddl,0,0,0,0,0,0,0,0
p_10_10.pddl,0,0,0,0,0,0,0,0
