file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,islands-0,0.422,106,106,9,1,10,10
p02.pddl,islands-0,0.429,106,106,9,1,10,10
p03.pddl,islands-0,11.059,2124,2124,80,1,18,18
p04.pddl,islands-0,224.824,53749,53749,255,1,39,39
p05.pddl,0,0,0,0,0,0,0,0
p06.pddl,0,0,0,0,0,0,0,0
p07.pddl,0,0,0,0,0,0,0,0
p08.pddl,0,0,0,0,0,0,0,0
p09.pddl,0,0,0,0,0,0,0,0
p10.pddl,0,0,0,0,0,0,0,0
p11.pddl,0,0,0,0,0,0,0,0
p12.pddl,0,0,0,0,0,0,0,0
p13.pddl,0,0,0,0,0,0,0,0
p14.pddl,islands-0,2.406,569,569,19,1,69,69
p15.pddl,islands-0,11.447,2420,2420,47,1,180,180
p16.pddl,0,0,0,0,0,0,0,0
p17.pddl,0,0,0,0,0,0,0,0
p18.pddl,0,0,0,0,0,0,0,0
p19.pddl,0,0,0,0,0,0,0,0
p20.pddl,0,0,0,0,0,0,0,0
p21.pddl,0,0,0,0,0,0,0,0
p22.pddl,0,0,0,0,0,0,0,0
p23.pddl,0,0,0,0,0,0,0,0
p24.pddl,0,0,0,0,0,0,0,0
p25.pddl,0,0,0,0,0,0,0,0
p26.pddl,islands-0,9.325,1832,1832,33,1,334,334
p27.pddl,0,0,0,0,0,0,0,0
p28.pddl,0,0,0,0,0,0,0,0
p29.pddl,0,0,0,0,0,0,0,0
p30.pddl,0,0,0,0,0,0,0,0
p31.pddl,0,0,0,0,0,0,0,0
p32.pddl,0,0,0,0,0,0,0,0
p33.pddl,0,0,0,0,0,0,0,0
p34.pddl,0,0,0,0,0,0,0,0
p35.pddl,0,0,0,0,0,0,0,0
p36.pddl,0,0,0,0,0,0,0,0
p37.pddl,0,0,0,0,0,0,0,0
p38.pddl,islands-0,30.052,4737,4737,28,1,495,495
p39.pddl,0,0,0,0,0,0,0,0
p40.pddl,0,0,0,0,0,0,0,0
p41.pddl,0,0,0,0,0,0,0,0
p42.pddl,0,0,0,0,0,0,0,0
p43.pddl,0,0,0,0,0,0,0,0
p44.pddl,0,0,0,0,0,0,0,0
p45.pddl,0,0,0,0,0,0,0,0
p46.pddl,0,0,0,0,0,0,0,0
p47.pddl,0,0,0,0,0,0,0,0
p48.pddl,0,0,0,0,0,0,0,0
p49.pddl,0,0,0,0,0,0,0,0
p50.pddl,islands-0,80.192,9101,9101,40,1,1086,1086
p51.pddl,0,0,0,0,0,0,0,0
p52.pddl,0,0,0,0,0,0,0,0
p53.pddl,0,0,0,0,0,0,0,0
p54.pddl,0,0,0,0,0,0,0,0
p55.pddl,0,0,0,0,0,0,0,0
p56.pddl,0,0,0,0,0,0,0,0
p57.pddl,0,0,0,0,0,0,0,0
p58.pddl,0,0,0,0,0,0,0,0
p59.pddl,0,0,0,0,0,0,0,0
p60.pddl,0,0,0,0,0,0,0,0
