file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,islands-0,1.003,111,111,9,1,14,14
p02.pddl,islands-0,0.778,85,85,7,1,13,13
p03.pddl,islands-0,0.676,73,73,8,1,10,10
p04.pddl,islands-0,142.454,14160,14160,316,1,224,224
p05.pddl,islands-0,958.262,82774,82774,1321,1,1111,1111
p06.pddl,0,0,0,0,0,0,0,0
p07.pddl,0,0,0,0,0,0,0,0
p08.pddl,0,0,0,0,0,0,0,0
p09.pddl,0,0,0,0,0,0,0,0
p10.pddl,0,0,0,0,0,0,0,0
p11.pddl,0,0,0,0,0,0,0,0
p12.pddl,0,0,0,0,0,0,0,0
p13.pddl,0,0,0,0,0,0,0,0
p14.pddl,islands-0,5.329,569,569,19,1,69,69
p15.pddl,islands-0,313.821,30186,30186,313,1,628,628
p16.pddl,0,0,0,0,0,0,0,0
p17.pddl,0,0,0,0,0,0,0,0
p18.pddl,0,0,0,0,0,0,0,0
p19.pddl,0,0,0,0,0,0,0,0
p20.pddl,0,0,0,0,0,0,0,0
p21.pddl,0,0,0,0,0,0,0,0
p22.pddl,0,0,0,0,0,0,0,0
p23.pddl,0,0,0,0,0,0,0,0
p24.pddl,0,0,0,0,0,0,0,0
p25.pddl,0,0,0,0,0,0,0,0
p26.pddl,islands-0,18.718,1840,1840,33,1,333,333
p27.pddl,0,0,0,0,0,0,0,0
p28.pddl,0,0,0,0,0,0,0,0
p29.pddl,0,0,0,0,0,0,0,0
p30.pddl,0,0,0,0,0,0,0,0
p31.pddl,0,0,0,0,0,0,0,0
p32.pddl,0,0,0,0,0,0,0,0
p33.pddl,0,0,0,0,0,0,0,0
p34.pddl,0,0,0,0,0,0,0,0
p35.pddl,0,0,0,0,0,0,0,0
p36.pddl,0,0,0,0,0,0,0,0
p37.pddl,0,0,0,0,0,0,0,0
p38.pddl,islands-0,293.209,24560,24560,51,1,404,404
p39.pddl,0,0,0,0,0,0,0,0
p40.pddl,0,0,0,0,0,0,0,0
p41.pddl,0,0,0,0,0,0,0,0
p42.pddl,0,0,0,0,0,0,0,0
p43.pddl,0,0,0,0,0,0,0,0
p44.pddl,0,0,0,0,0,0,0,0
p45.pddl,0,0,0,0,0,0,0,0
p46.pddl,0,0,0,0,0,0,0,0
p47.pddl,0,0,0,0,0,0,0,0
p48.pddl,0,0,0,0,0,0,0,0
p49.pddl,0,0,0,0,0,0,0,0
p50.pddl,islands-0,129.721,9320,9320,40,1,1122,1122
p51.pddl,0,0,0,0,0,0,0,0
p52.pddl,0,0,0,0,0,0,0,0
p53.pddl,0,0,0,0,0,0,0,0
p54.pddl,0,0,0,0,0,0,0,0
p55.pddl,0,0,0,0,0,0,0,0
p56.pddl,0,0,0,0,0,0,0,0
p57.pddl,0,0,0,0,0,0,0,0
p58.pddl,0,0,0,0,0,0,0,0
p59.pddl,0,0,0,0,0,0,0,0
p60.pddl,0,0,0,0,0,0,0,0
