file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,islands-0,0,,,1,1,4,4
p02.pddl,islands-0,0,,,1,1,4,4
p03.pddl,islands-0,0,,,1,1,4,4
p04.pddl,islands-0,0,,,1,1,4,4
p05.pddl,islands-0,0,,,1,1,4,4
p06.pddl,islands-0,0,,,1,1,4,4
p07.pddl,islands-0,0.02,,,1,1,4,4
p08.pddl,islands-0,0,,,1,1,4,4
p09.pddl,islands-0,0,,,1,1,4,4
p10.pddl,islands-0,0,,,1,1,4,4
p11.pddl,islands-0,0.02,,,1,1,4,4
p12.pddl,islands-0,0,,,1,1,4,4
p13.pddl,islands-0,0,,,1,1,6,6
p14.pddl,islands-0,0.02,,,1,1,6,6
p15.pddl,islands-0,0.08,,,1,1,6,6
p16.pddl,islands-0,1.78,,,1,1,6,6
p17.pddl,islands-0,44.9,,,1,1,6,6
p18.pddl,islands-0,946.38,,,1,1,6,6
p19.pddl,,,,,,,,
p20.pddl,,,,,,,,
p21.pddl,,,,,,,,
p22.pddl,,,,,,,,
p23.pddl,,,,,,,,
p24.pddl,,,,,,,,
p25.pddl,islands-0,0,,,1,1,8,8
p26.pddl,islands-0,0,,,1,1,8,8
p27.pddl,islands-0,0.36,,,1,1,8,8
p28.pddl,islands-0,15.02,,,1,1,8,8
p29.pddl,islands-0,637.42,,,1,1,8,8
p30.pddl,,,,,,,,
p31.pddl,,,,,,,,
p32.pddl,,,,,,,,
p33.pddl,,,,,,,,
p34.pddl,,,,,,,,
p35.pddl,,,,,,,,
p36.pddl,,,,,,,,
p37.pddl,islands-0,0.02,,,1,1,10,10
p38.pddl,islands-0,0.04,,,1,1,10,10
p39.pddl,islands-0,2.3,,,1,1,10,10
p40.pddl,islands-0,158.4,,,1,1,10,10
p41.pddl,,,,,,,,
p42.pddl,,,,,,,,
p43.pddl,,,,,,,,
p44.pddl,,,,,,,,
p45.pddl,,,,,,,,
p46.pddl,,,,,,,,
p47.pddl,,,,,,,,
p48.pddl,,,,,,,,
p49.pddl,islands-0,0.02,,,1,1,12,12
p50.pddl,islands-0,0.08,,,1,1,12,12
p51.pddl,islands-0,6.36,,,1,1,12,12
p52.pddl,islands-0,645.64,,,1,1,12,12
p53.pddl,,,,,,,,
p54.pddl,,,,,,,,
p55.pddl,,,,,,,,
p56.pddl,,,,,,,,
p57.pddl,,,,,,,,
p58.pddl,,,,,,,,
p59.pddl,,,,,,,,
p60.pddl,,,,,,,,
