file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,islands-0,0.074897,,,,1,4,4
p02.pddl,islands-0,0.077403,,,,1,4,4
p03.pddl,islands-0,0.132191,,,,1,4,4
p04.pddl,islands-0,0.192604,,,,1,4,4
p05.pddl,islands-0,0.213833,,,,1,4,4
p06.pddl,islands-0,0.287745,,,,1,4,4
p07.pddl,islands-0,0.401314,,,,1,4,4
p08.pddl,islands-0,0.446710,,,,1,4,4
p09.pddl,islands-0,0.595916,,,,1,4,4
p10.pddl,islands-0,0.931946,,,,1,4,4
p11.pddl,islands-0,0.971078,,,,1,4,4
p12.pddl,islands-0,1.188369,,,,1,4,4
p13.pddl,islands-0,0.196203,,,,1,6,6
p14.pddl,islands-0,0.349570,,,,1,6,6
p15.pddl,islands-0,0.749768,,,,1,6,6
p16.pddl,islands-0,1.490706,,,,1,6,6
p17.pddl,islands-0,2.186427,,,,1,6,6
p18.pddl,islands-0,3.135292,,,,1,6,6
p19.pddl,islands-0,4.573444,,,,1,6,6
p20.pddl,islands-0,6.377807,,,,1,6,6
p21.pddl,islands-0,9.981822,,,,1,6,6
p22.pddl,islands-0,9.997807,,,,1,6,6
p23.pddl,islands-0,12.452037,,,,1,6,6
p24.pddl,islands-0,16.746588,,,,1,6,6
p25.pddl,islands-0,0.660406,,,,1,8,8
p26.pddl,islands-0,1.220344,,,,1,8,8
p27.pddl,islands-0,3.695828,,,,1,8,8
p28.pddl,islands-0,8.040733,,,,1,8,8
p29.pddl,islands-0,14.497482,,,,1,8,8
p30.pddl,islands-0,23.310409,,,,1,8,8
p31.pddl,islands-0,32.612033,,,,1,8,8
p32.pddl,islands-0,42.747338,,,,1,8,8
p33.pddl,islands-0,58.397745,,,,1,8,8
p34.pddl,islands-0,69.335033,,,,1,8,8
p35.pddl,islands-0,89.044614,,,,1,8,8
p36.pddl,islands-0,107.324098,,,,1,8,8
p37.pddl,islands-0,1.610910,,,,1,10,10
p38.pddl,islands-0,4.108543,,,,1,10,10
p39.pddl,islands-0,13.740492,,,,1,10,10
p40.pddl,islands-0,31.717757,,,,1,10,10
p41.pddl,islands-0,57.159877,,,,1,10,10
p42.pddl,islands-0,87.522490,,,,1,10,10
p43.pddl,islands-0,129.146151,,,,1,10,10
p44.pddl,islands-0,181.748366,,,,1,10,10
p45.pddl,islands-0,260.270789,,,,1,10,10
p46.pddl,islands-0,304.604399,,,,1,10,10
p47.pddl,islands-0,377.876530,,,,1,10,10
p48.pddl,islands-0,467.337202,,,,1,10,10
p49.pddl,islands-0,4.551402,,,,1,12,12
p50.pddl,islands-0,23.419469,,,,1,12,12
p51.pddl,islands-0,49.288086,,,,1,12,12
p52.pddl,islands-0,106.136623,,,,1,12,12
p53.pddl,islands-0,195.541822,,,,1,12,12
p54.pddl,islands-0,318.013054,,,,1,12,12
p55.pddl,islands-0,398.734042,,,,1,12,12
p56.pddl,islands-0,564.982233,,,,1,12,12
p57.pddl,islands-0,719.275972,,,,1,12,12
p58.pddl,islands-0,898.869768,,,,1,12,12
p59.pddl,islands-0,1120.894001,,,,1,12,12
p60.pddl,islands-0,1419.371976,,,,1,12,12
