file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,islands-0,0.067,1,1,0,1,3,3
p02.pddl,islands-0,0.069,1,1,0,1,3,3
p03.pddl,islands-0,0.064,1,1,0,1,3,3
p04.pddl,islands-0,0.064,1,1,0,1,3,3
p05.pddl,islands-0,0.084,1,1,0,1,3,3
p06.pddl,islands-0,0.075,1,1,0,1,3,3
p07.pddl,islands-0,0.072,1,1,0,1,3,3
p08.pddl,islands-0,0.075,1,1,0,1,3,3
p09.pddl,islands-0,0.079,1,1,0,1,3,3
p10.pddl,islands-0,0.080,1,1,0,1,3,3
p11.pddl,islands-0,0.086,1,1,0,1,3,3
p12.pddl,islands-0,0.087,1,1,0,1,3,3
p13.pddl,islands-0,0.064,1,1,0,1,5,5
p14.pddl,islands-0,0.069,1,1,0,1,5,5
p15.pddl,islands-0,0.075,1,1,0,1,5,5
p16.pddl,islands-0,0.093,1,1,0,1,5,5
p17.pddl,islands-0,0.086,1,1,0,1,5,5
p18.pddl,islands-0,0.103,1,1,0,1,5,5
p19.pddl,islands-0,0.105,1,1,0,1,5,5
p20.pddl,islands-0,0.108,1,1,0,1,5,5
p21.pddl,islands-0,0.112,1,1,0,1,5,5
p22.pddl,islands-0,0.121,1,1,0,1,5,5
p23.pddl,islands-0,0.122,1,1,0,1,5,5
p24.pddl,islands-0,0.141,1,1,0,1,5,5
p25.pddl,islands-0,0.071,1,1,0,1,7,7
p26.pddl,islands-0,0.090,1,1,0,1,7,7
p27.pddl,islands-0,0.101,1,1,0,1,7,7
p28.pddl,islands-0,0.104,1,1,0,1,7,7
p29.pddl,islands-0,0.115,1,1,0,1,7,7
p30.pddl,islands-0,0.126,1,1,0,1,7,7
p31.pddl,islands-0,0.138,1,1,0,1,7,7
p32.pddl,islands-0,0.158,1,1,0,1,7,7
p33.pddl,islands-0,0.163,1,1,0,1,7,7
p34.pddl,islands-0,0.181,1,1,0,1,7,7
p35.pddl,islands-0,0.191,1,1,0,1,7,7
p36.pddl,islands-0,0.208,1,1,0,1,7,7
p37.pddl,islands-0,0.083,1,1,0,1,9,9
p38.pddl,islands-0,0.100,1,1,0,1,9,9
p39.pddl,islands-0,0.117,1,1,0,1,9,9
p40.pddl,islands-0,0.139,1,1,0,1,9,9
p41.pddl,islands-0,0.156,1,1,0,1,9,9
p42.pddl,islands-0,0.179,1,1,0,1,9,9
p43.pddl,islands-0,0.197,1,1,0,1,9,9
p44.pddl,islands-0,0.236,1,1,0,1,9,9
p45.pddl,islands-0,0.248,1,1,0,1,9,9
p46.pddl,islands-0,0.285,1,1,0,1,9,9
p47.pddl,islands-0,0.323,1,1,0,1,9,9
p48.pddl,islands-0,0.338,1,1,0,1,9,9
p49.pddl,islands-0,0.092,1,1,0,1,11,11
p50.pddl,islands-0,0.125,1,1,0,1,11,11
p51.pddl,islands-0,0.142,1,1,0,1,11,11
p52.pddl,islands-0,0.185,1,1,0,1,11,11
p53.pddl,islands-0,0.205,1,1,0,1,11,11
p54.pddl,islands-0,0.262,1,1,0,1,11,11
p55.pddl,islands-0,0.318,1,1,0,1,11,11
p56.pddl,islands-0,0.325,1,1,0,1,11,11
p57.pddl,islands-0,0.373,1,1,0,1,11,11
p58.pddl,islands-0,0.430,1,1,0,1,11,11
p59.pddl,islands-0,0.469,1,1,0,1,11,11
p60.pddl,islands-0,0.508,1,1,0,1,11,11
