file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,islands-0,0.077,1,1,0,1,3,3
p02.pddl,islands-0,0.069,1,1,0,1,5,5
p03.pddl,islands-0,0.079,1,1,0,1,3,3
p04.pddl,islands-0,0.068,1,1,0,1,3,3
p05.pddl,islands-0,0.070,1,1,0,1,3,3
p06.pddl,islands-0,0.073,1,1,0,1,3,3
p07.pddl,islands-0,0.069,1,1,0,1,3,3
p08.pddl,islands-0,0.068,1,1,0,1,3,3
p09.pddl,islands-0,0.070,1,1,0,1,3,3
p10.pddl,islands-0,0.068,1,1,0,1,3,3
p11.pddl,islands-0,0.071,1,1,0,1,3,3
p12.pddl,islands-0,0.158,2,2,0,1,3,3
p13.pddl,islands-0,0.068,1,1,0,1,5,5
p14.pddl,islands-0,0.070,1,1,0,1,5,5
p15.pddl,islands-0,0.145,2,2,0,1,5,5
p16.pddl,islands-0,0.070,1,1,0,1,7,7
p17.pddl,islands-0,0.072,1,1,0,1,7,7
p18.pddl,islands-0,0.074,1,1,0,1,5,5
p19.pddl,islands-0,0.074,1,1,0,1,5,5
p20.pddl,islands-0,0.073,1,1,0,1,5,5
p21.pddl,islands-0,0.070,1,1,0,1,5,5
p22.pddl,islands-0,0.074,1,1,0,1,5,5
p23.pddl,islands-0,0.083,1,1,0,1,5,5
p24.pddl,islands-0,0.072,1,1,0,1,5,5
p25.pddl,islands-0,0.136,2,2,0,1,9,9
p26.pddl,islands-0,0.057,1,1,0,1,7,7
p27.pddl,islands-0,0.070,1,1,0,1,7,7
p28.pddl,islands-0,0.126,2,2,0,1,9,9
p29.pddl,islands-0,0.059,1,1,0,1,7,7
p30.pddl,islands-0,0.061,1,1,0,1,7,7
p31.pddl,islands-0,0.127,2,2,0,1,9,9
p32.pddl,islands-0,0.189,3,3,0,1,9,9
p33.pddl,islands-0,0.201,3,3,0,1,7,7
p34.pddl,islands-0,0.062,1,1,0,1,7,7
p35.pddl,islands-0,0.067,1,1,0,1,7,7
p36.pddl,islands-0,0.068,1,1,0,1,7,7
p37.pddl,islands-0,0.118,2,2,0,1,9,9
p38.pddl,islands-0,0.122,2,2,0,1,9,9
p39.pddl,islands-0,0.064,1,1,0,1,9,9
p40.pddl,islands-0,0.122,2,2,0,1,9,9
p41.pddl,islands-0,0.127,2,2,0,1,9,9
p42.pddl,islands-0,0.063,1,1,0,1,9,9
p43.pddl,islands-0,0.204,3,3,0,1,11,11
p44.pddl,islands-0,0.131,2,2,0,1,11,11
p45.pddl,islands-0,0.140,2,2,0,1,9,9
p46.pddl,islands-0,0.290,4,4,0,1,16,16
p47.pddl,islands-0,0.142,2,2,0,1,11,11
p48.pddl,islands-0,0.075,1,1,0,1,9,9
p49.pddl,islands-0,0.127,2,2,0,1,13,13
p50.pddl,islands-0,0.136,2,2,0,1,11,11
p51.pddl,islands-0,0.129,2,2,0,1,17,17
p52.pddl,islands-0,0.140,2,2,0,1,11,11
p53.pddl,islands-0,0.206,3,3,0,1,11,11
p54.pddl,islands-0,0.151,2,2,0,1,13,13
p55.pddl,islands-0,0.158,2,2,0,1,13,13
p56.pddl,islands-0,0.163,2,2,0,1,11,11
p57.pddl,islands-0,0.154,2,2,0,1,11,11
p58.pddl,islands-0,0.250,3,3,0,1,13,13
p59.pddl,islands-0,0.170,2,2,0,1,13,13
p60.pddl,islands-0,0.257,3,3,0,1,11,11
