file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,islands-0,0.006,1,1,0,1,3,3
p02.pddl,islands-0,0.009,1,1,0,1,3,3
p03.pddl,islands-0,0.007,1,1,0,1,3,3
p04.pddl,islands-0,0.008,1,1,0,1,3,3
p05.pddl,islands-0,0.008,1,1,0,1,3,3
p06.pddl,islands-0,0.010,1,1,0,1,3,3
p07.pddl,islands-0,0.009,1,1,0,1,3,3
p08.pddl,islands-0,0.009,1,1,0,1,3,3
p09.pddl,islands-0,0.011,1,1,0,1,3,3
p10.pddl,islands-0,0.017,1,1,0,1,3,3
p11.pddl,islands-0,0.011,1,1,0,1,3,3
p12.pddl,islands-0,0.012,1,1,0,1,3,3
p13.pddl,islands-0,0.007,1,1,0,1,5,5
p14.pddl,islands-0,0.009,1,1,0,1,5,5
p15.pddl,islands-0,0.011,1,1,0,1,5,5
p16.pddl,islands-0,0.011,1,1,0,1,5,5
p17.pddl,islands-0,0.014,1,1,0,1,5,5
p18.pddl,islands-0,0.016,1,1,0,1,5,5
p19.pddl,islands-0,0.020,1,1,0,1,5,5
p20.pddl,islands-0,0.017,1,1,0,1,5,5
p21.pddl,islands-0,0.019,1,1,0,1,5,5
p22.pddl,islands-0,0.022,1,1,0,1,5,5
p23.pddl,islands-0,0.030,1,1,0,1,5,5
p24.pddl,islands-0,0.023,1,1,0,1,5,5
p25.pddl,islands-0,0.010,1,1,0,1,7,7
p26.pddl,islands-0,0.013,1,1,0,1,7,7
p27.pddl,islands-0,0.018,1,1,0,1,7,7
p28.pddl,islands-0,0.028,1,1,0,1,7,7
p29.pddl,islands-0,0.022,1,1,0,1,7,7
p30.pddl,islands-0,0.027,1,1,0,1,7,7
p31.pddl,islands-0,0.032,1,1,0,1,7,7
p32.pddl,islands-0,0.038,1,1,0,1,7,7
p33.pddl,islands-0,0.038,1,1,0,1,7,7
p34.pddl,islands-0,0.041,1,1,0,1,7,7
p35.pddl,islands-0,0.049,1,1,0,1,7,7
p36.pddl,islands-0,0.057,1,1,0,1,7,7
p37.pddl,islands-0,0.014,1,1,0,1,9,9
p38.pddl,islands-0,0.019,1,1,0,1,9,9
p39.pddl,islands-0,0.025,1,1,0,1,9,9
p40.pddl,islands-0,0.034,1,1,0,1,9,9
p41.pddl,islands-0,0.039,1,1,0,1,9,9
p42.pddl,islands-0,0.044,1,1,0,1,9,9
p43.pddl,islands-0,0.052,1,1,0,1,9,9
p44.pddl,islands-0,0.069,1,1,0,1,9,9
p45.pddl,islands-0,0.067,1,1,0,1,9,9
p46.pddl,islands-0,0.076,1,1,0,1,9,9
p47.pddl,islands-0,0.092,1,1,0,1,9,9
p48.pddl,islands-0,0.099,1,1,0,1,9,9
p49.pddl,islands-0,0.024,1,1,0,1,11,11
p50.pddl,islands-0,0.036,1,1,0,1,11,11
p51.pddl,islands-0,0.044,1,1,0,1,11,11
p52.pddl,islands-0,0.056,1,1,0,1,11,11
p53.pddl,islands-0,0.070,1,1,0,1,11,11
p54.pddl,islands-0,0.085,1,1,0,1,11,11
p55.pddl,islands-0,0.095,1,1,0,1,11,11
p56.pddl,islands-0,0.120,1,1,0,1,11,11
p57.pddl,islands-0,0.127,1,1,0,1,11,11
p58.pddl,islands-0,0.149,1,1,0,1,11,11
p59.pddl,islands-0,0.158,1,1,0,1,11,11
p60.pddl,islands-0,0.177,1,1,0,1,11,11
