file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,miner-0,2.405,437,437,53,1,32,32
p02.pddl,0,0,0,0,0,0,0,0
p03.pddl,miner-0,14.619,2001,2001,138,1,35,35
p04.pddl,0,0,0,0,0,0,0,0
p05.pddl,miner-0,57.407,6186,6186,771,1,123,123
p06.pddl,miner-0,0.260,37,37,8,1,21,21
p07.pddl,0,0,0,0,0,0,0,0
p08.pddl,miner-0,1.103,130,130,20,1,24,24
p09.pddl,miner-0,214.631,14241,14241,2009,1,352,352
p10.pddl,0,0,0,0,0,0,0,0
p11.pddl,0,0,0,0,0,0,0,0
p12.pddl,0,0,0,0,0,0,0,0
p13.pddl,miner-0,230.427,15422,15422,2121,1,112,112
p14.pddl,0,0,0,0,0,0,0,0
p15.pddl,0,0,0,0,0,0,0,0
p16.pddl,0,0,0,0,0,0,0,0
p17.pddl,0,0,0,0,0,0,0,0
p18.pddl,0,0,0,0,0,0,0,0
p19.pddl,0,0,0,0,0,0,0,0
p20.pddl,0,0,0,0,0,0,0,0
p21.pddl,0,0,0,0,0,0,0,0
p22.pddl,miner-0,0.929,96,96,17,1,32,32
p23.pddl,0,0,0,0,0,0,0,0
p24.pddl,0,0,0,0,0,0,0,0
p25.pddl,0,0,0,0,0,0,0,0
p26.pddl,0,0,0,0,0,0,0,0
p27.pddl,0,0,0,0,0,0,0,0
p28.pddl,0,0,0,0,0,0,0,0
p29.pddl,miner-0,0.541,51,51,9,1,19,19
p30.pddl,miner-0,5.800,500,500,76,1,82,82
p31.pddl,0,0,0,0,0,0,0,0
p32.pddl,0,0,0,0,0,0,0,0
p33.pddl,0,0,0,0,0,0,0,0
p34.pddl,0,0,0,0,0,0,0,0
p35.pddl,miner-0,0.438,35,35,8,1,21,21
p36.pddl,0,0,0,0,0,0,0,0
p37.pddl,miner-0,2.425,201,201,34,1,46,46
p38.pddl,0,0,0,0,0,0,0,0
p39.pddl,0,0,0,0,0,0,0,0
p40.pddl,miner-0,1.904,145,145,22,1,24,24
p41.pddl,miner-0,112.479,5494,5494,910,1,624,624
p42.pddl,miner-0,0.336,28,28,7,1,18,18
p43.pddl,0,0,0,0,0,0,0,0
p44.pddl,0,0,0,0,0,0,0,0
p45.pddl,0,0,0,0,0,0,0,0
p46.pddl,0,0,0,0,0,0,0,0
p47.pddl,0,0,0,0,0,0,0,0
p48.pddl,0,0,0,0,0,0,0,0
p49.pddl,miner-0,8.409,487,487,43,1,72,72
p50.pddl,0,0,0,0,0,0,0,0
p51.pddl,0,0,0,0,0,0,0,0
