file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,miner-0,2.933,223,223,43,1,24,24
p02.pddl,0,0,0,0,0,0,0,0
p03.pddl,miner-0,83.454,6135,6135,768,1,199,199
p04.pddl,0,0,0,0,0,0,0,0
p05.pddl,0,0,0,0,0,0,0,0
p07.pddl,0,0,0,0,0,0,0,0
p08.pddl,miner-0,247.313,13587,13587,1771,1,362,362
p09.pddl,miner-0,202.989,11232,11232,1558,1,360,360
p10.pddl,0,0,0,0,0,0,0,0
p11.pddl,0,0,0,0,0,0,0,0
p12.pddl,0,0,0,0,0,0,0,0
p13.pddl,miner-0,274.271,15359,15359,2107,1,112,112
p14.pddl,0,0,0,0,0,0,0,0
p15.pddl,0,0,0,0,0,0,0,0
p16.pddl,0,0,0,0,0,0,0,0
p17.pddl,miner-0,19.406,238,238,32,1,30,30
p18.pddl,0,0,0,0,0,0,0,0
p19.pddl,0,0,0,0,0,0,0,0
p20.pddl,0,0,0,0,0,0,0,0
p21.pddl,0,0,0,0,0,0,0,0
p22.pddl,miner-0,12.448,691,691,92,1,106,106
p23.pddl,0,0,0,0,0,0,0,0
p24.pddl,0,0,0,0,0,0,0,0
p25.pddl,0,0,0,0,0,0,0,0
p26.pddl,0,0,0,0,0,0,0,0
p27.pddl,0,0,0,0,0,0,0,0
p28.pddl,0,0,0,0,0,0,0,0
p29.pddl,miner-0,1.128,59,59,10,1,19,19
p30.pddl,miner-0,4.307,223,223,30,1,32,32
p31.pddl,0,0,0,0,0,0,0,0
p32.pddl,0,0,0,0,0,0,0,0
p33.pddl,0,0,0,0,0,0,0,0
p34.pddl,0,0,0,0,0,0,0,0
p35.pddl,0,0,0,0,0,0,0,0
p36.pddl,0,0,0,0,0,0,0,0
p37.pddl,miner-0,3.860,196,196,33,1,46,46
p38.pddl,0,0,0,0,0,0,0,0
p39.pddl,0,0,0,0,0,0,0,0
p40.pddl,miner-0,42.150,454,454,36,1,48,48
p41.pddl,0,0,0,0,0,0,0,0
p42.pddl,0,0,0,0,0,0,0,0
p43.pddl,0,0,0,0,0,0,0,0
p44.pddl,0,0,0,0,0,0,0,0
p45.pddl,0,0,0,0,0,0,0,0
p46.pddl,0,0,0,0,0,0,0,0
p47.pddl,0,0,0,0,0,0,0,0
p48.pddl,0,0,0,0,0,0,0,0
p49.pddl,miner-0,50.401,487,487,43,1,72,72
p50.pddl,0,0,0,0,0,0,0,0
p51.pddl,0,0,0,0,0,0,0,0
