file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,miner-0,0.18,,,7,1,19,19
p02.pddl,miner-0,9.48,,,8,1,18,18
p03.pddl,miner-0,514.42,,,8,1,18,18
p04.pddl,,,,,,,,
p05.pddl,miner-0,484.22,,,5,1,14,14
p07.pddl,,,,,,,,
p08.pddl,,,,,,,,
p09.pddl,,,,,,,,
p10.pddl,miner-0,292.14,,,3,1,13,13
p11.pddl,miner-0,527.18,,,7,1,22,22
p12.pddl,miner-0,19.82,,,7,1,17,17
p13.pddl,,,,,,,,
p14.pddl,,,,,,,,
p15.pddl,miner-0,1206.88,,,8,1,22,22
p16.pddl,,,,,,,,
p17.pddl,,,,,,,,
p18.pddl,,,,,,,,
p19.pddl,,,,,,,,
p20.pddl,,,,,,,,
p21.pddl,miner-0,9.7,,,5,1,20,20
p22.pddl,,,,,,,,
p23.pddl,miner-0,164.36,,,9,1,20,20
p24.pddl,,,,,,,,
p25.pddl,miner-0,10.8,,,6,1,22,22
p26.pddl,,,,,,,,
p27.pddl,miner-0,17.26,,,8,1,19,19
p28.pddl,,,,,,,,
p29.pddl,,,,,,,,
p30.pddl,,,,,,,,
p31.pddl,miner-0,17,,,4,1,17,17
p32.pddl,,,,,,,,
p33.pddl,,,,,,,,
p34.pddl,,,,,,,,
p35.pddl,,,,,,,,
p36.pddl,,,,,,,,
p37.pddl,,,,,,,,
p38.pddl,,,,,,,,
p39.pddl,,,,,,,,
p40.pddl,,,,,,,,
p41.pddl,,,,,,,,
p42.pddl,miner-0,2.26,,,7,1,21,21
p43.pddl,,,,,,,,
p44.pddl,,,,,,,,
p45.pddl,,,,,,,,
p46.pddl,,,,,,,,
p47.pddl,,,,,,,,
p48.pddl,,,,,,,,
p49.pddl,,,,,,,,
p50.pddl,,,,,,,,
p51.pddl,,,,,,,,
