file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,miner-0,14.646057,,,,1,17,17
p02.pddl,miner-0,22.854472,,,,1,16,16
p03.pddl,miner-0,34.559330,,,,1,16,16
p04.pddl,miner-0,80.290124,,,,1,18,18
p05.pddl,miner-0,17.018881,,,,1,14,14
p07.pddl,miner-0,78.690296,,,,1,18,18
p08.pddl,miner-0,245.265848,,,,1,21,21
p09.pddl,miner-0,134.884289,,,,1,17,17
p10.pddl,miner-0,40.520431,,,,1,13,13
p11.pddl,miner-0,62.549929,,,,1,16,16
p12.pddl,miner-0,87.407076,,,,1,17,17
p13.pddl,miner-0,63.907731,,,,1,17,17
p14.pddl,miner-0,697.229819,,,,1,23,23
p15.pddl,miner-0,104.800002,,,,1,18,18
p16.pddl,miner-0,153.486296,,,,1,16,16
p17.pddl,miner-0,268.882600,,,,1,19,19
p18.pddl,miner-0,137.997944,,,,1,19,19
p19.pddl,miner-0,405.134972,,,,1,24,24
p20.pddl,miner-0,371.303127,,,,1,21,21
p21.pddl,miner-0,131.918386,,,,1,19,19
p22.pddl,miner-0,165.053640,,,,1,19,19
p23.pddl,miner-0,171.626822,,,,1,19,19
p24.pddl,miner-0,278.090312,,,,1,18,18
p25.pddl,miner-0,208.057614,,,,1,19,19
p26.pddl,miner-0,149.021581,,,,1,18,18
p27.pddl,miner-0,131.197390,,,,1,15,15
p28.pddl,miner-0,162.937162,,,,1,18,18
p29.pddl,miner-0,188.334754,,,,1,18,18
p30.pddl,miner-0,172.089033,,,,1,17,17
p31.pddl,miner-0,123.714741,,,,1,17,17
p32.pddl,miner-0,604.828207,,,,1,22,22
p33.pddl,miner-0,941.572959,,,,1,22,22
p34.pddl,miner-0,253.388485,,,,1,19,19
p35.pddl,miner-0,441.247777,,,,1,19,19
p36.pddl,miner-0,192.271134,,,,1,16,16
p37.pddl,miner-0,398.788769,,,,1,21,21
p38.pddl,miner-0,1004.521429,,,,1,21,21
p39.pddl,miner-0,828.987984,,,,1,21,21
p40.pddl,miner-0,546.540611,,,,1,21,21
p41.pddl,miner-0,555.831905,,,,1,21,21
p42.pddl,miner-0,412.367825,,,,1,19,19
p43.pddl,miner-0,1109.428456,,,,1,23,23
p44.pddl,miner-0,1151.432918,,,,1,20,20
p45.pddl,,,,,,0,,
p46.pddl,,,,,,0,,
p47.pddl,miner-0,1328.071733,,,,1,22,22
p48.pddl,,,,,,0,,
p49.pddl,,,,,,0,,
p50.pddl,,,,,,0,,
p51.pddl,,,,,,0,,
