file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,miner-0,0.097,1,1,0,1,16,16
p02.pddl,miner-0,0.137,1,1,0,1,15,15
p03.pddl,miner-0,0.320,1,1,0,1,15,15
p04.pddl,miner-0,3.091,1,1,0,1,17,17
p05.pddl,miner-0,0.142,1,1,0,1,13,13
p07.pddl,miner-0,0.501,1,1,0,1,17,17
p08.pddl,miner-0,14.522,1,1,0,1,20,20
p09.pddl,miner-0,0.286,1,1,0,1,16,16
p10.pddl,miner-0,0.187,1,1,0,1,12,12
p11.pddl,miner-0,0.440,1,1,0,1,15,15
p12.pddl,miner-0,0.210,1,1,0,1,16,16
p13.pddl,miner-0,0.303,1,1,0,1,16,16
p14.pddl,miner-0,41.210,1,1,0,1,22,22
p15.pddl,miner-0,0.581,1,1,0,1,17,17
p16.pddl,miner-0,0.428,1,1,0,1,15,15
p17.pddl,miner-0,3.111,1,1,0,1,18,18
p18.pddl,miner-0,0.915,1,1,0,1,18,18
p19.pddl,miner-0,59.982,1,1,0,1,23,23
p20.pddl,miner-0,1.996,1,1,0,1,20,20
p21.pddl,miner-0,0.657,1,1,0,1,18,18
p22.pddl,miner-0,0.723,1,1,0,1,18,18
p23.pddl,miner-0,1.041,1,1,0,1,18,18
p24.pddl,miner-0,0.983,1,1,0,1,17,17
p25.pddl,miner-0,0.563,1,1,0,1,18,18
p26.pddl,miner-0,0.625,1,1,0,1,17,17
p27.pddl,miner-0,0.308,1,1,0,1,14,14
p28.pddl,miner-0,0.361,1,1,0,1,17,17
p29.pddl,miner-0,0.361,1,1,0,1,17,17
p30.pddl,miner-0,0.753,1,1,0,1,16,16
p31.pddl,miner-0,0.308,1,1,0,1,16,16
p32.pddl,miner-0,5.018,1,1,0,1,21,21
p33.pddl,miner-0,42.471,1,1,0,1,21,21
p34.pddl,miner-0,1.994,1,1,0,1,18,18
p35.pddl,miner-0,0.566,1,1,0,1,18,18
p36.pddl,miner-0,0.642,1,1,0,1,15,15
p37.pddl,miner-0,2.258,1,1,0,1,20,20
p38.pddl,miner-0,30.774,1,1,0,1,20,20
p39.pddl,miner-0,2.017,1,1,0,1,20,20
p40.pddl,miner-0,6.156,1,1,0,1,20,20
p41.pddl,miner-0,1.052,1,1,0,1,20,20
p42.pddl,miner-0,0.803,1,1,0,1,18,18
p43.pddl,miner-0,3.891,1,1,0,1,22,22
p44.pddl,miner-0,1.461,1,1,0,1,19,19
p45.pddl,miner-0,20.252,1,1,0,1,24,24
p46.pddl,miner-0,5.612,1,1,0,1,25,25
p47.pddl,miner-0,2.363,1,1,0,1,21,21
p48.pddl,miner-0,48.821,1,1,0,1,27,27
p49.pddl,miner-0,12.857,1,1,0,1,26,26
p50.pddl,miner-0,6.844,1,1,0,1,25,25
p51.pddl,miner-0,28.518,1,1,0,1,30,30
