file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,miner-0,0.007,1,1,0,1,16,16
p02.pddl,miner-0,0.008,1,1,0,1,15,15
p03.pddl,miner-0,0.008,1,1,0,1,16,16
p04.pddl,miner-0,0.009,1,1,0,1,17,17
p05.pddl,miner-0,0.009,1,1,0,1,13,13
p07.pddl,miner-0,0.011,1,1,0,1,17,17
p08.pddl,miner-0,0.011,1,1,0,1,22,22
p09.pddl,miner-0,0.011,1,1,0,1,16,16
p10.pddl,miner-0,0.010,1,1,0,1,12,12
p11.pddl,miner-0,0.010,1,1,0,1,15,15
p12.pddl,miner-0,0.009,1,1,0,1,16,16
p13.pddl,miner-0,0.009,1,1,0,1,16,16
p14.pddl,miner-0,0.012,1,1,0,1,22,22
p15.pddl,miner-0,0.011,1,1,0,1,17,17
p16.pddl,miner-0,0.014,1,1,0,1,15,15
p17.pddl,miner-0,0.014,1,1,0,1,18,18
p18.pddl,miner-0,0.011,1,1,0,1,19,19
p19.pddl,miner-0,0.016,1,1,0,1,23,23
p20.pddl,miner-0,0.014,1,1,0,1,20,20
p21.pddl,miner-0,0.012,1,1,0,1,19,19
p22.pddl,miner-0,0.013,1,1,0,1,18,18
p23.pddl,miner-0,0.013,1,1,0,1,18,18
p24.pddl,miner-0,0.015,1,1,0,1,17,17
p25.pddl,miner-0,0.012,1,1,0,1,20,20
p26.pddl,miner-0,0.013,1,1,0,1,17,17
p27.pddl,miner-0,0.013,1,1,0,1,14,14
p28.pddl,miner-0,0.013,1,1,0,1,17,17
p29.pddl,miner-0,0.014,1,1,0,1,17,17
p30.pddl,miner-0,0.014,1,1,0,1,16,16
p31.pddl,miner-0,0.012,1,1,0,1,16,16
p32.pddl,miner-0,0.020,1,1,0,1,25,25
p33.pddl,miner-0,0.016,1,1,0,1,21,21
p34.pddl,miner-0,0.014,1,1,0,1,18,18
p35.pddl,miner-0,0.016,1,1,0,1,18,18
p36.pddl,miner-0,0.016,1,1,0,1,16,16
p37.pddl,miner-0,0.016,1,1,0,1,20,20
p38.pddl,miner-0,0.019,1,1,0,1,20,20
p39.pddl,miner-0,0.024,1,1,0,1,20,20
p40.pddl,miner-0,0.017,1,1,0,1,20,20
p41.pddl,miner-0,0.016,1,1,0,1,20,20
p42.pddl,miner-0,0.016,1,1,0,1,18,18
p43.pddl,miner-0,0.020,1,1,0,1,22,22
p44.pddl,miner-0,0.016,1,1,0,1,19,19
p45.pddl,miner-0,0.024,1,1,0,1,24,24
p46.pddl,miner-0,0.022,1,1,0,1,25,25
p47.pddl,miner-0,0.023,1,1,0,1,21,21
p48.pddl,miner-0,0.025,1,1,0,1,28,28
p49.pddl,miner-0,0.022,1,1,0,1,26,26
p50.pddl,miner-0,0.031,1,1,0,1,25,25
p51.pddl,miner-0,0.035,1,1,0,1,30,30
