file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,miner-0,0.126,2,2,0,1,29,29
p02.pddl,miner-0,0.151,2,2,0,1,27,27
p03.pddl,miner-0,0.285,4,4,0,1,21,21
p04.pddl,miner-0,0.366,4,4,0,1,27,27
p05.pddl,miner-0,0.209,3,3,0,1,25,25
p07.pddl,miner-0,0.230,2,2,0,1,20,20
p08.pddl,miner-0,0.208,2,2,0,1,25,25
p09.pddl,miner-0,20.699,46,30,4,1,18,18
p10.pddl,miner-0,3.354,37,29,2,1,43,43
p11.pddl,miner-0,0.290,3,3,0,1,26,26
p12.pddl,miner-0,0.181,2,2,0,1,32,32
p13.pddl,miner-0,0.263,3,3,0,1,24,24
p14.pddl,miner-0,1.000,6,6,0,1,40,40
p15.pddl,miner-0,0.260,2,2,0,1,19,19
p16.pddl,miner-0,0.395,2,2,0,1,23,23
p17.pddl,miner-0,0.390,2,2,0,1,24,24
p18.pddl,miner-0,4.213,45,29,3,1,41,41
p19.pddl,miner-0,0.662,3,3,0,1,32,32
p20.pddl,miner-0,0.979,5,5,0,1,33,33
p21.pddl,miner-0,0.149,1,1,0,1,23,23
p22.pddl,miner-0,0.469,2,2,0,1,29,29
p23.pddl,miner-0,0.524,3,3,0,1,32,32
p24.pddl,miner-0,0.766,3,3,0,1,23,23
p25.pddl,miner-0,0.414,3,3,0,1,30,30
p26.pddl,miner-0,0.314,2,2,0,1,24,24
p27.pddl,miner-0,0.410,2,2,0,1,18,18
p28.pddl,miner-0,0.363,2,2,0,1,27,27
p29.pddl,miner-0,0.633,3,3,0,1,26,26
p30.pddl,miner-0,0.644,3,3,0,1,36,36
p31.pddl,miner-0,0.313,2,2,0,1,30,30
p32.pddl,miner-0,1.108,3,3,0,1,37,37
p33.pddl,miner-0,1.086,3,3,0,1,40,40
p34.pddl,miner-0,1.466,7,7,0,1,41,41
p35.pddl,miner-0,3.241,10,10,0,1,44,44
p36.pddl,miner-0,0.720,3,3,0,1,27,27
p37.pddl,miner-0,0.573,2,2,0,1,34,34
p38.pddl,miner-0,1.026,2,2,0,1,22,22
p39.pddl,miner-0,7.117,9,9,0,1,36,36
p40.pddl,miner-0,5.125,31,15,3,1,47,47
p41.pddl,miner-0,0.356,1,1,0,1,23,23
p42.pddl,miner-0,0.704,2,2,0,1,23,23
p43.pddl,miner-0,1.983,3,3,0,1,29,29
p44.pddl,miner-0,0.639,2,2,0,1,22,22
p45.pddl,miner-0,3.041,3,3,0,1,43,43
p46.pddl,miner-0,2.985,6,6,0,1,37,37
p47.pddl,miner-0,1.480,2,2,0,1,38,38
p48.pddl,miner-0,2.332,3,3,0,1,48,48
p49.pddl,miner-0,6.971,15,15,0,1,54,54
p50.pddl,miner-0,5.895,8,8,0,1,67,67
p51.pddl,miner-0,4.422,3,3,0,1,51,51
