file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,0,0,0,0,0,0,0,0
p02.pddl,miner-0,0.721,1,1,0,1,15,15
p03.pddl,miner-0,0.331,1,1,0,1,16,16
p04.pddl,miner-0,74.467,5,5,0,1,30,30
p05.pddl,miner-0,0.138,1,1,0,1,13,13
p07.pddl,miner-0,58.002,2,2,0,1,21,21
p08.pddl,miner-0,65.863,1,1,0,1,20,20
p09.pddl,miner-0,14.703,1,1,0,1,16,16
p10.pddl,miner-0,1.896,1,1,0,1,14,14
p11.pddl,miner-0,3.453,1,1,0,1,19,19
p12.pddl,miner-0,1.583,1,1,0,1,16,16
p13.pddl,miner-0,58.679,4,4,0,1,37,37
p14.pddl,0,0,0,0,0,0,0,0
p15.pddl,miner-0,1.416,1,1,0,1,21,21
p16.pddl,miner-0,7.581,1,1,0,1,15,15
p17.pddl,miner-0,84.471,3,3,0,1,29,29
p18.pddl,miner-0,0.315,1,1,0,1,21,21
p19.pddl,miner-0,1608.519,2,2,0,1,27,27
p20.pddl,miner-0,206.808,1,1,0,1,21,21
p21.pddl,miner-0,1002.096,5,5,0,1,36,36
p22.pddl,miner-0,162.261,4,4,0,1,33,33
p23.pddl,miner-0,1520.159,9,9,0,1,56,56
p24.pddl,miner-0,6.874,4,4,0,1,29,29
p25.pddl,miner-0,40.470,3,3,0,1,31,31
p26.pddl,miner-0,188.047,1,1,0,1,20,20
p27.pddl,miner-0,0.475,1,1,0,1,15,15
p28.pddl,miner-0,4.127,3,3,0,1,21,21
p29.pddl,miner-0,1436.498,30,30,0,1,71,71
p30.pddl,miner-0,39.126,1,1,0,1,18,18
p31.pddl,miner-0,28.480,1,1,0,1,16,16
p32.pddl,miner-0,1758.972,3,3,0,1,21,21
p33.pddl,miner-0,112.389,1,1,0,1,23,23
p34.pddl,miner-0,6.304,1,1,0,1,20,20
p35.pddl,miner-0,4.707,1,1,0,1,20,20
p36.pddl,miner-0,2.939,2,2,0,1,16,16
p37.pddl,miner-0,74.454,1,1,0,1,20,20
p38.pddl,miner-0,472.615,1,1,0,1,20,20
p39.pddl,miner-0,760.112,1,1,0,1,20,20
p40.pddl,miner-0,88.766,1,1,0,1,20,20
p41.pddl,miner-0,31.842,1,1,0,1,20,20
p42.pddl,miner-0,10.924,2,2,0,1,22,22
p43.pddl,miner-0,26.786,1,1,0,1,23,23
p44.pddl,miner-0,118.065,1,1,0,1,19,19
p45.pddl,miner-0,234.839,1,1,0,1,24,24
p46.pddl,0,0,0,0,0,0,0,0
p47.pddl,miner-0,92.504,2,2,0,1,21,21
p48.pddl,0,0,0,0,0,0,0,0
p49.pddl,0,0,0,0,0,0,0,0
p50.pddl,0,0,0,0,0,0,0,0
p51.pddl,0,0,0,0,0,0,0,0
