file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,miner-0,0.091,1,1,0,1,16,16
p02.pddl,miner-0,0.094,1,1,0,1,15,15
p03.pddl,miner-0,0.122,1,1,0,1,16,16
p04.pddl,miner-0,0.060,1,1,0,1,17,17
p05.pddl,miner-0,0.102,1,1,0,1,13,13
p07.pddl,miner-0,0.083,1,1,0,1,17,17
p08.pddl,miner-0,0.061,1,1,0,1,22,22
p09.pddl,miner-0,0.084,1,1,0,1,16,16
p10.pddl,miner-0,0.108,1,1,0,1,12,12
p11.pddl,miner-0,0.088,1,1,0,1,15,15
p12.pddl,miner-0,0.106,1,1,0,1,16,16
p13.pddl,miner-0,0.120,1,1,0,1,16,16
p14.pddl,miner-0,0.111,1,1,0,1,22,22
p15.pddl,miner-0,0.149,1,1,0,1,17,17
p16.pddl,miner-0,0.119,1,1,0,1,15,15
p17.pddl,miner-0,0.136,1,1,0,1,18,18
p18.pddl,miner-0,0.098,1,1,0,1,19,19
p19.pddl,miner-0,0.129,1,1,0,1,23,23
p20.pddl,miner-0,0.115,1,1,0,1,20,20
p21.pddl,miner-0,0.098,1,1,0,1,19,19
p22.pddl,miner-0,0.136,1,1,0,1,18,18
p23.pddl,miner-0,0.144,1,1,0,1,18,18
p24.pddl,miner-0,0.133,1,1,0,1,17,17
p25.pddl,miner-0,0.086,1,1,0,1,20,20
p26.pddl,miner-0,0.120,1,1,0,1,17,17
p27.pddl,miner-0,0.085,1,1,0,1,14,14
p28.pddl,miner-0,0.122,1,1,0,1,17,17
p29.pddl,miner-0,0.154,1,1,0,1,17,17
p30.pddl,miner-0,0.150,1,1,0,1,16,16
p31.pddl,miner-0,0.134,1,1,0,1,16,16
p32.pddl,miner-0,0.131,1,1,0,1,25,25
p33.pddl,miner-0,0.145,1,1,0,1,21,21
p34.pddl,miner-0,0.102,1,1,0,1,18,18
p35.pddl,miner-0,0.117,1,1,0,1,18,18
p36.pddl,miner-0,0.136,1,1,0,1,16,16
p37.pddl,miner-0,0.128,1,1,0,1,20,20
p38.pddl,miner-0,0.142,1,1,0,1,20,20
p39.pddl,miner-0,0.150,1,1,0,1,20,20
p40.pddl,miner-0,0.165,1,1,0,1,20,20
p41.pddl,miner-0,0.111,1,1,0,1,20,20
p42.pddl,miner-0,0.122,1,1,0,1,18,18
p43.pddl,miner-0,0.169,1,1,0,1,22,22
p44.pddl,miner-0,0.143,1,1,0,1,19,19
p45.pddl,miner-0,0.126,1,1,0,1,24,24
p46.pddl,miner-0,0.152,1,1,0,1,25,25
p47.pddl,miner-0,0.181,1,1,0,1,21,21
p48.pddl,miner-0,0.122,1,1,0,1,28,28
p49.pddl,miner-0,0.152,1,1,0,1,26,26
p50.pddl,miner-0,0.171,1,1,0,1,25,25
p51.pddl,miner-0,0.191,1,1,0,1,30,30
