file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,tire_19_0_28845,21.260,3572,3572,725,1,91,96
p02.pddl,tire_19_0_28845,61.736,7658,7658,1528,1,201,210
p03.pddl,tire_19_0_28845,92.523,9971,9971,1894,1,282,296
p04.pddl,tire_19_0_28845,2.740,626,626,171,1,25,26
p05.pddl,tire_19_0_28845,172.994,14732,14732,2645,1,498,528
p06.pddl,tire_19_0_28845,227.658,17153,17153,3028,1,633,674
p07.pddl,tire_19_0_28845,290.181,19601,19601,3416,1,786,840
p08.pddl,tire_19_0_28845,357.324,22076,22076,3809,1,957,1026
p09.pddl,tire_19_0_28845,439.995,24578,24578,4207,1,1146,1232
p10.pddl,tire_19_0_28845,534.079,27107,27107,4610,1,1353,1458
p11.pddl,tire_19_0_28845,695.435,30664,30664,5167,1,1417,1522
