file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,tire_19_0_28845,34.310,3255,3255,651,1,101,106
p02.pddl,tire_19_0_28845,62.115,5484,5484,992,1,174,182
p03.pddl,tire_19_0_28845,93.119,7720,7720,1328,1,265,278
p04.pddl,tire_19_0_28845,6.087,626,626,171,1,25,26
p05.pddl,tire_19_0_28845,176.724,12258,12258,2015,1,501,530
p06.pddl,tire_19_0_28845,238.846,14560,14560,2366,1,646,686
p07.pddl,tire_19_0_28845,318.803,16884,16884,2722,1,809,862
p08.pddl,tire_19_0_28845,537.493,19230,19230,3083,1,990,1058
p09.pddl,tire_19_0_28845,655.137,21196,21196,3335,1,1189,1274
p10.pddl,tire_19_0_28845,902.760,23988,23988,3820,1,1406,1510
p11.pddl,tire_19_0_28845,1118.238,27529,27529,4108,1,1458,1562
