file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,truck-car-1,0.193,47,47,14,1,11,12
p02.pddl,truck-car-1,0.105,26,26,10,1,10,11
p03.pddl,truck-car-1,0.829,183,183,16,1,13,14
p04.pddl,truck-car-1,2.339,501,501,41,1,15,16
p05.pddl,0,0,0,0,0,0,0,0
p06.pddl,truck-car-1,172.177,34924,34924,222,1,197,198
p07.pddl,truck-car-1,1785.559,338560,338560,725,1,172,173
p08.pddl,0,0,0,0,0,0,0,0
p09.pddl,0,0,0,0,0,0,0,0
p11.pddl,0,0,0,0,0,0,0,0
p12.pddl,truck-car-1,42.820,7826,7826,1525,1,25,28
p13.pddl,0,0,0,0,0,0,0,0
p14.pddl,0,0,0,0,0,0,0,0
p15.pddl,0,0,0,0,0,0,0,0
p16.pddl,truck-car-1,0.169,38,38,14,1,12,13
p17.pddl,truck-car-1,0.250,59,59,18,1,13,14
p18.pddl,truck-car-1,5.703,1179,1179,71,1,71,72
p19.pddl,truck-car-1,74.934,14341,14341,584,1,244,245
p20.pddl,0,0,0,0,0,0,0,0
p21.pddl,0,0,0,0,0,0,0,0
p22.pddl,0,0,0,0,0,0,0,0
p23.pddl,0,0,0,0,0,0,0,0
p24.pddl,0,0,0,0,0,0,0,0
p25.pddl,0,0,0,0,0,0,0,0
p26.pddl,truck-car-1,241.959,38000,38000,3746,1,159,162
p27.pddl,truck-car-1,83.248,13593,13593,2334,1,453,484
p28.pddl,0,0,0,0,0,0,0,0
p29.pddl,0,0,0,0,0,0,0,0
p30.pddl,0,0,0,0,0,0,0,0
p31.pddl,0,0,0,0,0,0,0,0
p32.pddl,0,0,0,0,0,0,0,0
p33.pddl,0,0,0,0,0,0,0,0
p34.pddl,truck-car-1,0.330,75,75,23,1,15,16
p35.pddl,truck-car-1,0.936,203,203,60,1,20,21
p36.pddl,truck-car-1,55.579,10799,10799,403,1,52,53
p37.pddl,truck-car-1,2.555,529,529,50,1,19,20
p38.pddl,0,0,0,0,0,0,0,0
p39.pddl,0,0,0,0,0,0,0,0
p40.pddl,0,0,0,0,0,0,0,0
p41.pddl,0,0,0,0,0,0,0,0
p42.pddl,0,0,0,0,0,0,0,0
p43.pddl,0,0,0,0,0,0,0,0
p44.pddl,0,0,0,0,0,0,0,0
p45.pddl,0,0,0,0,0,0,0,0
p46.pddl,truck-car-1,73.770,12911,12911,3364,1,33,36
p47.pddl,0,0,0,0,0,0,0,0
p48.pddl,0,0,0,0,0,0,0,0
p49.pddl,0,0,0,0,0,0,0,0
p50.pddl,0,0,0,0,0,0,0,0
p51.pddl,0,0,0,0,0,0,0,0
p52.pddl,0,0,0,0,0,0,0,0
p53.pddl,0,0,0,0,0,0,0,0
p54.pddl,0,0,0,0,0,0,0,0
p55.pddl,0,0,0,0,0,0,0,0
p56.pddl,0,0,0,0,0,0,0,0
p57.pddl,0,0,0,0,0,0,0,0
p58.pddl,truck-car-1,0.457,95,95,29,1,17,18
p59.pddl,truck-car-1,1.278,263,263,78,1,22,23
p60.pddl,truck-car-1,58.484,10859,10859,421,1,54,55
p61.pddl,truck-car-1,2.774,549,549,56,1,21,22
p62.pddl,0,0,0,0,0,0,0,0
p63.pddl,0,0,0,0,0,0,0,0
p64.pddl,0,0,0,0,0,0,0,0
p65.pddl,0,0,0,0,0,0,0,0
p66.pddl,0,0,0,0,0,0,0,0
p67.pddl,truck-car-1,1096.653,109224,109224,10409,1,117,120
p68.pddl,0,0,0,0,0,0,0,0
p69.pddl,0,0,0,0,0,0,0,0
p70.pddl,0,0,0,0,0,0,0,0
p71.pddl,0,0,0,0,0,0,0,0
p72.pddl,0,0,0,0,0,0,0,0
p73.pddl,0,0,0,0,0,0,0,0
p74.pddl,0,0,0,0,0,0,0,0
p75.pddl,0,0,0,0,0,0,0,0
