file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,truck-car-1,2.617,47,47,14,1,11,12
p02.pddl,truck-car-1,1.422,26,26,10,1,10,11
p03.pddl,truck-car-1,11.506,191,191,16,1,21,22
p04.pddl,truck-car-1,62.754,1022,1022,75,1,13,14
p05.pddl,0,0,0,0,0,0,0,0
p06.pddl,truck-car-1,345.759,34924,34924,222,1,197,198
p07.pddl,0,0,0,0,0,0,0,0
p08.pddl,0,0,0,0,0,0,0,0
p09.pddl,0,0,0,0,0,0,0,0
p11.pddl,0,0,0,0,0,0,0,0
p12.pddl,truck-car-1,7.109,752,752,96,1,25,28
p13.pddl,0,0,0,0,0,0,0,0
p14.pddl,0,0,0,0,0,0,0,0
p15.pddl,0,0,0,0,0,0,0,0
p16.pddl,truck-car-1,0.369,38,38,14,1,12,13
p17.pddl,truck-car-1,0.549,59,59,18,1,13,14
p18.pddl,truck-car-1,11.351,1179,1179,71,1,71,72
p19.pddl,truck-car-1,28.845,2953,2953,194,1,52,53
p20.pddl,0,0,0,0,0,0,0,0
p21.pddl,0,0,0,0,0,0,0,0
p22.pddl,0,0,0,0,0,0,0,0
p23.pddl,0,0,0,0,0,0,0,0
p24.pddl,0,0,0,0,0,0,0,0
p25.pddl,0,0,0,0,0,0,0,0
p26.pddl,truck-car-1,436.828,36244,36244,3563,1,81,84
p27.pddl,truck-car-1,137.450,11937,11937,2244,1,356,383
p28.pddl,0,0,0,0,0,0,0,0
p29.pddl,0,0,0,0,0,0,0,0
p30.pddl,0,0,0,0,0,0,0,0
p31.pddl,0,0,0,0,0,0,0,0
p32.pddl,0,0,0,0,0,0,0,0
p33.pddl,0,0,0,0,0,0,0,0
p34.pddl,truck-car-1,0.716,75,75,23,1,15,16
p35.pddl,truck-car-1,1.909,203,203,60,1,20,21
p36.pddl,truck-car-1,109.358,10799,10799,403,1,52,53
p37.pddl,truck-car-1,5.176,529,529,50,1,19,20
p38.pddl,0,0,0,0,0,0,0,0
p39.pddl,0,0,0,0,0,0,0,0
p40.pddl,0,0,0,0,0,0,0,0
p41.pddl,0,0,0,0,0,0,0,0
p42.pddl,0,0,0,0,0,0,0,0
p43.pddl,0,0,0,0,0,0,0,0
p44.pddl,0,0,0,0,0,0,0,0
p45.pddl,0,0,0,0,0,0,0,0
p46.pddl,truck-car-1,9.379,889,889,130,1,33,36
p47.pddl,truck-car-1,641.612,50744,50744,7305,1,501,529
p48.pddl,0,0,0,0,0,0,0,0
p49.pddl,0,0,0,0,0,0,0,0
p50.pddl,0,0,0,0,0,0,0,0
p51.pddl,0,0,0,0,0,0,0,0
p52.pddl,0,0,0,0,0,0,0,0
p53.pddl,0,0,0,0,0,0,0,0
p54.pddl,0,0,0,0,0,0,0,0
p55.pddl,0,0,0,0,0,0,0,0
p56.pddl,0,0,0,0,0,0,0,0
p57.pddl,0,0,0,0,0,0,0,0
p58.pddl,truck-car-1,0.956,95,95,29,1,17,18
p59.pddl,truck-car-1,2.809,276,276,84,1,22,23
p60.pddl,truck-car-1,159.910,14033,14033,682,1,386,387
p61.pddl,truck-car-1,12.701,1215,1215,82,1,75,76
p62.pddl,0,0,0,0,0,0,0,0
p63.pddl,0,0,0,0,0,0,0,0
p64.pddl,0,0,0,0,0,0,0,0
p65.pddl,0,0,0,0,0,0,0,0
p66.pddl,0,0,0,0,0,0,0,0
p67.pddl,truck-car-1,233.137,18896,18896,2246,1,81,84
p68.pddl,0,0,0,0,0,0,0,0
p69.pddl,0,0,0,0,0,0,0,0
p70.pddl,0,0,0,0,0,0,0,0
p71.pddl,0,0,0,0,0,0,0,0
p72.pddl,0,0,0,0,0,0,0,0
p73.pddl,0,0,0,0,0,0,0,0
p74.pddl,0,0,0,0,0,0,0,0
p75.pddl,0,0,0,0,0,0,0,0
