file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,truck-car-1,8.88,,,2,1,15,15
p02.pddl,truck-car-1,4.4,,,4,1,9,9
p03.pddl,truck-car-1,132.7,,,147,1,32,32
p04.pddl,truck-car-1,74.7,,,1153,1,15,15
p05.pddl,,,,,,,,
p06.pddl,,,,,,,,
p07.pddl,,,,,,,,
p08.pddl,,,,,,,,
p09.pddl,,,,,,,,
p11.pddl,,,,,,,,
p12.pddl,truck-car-1,146.1,,,940,1,34,34
p13.pddl,,,,,,,,
p14.pddl,,,,,,,,
p15.pddl,,,,,,,,
p16.pddl,truck-car-1,4.5,,,7,1,10,10
p17.pddl,truck-car-1,13.46,,,27,1,16,16
p18.pddl,truck-car-1,84.6,,,4859,1,16,16
p19.pddl,truck-car-1,788.42,,,2754,1,22,22
p20.pddl,,,,,,,,
p21.pddl,,,,,,,,
p22.pddl,,,,,,,,
p23.pddl,,,,,,,,
p24.pddl,,,,,,,,
p25.pddl,,,,,,,,
p26.pddl,truck-car-1,1160.2,,,8169,1,22,22
p27.pddl,truck-car-1,158.14,,,3477,1,36,36
p28.pddl,,,,,,,,
p29.pddl,,,,,,,,
p30.pddl,,,,,,,,
p31.pddl,,,,,,,,
p32.pddl,,,,,,,,
p33.pddl,,,,,,,,
p34.pddl,truck-car-1,14.52,,,43,1,17,17
p35.pddl,truck-car-1,33.76,,,35,1,23,23
p36.pddl,truck-car-1,839.42,,,9767,1,23,23
p37.pddl,truck-car-1,99,,,13698,1,17,17
p38.pddl,,,,,,,,
p39.pddl,,,,,,,,
p40.pddl,,,,,,,,
p41.pddl,,,,,,,,
p42.pddl,,,,,,,,
p43.pddl,,,,,,,,
p44.pddl,,,,,,,,
p45.pddl,,,,,,,,
p46.pddl,truck-car-1,257.48,,,8682,1,36,36
p47.pddl,truck-car-1,242.84,,,6490,1,43,43
p48.pddl,,,,,,,,
p49.pddl,,,,,,,,
p50.pddl,,,,,,,,
p51.pddl,,,,,,,,
p52.pddl,,,,,,,,
p53.pddl,,,,,,,,
p54.pddl,,,,,,,,
p55.pddl,,,,,,,,
p56.pddl,,,,,,,,
p57.pddl,,,,,,,,
p58.pddl,truck-car-1,13.42,,,63,1,18,18
p59.pddl,truck-car-1,31.86,,,53,1,24,24
p60.pddl,truck-car-1,850.62,,,24737,1,24,24
p61.pddl,truck-car-1,139.7,,,31489,1,18,18
p62.pddl,,,,,,,,
p63.pddl,,,,,,,,
p64.pddl,,,,,,,,
p65.pddl,,,,,,,,
p66.pddl,,,,,,,,
p67.pddl,,,,,,,,
p68.pddl,,,,,,,,
p69.pddl,,,,,,,,
p70.pddl,,,,,,,,
p71.pddl,,,,,,,,
p72.pddl,,,,,,,,
p73.pddl,,,,,,,,
p74.pddl,,,,,,,,
p75.pddl,,,,,,,,
