file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,truck-car-1,0.966638,,,,1,11,11
p02.pddl,truck-car-1,0.468301,,,,1,9,9
p03.pddl,truck-car-1,0.645424,,,,1,9,9
p04.pddl,truck-car-1,1.455500,,,,1,11,11
p05.pddl,truck-car-1,2.001320,,,,1,11,11
p06.pddl,truck-car-1,1.042504,,,,1,9,9
p07.pddl,truck-car-1,1.131455,,,,1,9,9
p08.pddl,truck-car-1,2.701186,,,,1,11,11
p09.pddl,truck-car-1,3.681023,,,,1,11,11
p11.pddl,truck-car-1,1.542522,,,,1,9,9
p12.pddl,truck-car-1,34.988692,,,,1,14,14
p13.pddl,truck-car-1,55.886714,,,,1,14,14
p14.pddl,truck-car-1,60.676954,,,,1,14,14
p15.pddl,truck-car-1,41.907864,,,,1,14,14
p16.pddl,truck-car-1,0.882370,,,,1,10,10
p17.pddl,truck-car-1,1.797973,,,,1,12,12
p18.pddl,truck-car-1,2.342754,,,,1,12,12
p19.pddl,truck-car-1,8.898511,,,,1,14,14
p20.pddl,truck-car-1,8.842049,,,,1,14,14
p21.pddl,truck-car-1,4.312404,,,,1,12,12
p22.pddl,truck-car-1,4.866177,,,,1,12,12
p23.pddl,truck-car-1,16.279943,,,,1,14,14
p24.pddl,truck-car-1,17.044550,,,,1,14,14
p25.pddl,truck-car-1,6.379865,,,,1,12,12
p26.pddl,truck-car-1,225.428539,,,,1,17,17
p27.pddl,truck-car-1,58.463304,,,,1,15,15
p28.pddl,truck-car-1,80.698437,,,,1,15,15
p29.pddl,truck-car-1,242.251012,,,,1,17,17
p30.pddl,truck-car-1,232.063458,,,,1,17,17
p31.pddl,truck-car-1,59.671651,,,,1,15,15
p32.pddl,truck-car-1,151.127697,,,,1,15,15
p33.pddl,truck-car-1,397.965961,,,,1,17,17
p34.pddl,truck-car-1,3.184273,,,,1,13,13
p35.pddl,truck-car-1,9.064548,,,,1,15,15
p36.pddl,truck-car-1,25.700889,,,,1,15,15
p37.pddl,truck-car-1,5.156195,,,,1,13,13
p38.pddl,truck-car-1,5.124798,,,,1,13,13
p39.pddl,truck-car-1,22.283887,,,,1,15,15
p40.pddl,truck-car-1,107.510026,,,,1,17,17
p41.pddl,truck-car-1,27.948865,,,,1,15,15
p42.pddl,truck-car-1,108.737105,,,,1,17,17
p43.pddl,truck-car-1,160.808489,,,,1,17,17
p44.pddl,truck-car-1,25.837768,,,,1,15,15
p45.pddl,truck-car-1,61.229826,,,,1,17,17
p46.pddl,truck-car-1,105.778812,,,,1,16,16
p47.pddl,truck-car-1,381.836678,,,,1,18,18
p48.pddl,truck-car-1,417.024349,,,,1,18,18
p49.pddl,truck-car-1,493.597031,,,,1,18,18
p50.pddl,,,,,,0,,
p51.pddl,,,,,,0,,
p52.pddl,,,,,,0,,
p53.pddl,truck-car-1,731.522846,,,,1,18,18
p54.pddl,truck-car-1,127.267931,,,,1,16,16
p55.pddl,truck-car-1,135.747904,,,,1,16,16
p56.pddl,truck-car-1,787.766090,,,,1,18,18
p57.pddl,truck-car-1,512.143300,,,,1,18,18
p58.pddl,truck-car-1,4.333163,,,,1,14,14
p59.pddl,truck-car-1,17.107790,,,,1,16,16
p60.pddl,truck-car-1,34.277931,,,,1,16,16
p61.pddl,truck-car-1,6.234631,,,,1,14,14
p62.pddl,truck-car-1,25.665732,,,,1,16,16
p63.pddl,truck-car-1,29.743832,,,,1,16,16
p64.pddl,truck-car-1,221.487656,,,,1,18,18
p65.pddl,truck-car-1,160.407966,,,,1,18,18
p66.pddl,truck-car-1,27.468108,,,,1,16,16
p67.pddl,truck-car-1,629.593585,,,,1,19,19
p68.pddl,,,,,,0,,
p69.pddl,truck-car-1,229.616697,,,,1,17,17
p70.pddl,truck-car-1,867.009544,,,,1,19,19
p71.pddl,,,,,,0,,
p72.pddl,,,,,,0,,
p73.pddl,,,,,,0,,
p74.pddl,truck-car-1,965.246478,,,,1,19,19
p75.pddl,truck-car-1,238.013133,,,,1,17,17
