file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,truck-car-1,0.170,2,2,0,1,11,12
p02.pddl,truck-car-1,0.165,2,2,0,1,10,11
p03.pddl,truck-car-1,0.171,2,2,0,1,10,11
p04.pddl,truck-car-1,0.174,2,2,0,1,11,12
p05.pddl,truck-car-1,0.240,2,2,0,1,11,12
p06.pddl,truck-car-1,0.181,2,2,0,1,10,11
p07.pddl,truck-car-1,0.200,2,2,0,1,10,11
p08.pddl,truck-car-1,0.348,2,2,0,1,11,12
p09.pddl,truck-car-1,0.606,2,2,0,1,11,12
p11.pddl,truck-car-1,0.245,2,2,0,1,10,11
p12.pddl,truck-car-1,0.355,4,4,0,1,18,21
p13.pddl,truck-car-1,1.058,4,4,0,1,18,21
p14.pddl,truck-car-1,2.820,4,4,0,1,18,21
p15.pddl,truck-car-1,8.083,4,4,0,1,18,21
p16.pddl,truck-car-1,0.158,2,2,0,1,12,13
p17.pddl,truck-car-1,0.158,2,2,0,1,13,14
p18.pddl,truck-car-1,0.176,2,2,0,1,13,14
p19.pddl,truck-car-1,0.205,2,2,0,1,14,15
p20.pddl,truck-car-1,0.846,2,2,0,1,14,15
p21.pddl,truck-car-1,0.268,2,2,0,1,13,14
p22.pddl,truck-car-1,0.436,2,2,0,1,13,14
p23.pddl,truck-car-1,2.340,2,2,0,1,14,15
p24.pddl,truck-car-1,6.788,2,2,0,1,14,15
p25.pddl,truck-car-1,0.770,2,2,0,1,13,14
p26.pddl,truck-car-1,0.445,4,4,0,1,21,24
p27.pddl,truck-car-1,0.380,4,4,0,1,22,25
p28.pddl,truck-car-1,1.410,4,4,0,1,22,25
p29.pddl,truck-car-1,6.476,4,4,0,1,22,25
p30.pddl,truck-car-1,26.383,4,4,0,1,22,25
p31.pddl,truck-car-1,4.045,4,4,0,1,22,25
p32.pddl,truck-car-1,11.273,4,4,0,1,22,25
p33.pddl,truck-car-1,94.202,4,4,0,1,21,24
p34.pddl,truck-car-1,0.165,2,2,0,1,15,16
p35.pddl,truck-car-1,0.169,2,2,0,1,16,17
p36.pddl,truck-car-1,0.222,2,2,0,1,16,17
p37.pddl,truck-car-1,0.183,2,2,0,1,15,16
p38.pddl,truck-car-1,0.295,2,2,0,1,15,16
p39.pddl,truck-car-1,1.095,2,2,0,1,16,17
p40.pddl,truck-car-1,6.358,2,2,0,1,17,18
p41.pddl,truck-car-1,3.112,2,2,0,1,16,17
p42.pddl,truck-car-1,25.628,2,2,0,1,17,18
p43.pddl,truck-car-1,91.633,2,2,0,1,17,18
p44.pddl,truck-car-1,8.900,2,2,0,1,16,17
p45.pddl,truck-car-1,90.794,2,2,0,1,17,18
p46.pddl,truck-car-1,0.410,4,4,0,1,26,29
p47.pddl,truck-car-1,0.530,4,4,0,1,26,29
p48.pddl,truck-car-1,9.049,4,4,0,1,26,29
p49.pddl,truck-car-1,9.987,4,4,0,1,25,28
p50.pddl,truck-car-1,48.466,4,4,0,1,25,28
p51.pddl,truck-car-1,52.479,4,4,0,1,24,27
p52.pddl,truck-car-1,275.877,4,4,0,1,24,27
p53.pddl,truck-car-1,39.758,4,4,0,1,25,28
p54.pddl,truck-car-1,5.316,4,4,0,1,26,29
p55.pddl,truck-car-1,14.612,4,4,0,1,26,29
p56.pddl,truck-car-1,121.006,4,4,0,1,26,29
p57.pddl,truck-car-1,131.125,4,4,0,1,25,28
p58.pddl,truck-car-1,0.174,2,2,0,1,17,18
p59.pddl,truck-car-1,0.164,2,2,0,1,18,19
p60.pddl,truck-car-1,0.245,2,2,0,1,18,19
p61.pddl,truck-car-1,0.200,2,2,0,1,17,18
p62.pddl,truck-car-1,1.360,2,2,0,1,18,19
p63.pddl,truck-car-1,3.910,2,2,0,1,18,19
p64.pddl,truck-car-1,33.534,2,2,0,1,19,20
p65.pddl,truck-car-1,118.227,2,2,0,1,19,20
p66.pddl,truck-car-1,11.364,2,2,0,1,18,19
p67.pddl,truck-car-1,0.665,4,4,0,1,29,32
p68.pddl,truck-car-1,1.077,4,4,0,1,29,32
p69.pddl,truck-car-1,2.158,4,4,0,1,30,33
p70.pddl,truck-car-1,11.437,4,4,0,1,30,33
p71.pddl,truck-car-1,390.567,4,4,0,1,28,31
p72.pddl,0,0,0,0,0,0,0,0
p73.pddl,truck-car-1,1545.265,4,4,0,1,28,31
p74.pddl,truck-car-1,169.653,4,4,0,1,29,32
p75.pddl,truck-car-1,18.406,4,4,0,1,30,33
