file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,truck-car-1,0.008,2,2,0,1,11,12
p02.pddl,truck-car-1,0.012,2,2,0,1,10,11
p03.pddl,truck-car-1,0.010,2,2,0,1,10,11
p04.pddl,truck-car-1,0.019,2,2,0,1,11,12
p05.pddl,0,0,0,0,0,0,0,0
p06.pddl,truck-car-1,0.021,2,2,0,1,10,11
p07.pddl,truck-car-1,0.268,2,2,0,1,10,11
p08.pddl,0,0,0,0,0,0,0,0
p09.pddl,0,0,0,0,0,0,0,0
p11.pddl,truck-car-1,4.007,2,2,0,1,10,11
p12.pddl,truck-car-1,0.025,4,4,0,1,18,21
p13.pddl,0,0,0,0,0,0,0,0
p14.pddl,0,0,0,0,0,0,0,0
p15.pddl,0,0,0,0,0,0,0,0
p16.pddl,truck-car-1,0.012,2,2,0,1,12,13
p17.pddl,truck-car-1,0.008,2,2,0,1,13,14
p18.pddl,truck-car-1,0.115,2,2,0,1,13,14
p19.pddl,truck-car-1,0.177,2,2,0,1,16,17
p20.pddl,0,0,0,0,0,0,0,0
p21.pddl,0,0,0,0,0,0,0,0
p22.pddl,0,0,0,0,0,0,0,0
p23.pddl,0,0,0,0,0,0,0,0
p24.pddl,0,0,0,0,0,0,0,0
p25.pddl,0,0,0,0,0,0,0,0
p26.pddl,truck-car-1,0.151,4,4,0,1,25,28
p27.pddl,truck-car-1,0.063,4,4,0,1,22,25
p28.pddl,0,0,0,0,0,0,0,0
p29.pddl,0,0,0,0,0,0,0,0
p30.pddl,0,0,0,0,0,0,0,0
p31.pddl,0,0,0,0,0,0,0,0
p32.pddl,0,0,0,0,0,0,0,0
p33.pddl,0,0,0,0,0,0,0,0
p34.pddl,truck-car-1,0.011,2,2,0,1,15,16
p35.pddl,truck-car-1,0.013,2,2,0,1,18,19
p36.pddl,truck-car-1,1.052,2,2,0,1,18,19
p37.pddl,truck-car-1,0.743,2,2,0,1,15,16
p38.pddl,0,0,0,0,0,0,0,0
p39.pddl,0,0,0,0,0,0,0,0
p40.pddl,0,0,0,0,0,0,0,0
p41.pddl,0,0,0,0,0,0,0,0
p42.pddl,0,0,0,0,0,0,0,0
p43.pddl,0,0,0,0,0,0,0,0
p44.pddl,0,0,0,0,0,0,0,0
p45.pddl,0,0,0,0,0,0,0,0
p46.pddl,truck-car-1,0.158,4,4,0,1,26,29
p47.pddl,truck-car-1,0.377,4,4,0,1,26,29
p48.pddl,0,0,0,0,0,0,0,0
p49.pddl,0,0,0,0,0,0,0,0
p50.pddl,0,0,0,0,0,0,0,0
p51.pddl,0,0,0,0,0,0,0,0
p52.pddl,0,0,0,0,0,0,0,0
p53.pddl,0,0,0,0,0,0,0,0
p54.pddl,0,0,0,0,0,0,0,0
p55.pddl,0,0,0,0,0,0,0,0
p56.pddl,0,0,0,0,0,0,0,0
p57.pddl,0,0,0,0,0,0,0,0
p58.pddl,truck-car-1,0.020,2,2,0,1,17,18
p59.pddl,truck-car-1,0.014,2,2,0,1,20,21
p60.pddl,truck-car-1,4.481,2,2,0,1,20,21
p61.pddl,truck-car-1,2.855,2,2,0,1,17,18
p62.pddl,0,0,0,0,0,0,0,0
p63.pddl,0,0,0,0,0,0,0,0
p64.pddl,0,0,0,0,0,0,0,0
p65.pddl,0,0,0,0,0,0,0,0
p66.pddl,0,0,0,0,0,0,0,0
p67.pddl,truck-car-1,2.905,4,4,0,1,33,36
p68.pddl,truck-car-1,2.950,4,4,0,1,33,36
p69.pddl,0,0,0,0,0,0,0,0
p70.pddl,0,0,0,0,0,0,0,0
p71.pddl,0,0,0,0,0,0,0,0
p72.pddl,0,0,0,0,0,0,0,0
p73.pddl,0,0,0,0,0,0,0,0
p74.pddl,0,0,0,0,0,0,0,0
p75.pddl,0,0,0,0,0,0,0,0
