file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,truck-car-1,8.053,92,44,12,1,13,14
p02.pddl,truck-car-1,0.217,2,2,0,1,10,11
p03.pddl,truck-car-1,0.240,2,2,0,1,10,11
p04.pddl,truck-car-1,0.806,11,11,0,1,35,36
p05.pddl,truck-car-1,0.633,7,7,0,1,25,26
p06.pddl,truck-car-1,0.330,2,2,0,1,10,11
p07.pddl,truck-car-1,0.287,4,4,0,1,20,23
p08.pddl,truck-car-1,1.025,13,13,0,1,39,40
p09.pddl,truck-car-1,0.311,4,4,0,1,16,17
p11.pddl,truck-car-1,3.135,31,31,0,1,153,174
p12.pddl,truck-car-1,6.238,29,29,0,1,90,105
p13.pddl,truck-car-1,22.061,202,202,0,1,725,847
p14.pddl,truck-car-1,0.965,13,13,0,1,49,60
p15.pddl,truck-car-1,0.279,4,4,0,1,17,20
p16.pddl,truck-car-1,0.544,2,2,0,1,12,13
p17.pddl,truck-car-1,0.148,2,2,0,1,13,14
p18.pddl,truck-car-1,0.137,2,2,0,1,13,14
p19.pddl,truck-car-1,0.842,5,5,0,1,20,21
p20.pddl,truck-car-1,1.321,5,5,0,1,20,21
p21.pddl,truck-car-1,0.190,2,2,0,1,13,14
p22.pddl,truck-car-1,1.479,9,9,0,1,29,30
p23.pddl,truck-car-1,3.676,18,14,2,1,33,34
p24.pddl,truck-car-1,0.695,5,5,0,1,18,19
p25.pddl,truck-car-1,0.161,2,2,0,1,13,14
p26.pddl,truck-car-1,5.425,29,25,2,1,70,81
p27.pddl,truck-car-1,0.280,4,4,0,1,21,24
p28.pddl,truck-car-1,26.836,185,185,0,1,873,1009
p29.pddl,truck-car-1,62.076,334,334,0,1,1124,1285
p30.pddl,truck-car-1,317.122,1329,1301,12,1,3743,4307
p31.pddl,truck-car-1,146.044,599,579,9,1,2331,2640
p32.pddl,truck-car-1,43.572,337,333,2,1,1520,1754
p33.pddl,truck-car-1,5.432,37,37,0,1,139,158
p34.pddl,truck-car-1,0.121,2,2,0,1,15,16
p35.pddl,truck-car-1,3.780,6,6,0,1,16,17
p36.pddl,truck-car-1,1.037,6,6,0,1,33,34
p37.pddl,truck-car-1,0.126,2,2,0,1,15,16
p38.pddl,truck-car-1,0.116,2,2,0,1,15,16
p39.pddl,truck-car-1,0.319,4,4,0,1,16,17
p40.pddl,truck-car-1,1.477,6,6,0,1,20,21
p41.pddl,truck-car-1,501.276,10,10,0,1,23,24
p42.pddl,truck-car-1,1.430,5,5,0,1,20,21
p43.pddl,truck-car-1,1.008,3,3,0,1,17,18
p44.pddl,truck-car-1,2.650,5,5,0,1,22,23
p45.pddl,truck-car-1,0.814,5,5,0,1,17,18
p46.pddl,truck-car-1,0.964,10,10,0,1,60,69
p47.pddl,truck-car-1,0.719,7,7,0,1,28,31
p48.pddl,truck-car-1,21.341,24,24,0,1,110,125
p49.pddl,truck-car-1,0.269,4,4,0,1,24,27
p50.pddl,truck-car-1,3.064,5,5,0,1,24,27
p51.pddl,0,0,0,0,0,0,0,0
p52.pddl,truck-car-1,1.801,5,5,0,1,23,26
p53.pddl,0,0,0,0,0,0,0,0
p54.pddl,truck-car-1,15.040,145,145,0,1,808,917
p55.pddl,truck-car-1,26.370,241,241,0,1,1442,1647
p56.pddl,0,0,0,0,0,0,0,0
p57.pddl,0,0,0,0,0,0,0,0
p58.pddl,truck-car-1,0.166,2,2,0,1,17,18
p59.pddl,truck-car-1,11.404,41,27,5,1,25,26
p60.pddl,truck-car-1,1.972,6,6,0,1,24,25
p61.pddl,truck-car-1,0.170,2,2,0,1,17,18
p62.pddl,truck-car-1,2.192,4,4,0,1,25,26
p63.pddl,truck-car-1,0.394,3,3,0,1,18,19
p64.pddl,truck-car-1,9.436,5,5,0,1,27,28
p65.pddl,truck-car-1,2.472,2,2,0,1,19,20
p66.pddl,truck-car-1,2.150,4,4,0,1,25,26
p67.pddl,truck-car-1,7.488,24,24,0,1,120,135
p68.pddl,truck-car-1,10.504,6,6,0,1,28,31
p69.pddl,truck-car-1,0.402,4,4,0,1,29,32
p70.pddl,truck-car-1,5.746,9,9,0,1,32,35
p71.pddl,truck-car-1,2.137,6,6,0,1,32,35
p72.pddl,truck-car-1,5.565,8,8,0,1,37,40
p73.pddl,truck-car-1,5.058,10,10,0,1,37,40
p74.pddl,truck-car-1,0.502,5,5,0,1,28,31
p75.pddl,truck-car-1,66.217,301,301,0,1,1901,2136
