file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,truck-car-1,0.095,2,2,0,1,11,12
p02.pddl,truck-car-1,0.040,2,2,0,1,10,11
p03.pddl,truck-car-1,0.034,2,2,0,1,10,11
p04.pddl,truck-car-1,0.098,3,3,0,1,13,14
p05.pddl,0,0,0,0,0,0,0,0
p06.pddl,truck-car-1,0.032,2,2,0,1,10,11
p07.pddl,truck-car-1,0.050,3,3,0,1,10,11
p08.pddl,truck-car-1,0.077,3,3,0,1,11,12
p09.pddl,truck-car-1,0.078,2,2,0,1,13,14
p11.pddl,truck-car-1,0.032,2,2,0,1,10,11
p12.pddl,truck-car-1,0.079,4,4,0,1,18,21
p13.pddl,truck-car-1,0.160,5,5,0,1,18,21
p14.pddl,truck-car-1,0.198,5,5,0,1,25,28
p15.pddl,truck-car-1,0.378,4,4,0,1,22,25
p16.pddl,truck-car-1,0.022,2,2,0,1,12,13
p17.pddl,truck-car-1,0.055,3,3,0,1,15,16
p18.pddl,0,0,0,0,0,0,0,0
p19.pddl,truck-car-1,0.257,2,2,0,1,18,19
p20.pddl,truck-car-1,0.451,2,2,0,1,16,17
p21.pddl,truck-car-1,0.062,2,2,0,1,13,14
p22.pddl,truck-car-1,0.044,2,2,0,1,13,14
p23.pddl,truck-car-1,0.272,2,2,0,1,14,15
p24.pddl,0,0,0,0,0,0,0,0
p25.pddl,truck-car-1,0.318,4,4,0,1,13,14
p26.pddl,truck-car-1,1.400,13,13,0,1,33,36
p27.pddl,truck-car-1,0.122,4,4,0,1,22,25
p28.pddl,truck-car-1,0.334,4,4,0,1,23,26
p29.pddl,truck-car-1,7.468,36,36,0,1,178,205
p30.pddl,0,0,0,0,0,0,0,0
p31.pddl,truck-car-1,0.162,4,4,0,1,23,26
p32.pddl,truck-car-1,0.155,4,4,0,1,22,25
p33.pddl,truck-car-1,0.168,4,4,0,1,21,24
p34.pddl,truck-car-1,0.089,2,2,0,1,17,18
p35.pddl,truck-car-1,0.900,6,6,0,1,18,19
p36.pddl,truck-car-1,0.498,3,3,0,1,20,21
p37.pddl,truck-car-1,0.062,2,2,0,1,15,16
p38.pddl,truck-car-1,0.271,2,2,0,1,15,16
p39.pddl,truck-car-1,2.458,8,8,0,1,28,29
p40.pddl,truck-car-1,0.452,6,6,0,1,25,26
p41.pddl,truck-car-1,0.138,3,3,0,1,16,17
p42.pddl,truck-car-1,1.436,3,3,0,1,17,18
p43.pddl,truck-car-1,0.512,4,4,0,1,19,20
p44.pddl,truck-car-1,3.890,7,7,0,1,28,29
p45.pddl,truck-car-1,2.296,4,4,0,1,21,22
p46.pddl,0,0,0,0,0,0,0,0
p47.pddl,truck-car-1,2.117,14,14,0,1,87,98
p48.pddl,truck-car-1,0.125,4,4,0,1,28,31
p49.pddl,truck-car-1,4.956,6,6,0,1,30,33
p50.pddl,truck-car-1,2.440,6,6,0,1,27,30
p51.pddl,truck-car-1,9.489,4,4,0,1,24,27
p52.pddl,truck-car-1,5.410,5,5,0,1,32,35
p53.pddl,truck-car-1,3.474,5,5,0,1,27,30
p54.pddl,truck-car-1,0.928,5,5,0,1,28,31
p55.pddl,truck-car-1,0.774,5,5,0,1,26,29
p56.pddl,truck-car-1,3.725,34,34,0,1,195,222
p57.pddl,truck-car-1,5.709,15,15,0,1,91,102
p58.pddl,truck-car-1,0.070,2,2,0,1,17,18
p59.pddl,truck-car-1,0.659,3,3,0,1,19,20
p60.pddl,truck-car-1,0.190,2,2,0,1,18,19
p61.pddl,truck-car-1,0.218,2,2,0,1,17,18
p62.pddl,truck-car-1,1.368,3,3,0,1,20,21
p63.pddl,truck-car-1,2.397,4,4,0,1,18,19
p64.pddl,truck-car-1,20.413,34,34,0,1,80,81
p65.pddl,truck-car-1,0.730,3,3,0,1,23,24
p66.pddl,truck-car-1,0.945,3,3,0,1,19,20
p67.pddl,truck-car-1,4.184,6,6,0,1,31,34
p68.pddl,truck-car-1,3.923,4,4,0,1,29,32
p69.pddl,truck-car-1,0.802,4,4,0,1,32,35
p70.pddl,truck-car-1,0.407,5,5,0,1,34,37
p71.pddl,truck-car-1,3.895,4,4,0,1,30,33
p72.pddl,truck-car-1,21.714,6,6,0,1,32,35
p73.pddl,truck-car-1,6.948,5,5,0,1,40,43
p74.pddl,truck-car-1,4.463,4,4,0,1,34,37
p75.pddl,truck-car-1,3.435,27,27,0,1,198,219
