file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,truck-car-1,0.029,2,2,0,1,11,12
p02.pddl,truck-car-1,0.029,2,2,0,1,10,11
p03.pddl,truck-car-1,0.031,2,2,0,1,10,11
p04.pddl,truck-car-1,0.051,2,2,0,1,11,12
p05.pddl,truck-car-1,1.102,42,16,7,1,11,12
p06.pddl,truck-car-1,0.043,2,2,0,1,10,11
p07.pddl,truck-car-1,0.061,3,3,0,1,10,11
p08.pddl,truck-car-1,0.091,3,3,0,1,11,12
p09.pddl,truck-car-1,0.090,2,2,0,1,13,14
p11.pddl,truck-car-1,0.047,2,2,0,1,10,11
p12.pddl,truck-car-1,0.062,4,4,0,1,18,21
p13.pddl,truck-car-1,0.198,5,5,0,1,18,21
p14.pddl,truck-car-1,0.219,5,5,0,1,25,28
p15.pddl,truck-car-1,0.410,4,4,0,1,22,25
p16.pddl,truck-car-1,0.030,2,2,0,1,12,13
p17.pddl,truck-car-1,0.034,2,2,0,1,13,14
p18.pddl,truck-car-1,0.157,2,2,0,1,13,14
p19.pddl,truck-car-1,0.240,2,2,0,1,18,19
p20.pddl,truck-car-1,0.403,2,2,0,1,16,17
p21.pddl,truck-car-1,0.064,2,2,0,1,13,14
p22.pddl,truck-car-1,0.055,2,2,0,1,13,14
p23.pddl,truck-car-1,0.248,2,2,0,1,14,15
p24.pddl,truck-car-1,14.931,70,28,11,1,18,19
p25.pddl,truck-car-1,0.269,3,3,0,1,13,14
p26.pddl,truck-car-1,0.178,4,4,0,1,25,28
p27.pddl,truck-car-1,0.091,4,4,0,1,22,25
p28.pddl,truck-car-1,0.307,4,4,0,1,23,26
p29.pddl,truck-car-1,4.936,34,34,0,1,170,196
p30.pddl,truck-car-1,4.032,16,10,1,1,22,25
p31.pddl,truck-car-1,0.153,4,4,0,1,23,26
p32.pddl,truck-car-1,0.142,4,4,0,1,22,25
p33.pddl,truck-car-1,0.165,4,4,0,1,21,24
p34.pddl,truck-car-1,0.030,2,2,0,1,15,16
p35.pddl,truck-car-1,0.036,2,2,0,1,18,19
p36.pddl,truck-car-1,0.427,3,3,0,1,20,21
p37.pddl,truck-car-1,0.072,2,2,0,1,15,16
p38.pddl,truck-car-1,0.238,2,2,0,1,15,16
p39.pddl,truck-car-1,1.540,4,4,0,1,25,26
p40.pddl,truck-car-1,0.316,4,4,0,1,21,22
p41.pddl,truck-car-1,0.111,3,3,0,1,16,17
p42.pddl,truck-car-1,1.235,3,3,0,1,17,18
p43.pddl,truck-car-1,0.926,4,4,0,1,22,23
p44.pddl,truck-car-1,3.963,6,6,0,1,29,30
p45.pddl,truck-car-1,0.560,4,4,0,1,19,20
p46.pddl,truck-car-1,0.944,17,11,1,1,26,29
p47.pddl,truck-car-1,0.391,4,4,0,1,26,29
p48.pddl,truck-car-1,0.137,4,4,0,1,28,31
p49.pddl,truck-car-1,3.750,7,7,0,1,29,32
p50.pddl,truck-car-1,2.122,5,5,0,1,28,31
p51.pddl,truck-car-1,9.321,4,4,0,1,24,27
p52.pddl,truck-car-1,2.632,6,6,0,1,30,33
p53.pddl,truck-car-1,3.122,5,5,0,1,26,29
p54.pddl,truck-car-1,0.905,7,7,0,1,28,31
p55.pddl,truck-car-1,0.722,5,5,0,1,26,29
p56.pddl,truck-car-1,2.873,55,55,0,1,321,368
p57.pddl,truck-car-1,4.551,14,14,0,1,87,98
p58.pddl,truck-car-1,0.030,2,2,0,1,17,18
p59.pddl,truck-car-1,0.036,2,2,0,1,20,21
p60.pddl,truck-car-1,0.172,2,2,0,1,18,19
p61.pddl,truck-car-1,0.179,2,2,0,1,17,18
p62.pddl,truck-car-1,1.025,5,5,0,1,22,23
p63.pddl,truck-car-1,1.053,3,3,0,1,18,19
p64.pddl,truck-car-1,13.911,100,52,11,1,53,54
p65.pddl,truck-car-1,0.578,3,3,0,1,23,24
p66.pddl,truck-car-1,0.803,3,3,0,1,18,19
p67.pddl,truck-car-1,1.550,5,5,0,1,31,34
p68.pddl,truck-car-1,2.681,4,4,0,1,29,32
p69.pddl,truck-car-1,0.584,4,4,0,1,32,35
p70.pddl,truck-car-1,0.235,5,5,0,1,34,37
p71.pddl,truck-car-1,2.949,4,4,0,1,30,33
p72.pddl,truck-car-1,19.806,6,6,0,1,38,41
p73.pddl,truck-car-1,6.977,5,5,0,1,44,47
p74.pddl,truck-car-1,4.097,4,4,0,1,34,37
p75.pddl,truck-car-1,5.272,26,26,0,1,181,200
