file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,tire_17_0_28460,0,,,,0,,
p02.pddl,tire_19_0_28845,0,,,0,1,2,2
p03.pddl,tire_21_0_4903,0,,,1,1,5,5
p04.pddl,tire_23_0_15471,0,,,0,1,10,10
p05.pddl,tire_25_0_17596,0,,,1,1,6,6
p06.pddl,tire_27_0_29082,0,,,0,1,6,6
p07.pddl,tire_29_0_3597,0.34,,,249,1,50,50
p08.pddl,tire_31_0_15272,0,,,5,1,10,10
p09.pddl,tire_33_0_26680,0.02,,,,0,,
p10.pddl,tire_35_0_435,0,,,0,1,2,2
p11.pddl,tire_37_0_4372,0,,,1,1,6,6
p12.pddl,tire_39_0_18652,0,,,0,1,2,2
p13.pddl,tire_41_0_17711,0,,,0,1,6,6
p14.pddl,tire_43_0_12594,0.02,,,8,1,14,14
p15.pddl,tire_45_0_26433,0.08,,,,0,,
