file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,triangle-tire-1,0.049,15,15,2,1,22,37
p02.pddl,triangle-tire-2,1.454,215,215,26,1,382,637
p03.pddl,triangle-tire-3,208.997,2435,2435,122,1,6142,10237
p04.pddl,0,0,0,0,0,0,0,0
p05.pddl,0,0,0,0,0,0,0,0
p06.pddl,0,0,0,0,0,0,0,0
p07.pddl,0,0,0,0,0,0,0,0
p08.pddl,0,0,0,0,0,0,0,0
p09.pddl,0,0,0,0,0,0,0,0
p10.pddl,0,0,0,0,0,0,0,0
p11.pddl,0,0,0,0,0,0,0,0
p12.pddl,0,0,0,0,0,0,0,0
p13.pddl,0,0,0,0,0,0,0,0
p14.pddl,0,0,0,0,0,0,0,0
p15.pddl,0,0,0,0,0,0,0,0
p16.pddl,0,0,0,0,0,0,0,0
p17.pddl,0,0,0,0,0,0,0,0
p18.pddl,0,0,0,0,0,0,0,0
p19.pddl,0,0,0,0,0,0,0,0
p20.pddl,0,0,0,0,0,0,0,0
p21.pddl,0,0,0,0,0,0,0,0
p22.pddl,0,0,0,0,0,0,0,0
p23.pddl,0,0,0,0,0,0,0,0
p24.pddl,0,0,0,0,0,0,0,0
p25.pddl,0,0,0,0,0,0,0,0
p26.pddl,0,0,0,0,0,0,0,0
p27.pddl,0,0,0,0,0,0,0,0
p28.pddl,0,0,0,0,0,0,0,0
p29.pddl,0,0,0,0,0,0,0,0
p30.pddl,0,0,0,0,0,0,0,0
p31.pddl,0,0,0,0,0,0,0,0
p32.pddl,0,0,0,0,0,0,0,0
p33.pddl,0,0,0,0,0,0,0,0
p34.pddl,0,0,0,0,0,0,0,0
p35.pddl,0,0,0,0,0,0,0,0
p36.pddl,0,0,0,0,0,0,0,0
p37.pddl,0,0,0,0,0,0,0,0
p38.pddl,0,0,0,0,0,0,0,0
p39.pddl,0,0,0,0,0,0,0,0
p40.pddl,0,0,0,0,0,0,0,0
