file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,triangle-tire-1,0,,,1,1,11,11
p02.pddl,triangle-tire-2,0.02,,,5,1,23,23
p03.pddl,triangle-tire-3,0.06,,,11,1,35,35
p04.pddl,triangle-tire-4,0.08,,,19,1,47,47
p05.pddl,triangle-tire-5,0.12,,,29,1,59,59
p06.pddl,triangle-tire-6,0.16,,,41,1,71,71
p07.pddl,triangle-tire-7,0.22,,,55,1,83,83
p08.pddl,triangle-tire-8,0.3,,,71,1,95,95
p09.pddl,triangle-tire-9,0.38,,,89,1,107,107
p10.pddl,triangle-tire-10,0.64,,,109,1,119,119
p11.pddl,triangle-tire-11,0.8,,,131,1,131,131
p12.pddl,triangle-tire-12,1.02,,,155,1,143,143
p13.pddl,triangle-tire-13,1.2,,,181,1,155,155
p14.pddl,triangle-tire-14,1.6,,,209,1,167,167
p15.pddl,triangle-tire-15,2.14,,,239,1,179,179
p16.pddl,triangle-tire-16,2.74,,,271,1,191,191
p17.pddl,triangle-tire-17,3.6,,,305,1,203,203
p18.pddl,triangle-tire-18,4.8,,,341,1,215,215
p19.pddl,triangle-tire-19,6.06,,,379,1,227,227
p20.pddl,triangle-tire-20,7.98,,,419,1,239,239
p21.pddl,triangle-tire-21,10.08,,,461,1,251,251
p22.pddl,triangle-tire-22,13.14,,,505,1,263,263
p23.pddl,triangle-tire-23,15.28,,,551,1,275,275
p24.pddl,triangle-tire-24,21.78,,,599,1,287,287
p25.pddl,triangle-tire-25,28.68,,,649,1,299,299
p26.pddl,triangle-tire-26,36.84,,,701,1,311,311
p27.pddl,triangle-tire-27,45.3,,,755,1,323,323
p28.pddl,triangle-tire-28,50.52,,,811,1,335,335
p29.pddl,triangle-tire-29,64.32,,,869,1,347,347
p30.pddl,triangle-tire-30,77.94,,,929,1,359,359
p31.pddl,triangle-tire-31,85.14,,,991,1,371,371
p32.pddl,triangle-tire-32,96.96,,,1055,1,383,383
p33.pddl,triangle-tire-33,112.22,,,1121,1,395,395
p34.pddl,triangle-tire-34,145.12,,,1189,1,407,407
p35.pddl,triangle-tire-35,195.34,,,1259,1,419,419
p36.pddl,triangle-tire-36,204.2,,,1331,1,431,431
p37.pddl,triangle-tire-37,249.3,,,1405,1,443,443
p38.pddl,triangle-tire-38,327.56,,,1481,1,455,455
p39.pddl,triangle-tire-39,376.94,,,1559,1,467,467
p40.pddl,triangle-tire-40,369.96,,,1639,1,479,479
