file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,triangle-tire-1,0.035,8,8,0,1,22,37
p02.pddl,triangle-tire-2,1.480,128,128,0,1,382,637
p03.pddl,triangle-tire-3,271.023,2048,2048,0,1,6142,10237
p04.pddl,,,,,,,,
p05.pddl,,,,,,,,
p06.pddl,,,,,,,,
p07.pddl,,,,,,,,
p08.pddl,,,,,,,,
p09.pddl,,,,,,,,
p10.pddl,,,,,,,,
p11.pddl,,,,,,,,
p12.pddl,,,,,,,,
p13.pddl,,,,,,,,
p14.pddl,,,,,,,,
p15.pddl,,,,,,,,
p16.pddl,,,,,,,,
p17.pddl,,,,,,,,
p18.pddl,,,,,,,,
p19.pddl,,,,,,,,
p20.pddl,,,,,,,,
p21.pddl,,,,,,,,
p22.pddl,,,,,,,,
p23.pddl,,,,,,,,
p24.pddl,,,,,,,,
p25.pddl,,,,,,,,
p26.pddl,,,,,,,,
p27.pddl,,,,,,,,
p28.pddl,,,,,,,,
p29.pddl,,,,,,,,
p30.pddl,,,,,,,,
p31.pddl,,,,,,,,
p32.pddl,,,,,,,,
p33.pddl,,,,,,,,
p34.pddl,,,,,,,,
p35.pddl,,,,,,,,
p36.pddl,,,,,,,,
p37.pddl,,,,,,,,
p38.pddl,,,,,,,,
p39.pddl,,,,,,,,
p40.pddl,,,,,,,,
