file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,zeno_6_2_2_3846,0.000,0,0,0,1,1,0
p02.pddl,zeno_7_2_2_17462,0.012,1,1,0,1,16,16
p03.pddl,zeno_8_2_2_3674,0.012,1,1,0,1,18,18
p04.pddl,zeno_9_2_2_12861,0.014,1,1,0,1,12,12
p05.pddl,zeno_10_2_2_24056,0.016,1,1,0,1,16,16
p06.pddl,zeno_11_5_3_6554,0.048,1,1,0,1,40,40
p07.pddl,zeno_12_5_3_24564,0.163,1,1,0,1,51,51
p08.pddl,zeno_13_5_3_27436,0.075,1,1,0,1,44,44
p09.pddl,zeno_14_5_3_29223,0.062,1,1,0,1,40,40
p10.pddl,zeno_15_5_3_15832,0.104,1,1,0,1,44,44
p11.pddl,zeno_16_10_6_21350,1.076,1,1,0,1,80,80
p12.pddl,zeno_17_10_6_14893,0.581,1,1,0,1,65,65
p13.pddl,zeno_18_10_6_12510,0.508,1,1,0,1,61,61
p14.pddl,zeno_19_10_6_11709,0.740,1,1,0,1,66,66
p15.pddl,zeno_20_10_6_24164,0.550,1,1,0,1,68,68
