file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,zeno_6_2_2_3846,0.000,0,0,0,1,1,0
p02.pddl,zeno_7_2_2_17462,0.047,1,1,0,1,16,16
p03.pddl,zeno_8_2_2_3674,0.032,1,1,0,1,16,16
p04.pddl,zeno_9_2_2_12861,0.030,1,1,0,1,12,12
p05.pddl,zeno_10_2_2_24056,0.039,1,1,0,1,16,16
p06.pddl,zeno_11_5_3_6554,0.077,1,1,0,1,40,40
p07.pddl,zeno_12_5_3_24564,0.202,1,1,0,1,51,51
p08.pddl,zeno_13_5_3_27436,0.101,1,1,0,1,44,44
p09.pddl,zeno_14_5_3_29223,0.090,1,1,0,1,40,40
p10.pddl,zeno_15_5_3_15832,0.146,1,1,0,1,40,40
p11.pddl,zeno_16_10_6_21350,1.407,1,1,0,1,80,80
p12.pddl,zeno_17_10_6_14893,0.755,1,1,0,1,65,65
p13.pddl,zeno_18_10_6_12510,0.418,1,1,0,1,62,62
p14.pddl,zeno_19_10_6_11709,1.367,1,1,0,1,76,76
p15.pddl,zeno_20_10_6_24164,0.815,1,1,0,1,74,74
