file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,zeno_6_2_2_3846,2.622872,,,,1,2,2
p02.pddl,zeno_7_2_2_17462,91.652239,,,,1,17,17
p03.pddl,zeno_8_2_2_3674,136.168362,,,,1,17,17
p04.pddl,zeno_9_2_2_12861,98.648604,,,,1,13,13
p05.pddl,zeno_10_2_2_24056,191.827676,,,,1,15,15
p06.pddl,,,,,,0,,
p07.pddl,,,,,,0,,
p08.pddl,,,,,,0,,
p09.pddl,,,,,,0,,
p10.pddl,,,,,,0,,
p11.pddl,,,,,,0,,
p12.pddl,,,,,,0,,
p13.pddl,,,,,,0,,
p14.pddl,,,,,,0,,
p15.pddl,,,,,,0,,
