file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,zeno_6_2_2_3846,0.000,0,0,0,1,1,0
p02.pddl,zeno_7_2_2_17462,32.868,226,226,0,1,592,610
p03.pddl,zeno_8_2_2_3674,0.623,1,1,0,1,24,24
p04.pddl,zeno_9_2_2_12861,0.226,3,3,0,1,14,14
p05.pddl,zeno_10_2_2_24056,0.402,5,5,0,1,24,24
p06.pddl,0,0,0,0,0,0,0,0
p07.pddl,0,0,0,0,0,0,0,0
p08.pddl,0,0,0,0,0,0,0,0
p09.pddl,0,0,0,0,0,0,0,0
p10.pddl,0,0,0,0,0,0,0,0
p11.pddl,0,0,0,0,0,0,0,0
p12.pddl,0,0,0,0,0,0,0,0
p13.pddl,0,0,0,0,0,0,0,0
p14.pddl,0,0,0,0,0,0,0,0
p15.pddl,0,0,0,0,0,0,0,0
