file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p01.pddl,zeno_6_2_2_3846,0.000,0,0,0,1,1,0
p02.pddl,zeno_7_2_2_17462,0.034,1,1,0,1,20,20
p03.pddl,zeno_8_2_2_3674,0.042,1,1,0,1,34,34
p04.pddl,zeno_9_2_2_12861,0.030,1,1,0,1,12,12
p05.pddl,zeno_10_2_2_24056,0.051,1,1,0,1,26,26
p06.pddl,zeno_11_5_3_6554,0.199,1,1,0,1,56,56
p07.pddl,zeno_12_5_3_24564,0.271,1,1,0,1,60,60
p08.pddl,zeno_13_5_3_27436,0.404,1,1,0,1,70,70
p09.pddl,zeno_14_5_3_29223,0.540,1,1,0,1,68,68
p10.pddl,zeno_15_5_3_15832,0.785,1,1,0,1,64,64
p11.pddl,zeno_16_10_6_21350,5.917,1,1,0,1,134,134
p12.pddl,zeno_17_10_6_14893,5.818,1,1,0,1,100,100
p13.pddl,zeno_18_10_6_12510,7.040,1,1,0,1,102,102
p14.pddl,zeno_19_10_6_11709,8.372,1,1,0,1,124,124
p15.pddl,zeno_20_10_6_24164,10.349,1,1,0,1,130,130
